0,1,2,3,4,0,1,2,3,4
Art Museum Subsidy,"2,350,000","2,300,000","2,300,000",o,"2,300,000","2,300,000","2,300,000",0,0
Atwater Kent Museum,"267,101","205,805","203,660","2,145","268,630","268,630","268,630",o,0
Auditing (City Controller's Office),"7,839,698","5,349,399","5,144,758","204,641","7,556,052","7,449,931","7,449,931","106,121",o
Board of Building Standards,"61,163","49,702","41,751","7,951","71,601","70,169","70,169","1,432",o
Board of Ethics,"680,783","553,696","479,171","74,525","810,000","854,000","854,000","(44,000)",o
Board of L & Review,"135,740","107,711","88,903","18,808","155,721","152,607","152,607","3,114",o
Board of Revision of Taxes,"1,879,866","442,804","377,284","65,520","723,000","708,540","708,540","14,460",o
City Commissioners (Election Board),"8,804,511","6,185,021","5,957,487","227,534","9,104,177","8,922,093","8,922,093","182,084",o
City Council,"13,772,226","11,286,729","9,829,556","1,457,173","15,049,272","15,049,272","15,049,272",0,o
City Planning Commission,"2,248,238","1,523,766","1,655,588","(131,822)","2,257,200","2,212,057","2,212,057","45,143",o
City Representative,"903,905","602,336","753,213","(150,877)","907,766","889,611","889,611","18,155",o
City Treasurer,"760,712","657,394","638,526","18,868","904,699","886,605","886,605","18,094",o
Civil Service Commission,"167,909","127,369","125,478","1,891","170,309","166,903","166,903","3,406",o
Commerce,"1,950,658","1,579,407","1,400,427","178,980","2,274,813","2,331,813","2,331,813","(57,000)",o
Commerce-Economic Stimulus,"1,372,143","1,294,448","1,294,448",o,"1,372,143","1,294,448","1,294,448","77,695",o
Community College Subsidy,"25,409,207","25,409,207","25,409,207",o,"25,409,207","25,409,207","25,409,207",o,o
Convention Center Subsidy,"15,000,000","15,000,000","15,000,000",o,"15,000,000","15,000,000","15,000,000",o,o
District Attorney,"30,503,120","22,639,682","21,479,807","1,159,875","31,054,996","31,054,996","31,054,996",o,o
Finance,"16,360,143","10,687,247","10,443,471","243,776","12,703,760","12,816,087","12,816,087","(112,327)",o
Finance Contribution to the School District,"38,600,000",0,o,o,"48,930,000","48,930,000","48,930,000",0,o
Finance Employee Benefits,"967,058,680","906,866,399","906,866,399",o,"1,022,702,609","1,027,902,609","1,027,902,609","(5,200,000)",o
Employee Disability,"55,122,313","43,850,421","43,850,421",o,"55,853,503","55,853,503","55,853,503",o,o
FICA,"64,599,482","48,608,584","48,608,584",o,"62,145,805","64,945,805","64,945,805","(2,800,000)",o
Flex Cash Payments,"742,077","666,203","666,203",o,"1,000,000","1,000,000","1,000,000",o,o
Group Legal,"4,050,926","2,843,878","2,843,878",o,"4,133,938","4,133,938","4,133,938",o,o
Group Life Insurance,"7,727,138","4,188,917","4,188,917",o,"7,690,367","7,690,367","7,690,367",o,o
Health / Medical,"343,612,891","249,998,807","249,998,807",o,"346,140,249","346,140,249","346,140,249",o,o
Pension,"387,554,117","444,207,682","444,207,682",o,"452,250,487","452,250,487","452,250,487",o,o
Pension Obligation Bonds,"97,654,191","108,344,240","108,344,240",o,"102,075,000","102,075,000","102,075,000",o,o
Tool Allowance,"120,650","91,825","91,825",o,"100,000","100,000","100,000",o,o
Unemployment Compensation,"5,874,895","4,065,842","4,065,842",o,"3,180,260","5,580,260","5,580,260","(2,400,000)",o
Anticipated Workforce Savings (1),o,o,o,o,"(11,867,000)","(11,867,000)","(11,867,000)",o,o
Finance PGW Rental Reimbursement,"1,700,000",o,o,o,o,o,0,0,o
Fire,"193,766,312","135,033,978","133,576,355","1,457,623","190,031,950","194,031,950","194,031,950","(4,000,000)",o
First Judicial District,"115,239,201","86,070,563","86,012,320","58,243","110,817,323","116,967,323","116,967,323","(6,150,000)",o
Common Pleas Court,"75,832,442","60,833,976","59,665,263","1,168,713","79,165,282","82,715,282","82,715,282","(3,550,000)",o
Municipal Court,"8,234,033","5,885,593","6,234,475","(348,882)","7,331,577","8,031,577","8,031,577","(700,000)",o
Office of the Exec. Administrator,"25,963,809","15,285,728","16,133,210","(847,482)","19,382,250","20,682,250","20,682,250","(1,300,000)",o
Traffic Court,"5,208,917","4,065,266","3,979,372","85,894","4,938,214","5,538,214","5,538,214","(600,000)",o
Fleet Management,"47,594,973","37,699,606","38,242,745","(543,139)","45,151,989","49,909,814","49,909,814","(4,757,825)",o
Fleet Management Vehicle Purchases,"4,499,955","6,146,145","6,288,709","(142,564)","8,500,000","6,289,135","6,289,135","2,210,865",o
Free Library,"32,505,284","25,102,054","24,752,052","350,002","33,863,362","33,353,362","33,353,362","510,000",o
Historical Commission,"377,336","284,761","277,153","7,608","387,784","387,784","387,784",o,o
Hero Award,"35,000","25,000","25,000",o,"25,000","25,000","25,000",o,o
Human Relations Commission,"1,941,724","1,441,506","1,303,191","138,315","2,039,260","1,998,475","1,998,475","40,785",o
Human Services,"542,877,321","34,656,016","34,656,016",o,"111,934,770","110,108,096","110,108,096","1,826,674",o
Administration & Management,"13,568,582","1,076,901","1,076,901",o,"9,698,378","6,845,181","6,845,181","2,853,197",o
Contract Admin. & Program Evaluation,"5,898,217","351,025","351,025",o,"647,756","1,830,180","1,830,180","(1,182,424)",o
Juvenile Justice Services,"135,598,652","13,580,508","13,580,508",o,"29,024,615","23,687,829","23,687,829","5,336,786",o
Children & Youth (Child Welfare),"309,909,159","17,532,360","17,532,360",o,"46,002,047","60,217,488","60,217,488","(14,215,441)",o
Community Based Prevention Services,"77,902,711","2,115,222","2,115,222",o,"26,561,974","17,527,418","17,527,418","9,034,556",o
