0,1,2,3,4,5,6,7,8,9
Indemnities,"29,786,468","21,869,395","21,869,395",0,"25,613,915","35,619,915","35,619,915","(10,006,000)",0
"Information Services, Mayor's Office of","34,036,863","23,172,140","24,237,994","(1,065,854)","38,147,598","37,680,898","37,680,898","466,700",o
Labor Relations,"524,095","247,146","267,729","(20,583)","549,350","544,350","544,350","5,000",0
Law,"21,090,936","9,730,519","9,419,096","311,423","15,848,318","15,917,618","20,917,618","(5,069,300)","(5,000,000)"
Legal Services icl. Defender Association,"37,259,093","35,632,397","35,632,397",0,"37,506,660","35,631,327","35,631,327","1,875,333",0
Licenses & Inspections,"20,114,242","14,795,498","10,036,571","4,758,927","19,635,668","19,057,561","19,057,561","578,107",0
Licenses & Inspections - Demolitions,"10,140,597","4,927,949","5,264,111","(336,162)","8,000,000","8,250,000","8,250,000","(250,000)",0
Managing Director (MDO),"15,734,861","12,757,800","12,048,748","709,052","21,953,914","21,187,667","21,187,667","766,247",0
Mayor,"5,657,925","3,275,932","3,534,049","(258,117)","7,101,767","6,643,727","6,643,727","458,040",0
Mayor Scholarships,"199,860","200,000","199,982",18,"200,000","200,000","200,000",0,o
Mayor's Office of Community Services,"3,540,164",0,0,o,0,o,0,0,0
Mayor's Office of Transportation,0,"227,969","234,030","(6,061)","500,000","500,000","500,000",0,0
Mural Arts Program,"1,128,875","669,528","545,097","124,431","1,000,000","1,000,000","1,000,000",0,0
Off. of Behavioral Hith./Mental Retard. Svcs.,"14,136,399","13,018,197","12,228,603","789,594","14,261,952","14,276,252","14,276,252","(14,300)",0
Office of Housing and Comm. Developmt.,"5,200,000","3,000,000","3,000,000",0,"5,000,000","3,000,000","3,000,000","2,000,000",0
Office of Supportive Housing,"40,544,073","35,564,075","34,201,184","1,362,891","40,210,085","39,650,143","39,650,143","559,942",o
Personnel,"4,684,931","2,154,116","2,114,267","39,849","4,732,808","4,761,408","4,761,408","(28,600)",0
Police,"523,965,930","264,180,452","268,676,736","(4,496,284)","524,001,749","536,442,088","536,442,088","(12,440,339)",0
Prisons,"222,013,102","157,789,263","153,647,349","4,141,914","230,001,319","230,180,119","243,480,119","(13,478,800)","(13,300,000)"
Procurement,"4,983,699","2,390,434","2,679,776","(289,342)","5,222,603","4,762,424","4,762,424","460,179",0
Public Health,"112,695,423","92,522,610","89,696,510","2,826,100","122,778,884","122,062,235","122,062,235","716,649",0
Ambulatory Health Services,"47,584,498","35,135,360","33,348,633","1,786,727","48,386,159","49,063,556","49,063,556","(677,397)",o
"Early Childhood, Youth & Women's Health","2,475,765","1,752,694","760,956","991,738","3,783,521","3,280,556","3,280,556","502,965",o
Phila. Nursing Home,"36,596,842","38,878,084","38,882,143","(4,059)","40,970,775","40,722,425","40,722,425","248,350",o
Environmental Protection Services,"8,744,494","6,075,260","6,062,038","13,222","9,218,213","9,217,833","9,217,833",380,o
Administration and Support Svcs,"8,211,514","4,442,615","4,349,653","92,962","10,008,699","9,635,155","9,635,155","373,544",o
Medical Examiner's Office,"3,480,540","2,109,324","2,125,570","(16,246)","4,040,353","4,036,365","4,036,365","3,988",o
Infectious Disease Control,"5,601,770","3,979,273","4,020,809","(41,536)","6,071,164","5,956,345","5,956,345","114,819",o
Chronic Disease,o,"150,000","146,708","3,292","300,000","150,000","150,000","150,000",o
Public Property,"53,054,886","22,107,827","23,060,539","(952,712)","61,742,541","58,716,331","58,716,331","3,026,210",0
Public Property SEPTA Subsidy,"61,339,000","25,734,000","31,468,000","(5,734,000)","63,077,000","63,077,000","63,077,000",0,0
Public Property Space Rentals,"15,546,843","15,788,554","15,485,013","303,541","16,543,000","15,788,554","15,788,554","754,446",o
Public Property Telecommunications,"2,551,431","2,707,876","2,973,589","(265,713)","3,000,000","2,741,000","2,741,000","259,000",0
Public Property Utilities,"33,127,551","30,036,400","32,484,999","(2,448,599)","32,490,000","32,490,000","32,490,000",0,0
Records,"7,633,941","5,353,952","5,194,939","159,013","7,679,871","6,952,884","6,952,884","726,987",o
Recreation,"38,769,657","22,088,423","21,784,972","303,451","40,395,732","38,714,870","38,714,870","1,680,862",0
Refunds,"234,892","122,250",808,"121,442","250,000","244,500","244,500","5,500",0
Register of Wills,"3,522,395","1,756,290","1,807,340","(51,050)","3,776,976","3,588,127","3,588,127","188,849",0
Revenue,"16,370,599","9,004,913","8,762,586","242,327","17,197,437","17,398,570","17,398,570","(201,133)",0
Sheriff,"15,218,436","7,448,768","7,670,382","(221,614)","15,271,619","14,520,138","15,220,138","51,481","(700,000)"
Sinking Fund (Debt Service),"172,220,972","84,339,452","84,339,452",0,"202,567,604","199,866,010","199,866,010","2,701,594",0
Streets,"33,583,751","17,566,633","16,079,075","1,487,558","42,520,085","32,355,385","32,355,385","10,164,700",0
Engineering Design & Surveying,"5,453,250","2,667,661","2,584,988","82,673","5,760,978","5,845,238","5,845,238","(84,260)",o
General Support,"5,122,762","2,711,747","2,506,056","205,691","5,393,357","5,327,817","5,327,817","65,540",o
Highways,"9,159,740","7,400,619","6,346,287","1,054,332","23,411,365","13,707,725","13,707,725","9,703,640",o
Street Lighting,"10,350,741","2,348,957","2,459,089","(110,132)","4,074,468","3,568,728","3,568,728","505,740",o
Traffic Engineering,"3,497,258","2,437,649","2,182,655","254,994","3,879,917","3,905,877","3,905,877","(25,960)",o
Streets Sanitation,"95,005,450","76,732,762","76,440,902","291,860","102.572,395","100,832,895","100,832,895","1,739,500",0
Witness Fees,"131,769","85,759","65,061","20,698","171,518","171,518","171,518",0,o
Youth Commission,0,"50,000","17,803","32,197","100,000","100,000","100,000",o,0
Zoning Board of Adjustment,"342,536","212,727","172,885","39,842","445,810","449,110","449,110","(3,300)",o
Zoning Code Commission,"239,444","204,916","205,584",(668),"500,000","500,000","500,000",0,0
TOTAL GENERAL FUND,"3,919,842,396","2,508,833,163","2,511,867,934","(3,034,771)","4,031,712,000","3,931,739,646","3,953,139,646","78,572,354","(21,400,000)"
