0,1,2,3,4,0,1,2,3,4
Art Museum Subsidy,"2,300,000","1,725,000","1,725,000",0,"2,300,000","2,300,000","2,300,000",0,0
Atwater Kent Museum,"265,694","206,145","206,145",0,"268,630","270,163","270,163","(1,533)",0
Auditing (City Controller's Office),"7,288,507","5,005,902","4,961,835","44,067","7,449,931","7,665,486","7,665,486","(215,555)",0
Board of Building Standards,"57,935","48,598","40,875","7,723","70,169","70,941","70,941",(772),0
Board of Ethics,"682,572","615,382","511,648","103,734","898,000","908,942","908,942","(10,942)",0
Board of L & Review,"124,443","104,058","93,296","10,762","152,607","159,296","159,296","(6,689)",0
Board of Revision of Taxes,"539,709","500,326","362,469","137,857","708,540","715,175","715,175","(6,635)",0
City Commissioners (Election Board),"8,535,361","6,658,899","5,984,115","674,784","8,847,093","8,878,534","8,878,534","(31,441)",0
City Council,"13,758,182","11,212,335","9,400,232","1,812,103","35,549,272","15,635,737","15,635,737","19,913,535",0
City Planning Commission,"2,209,210","1,767,379","1,676,366","91,013","2,212,057","2,257,415","2,257,415","(45,358)",0
City Representative,"878,647","597,336","710,288","(112,952)","889,611","1,012,690","1,012,690","(123,079)",0
City Treasurer,"825,035","663,026","677,322","(14,296)","886,605","896,096","896,096","(9,491)",0
Civil Service Commission,"166,720","126,494","127,546","(1,052)","166,903","167,682","167,682",(779),0
Commerce,"2,067,253","2,078,141","1,936,282","141,859","2,681,813","2,676,277","2,676,277","5,536",0
Commerce-Economio Stimulus,"1,294,448","1,294,448","1,281,504","12,944","1,294,448","1,294,448","1,294,448",0,0
Community College Subsidy,"25,409,207","25,409,207","25,409,207",0,"25,409,207","25,409,207","25,409,207",0,0
Convention Center Subsidy,"15,000,000","15,000,000","15,000,000",o,"15,000,000","15,000,000","15,000,000",0,0
District Attorney,"30,632,240","22,643,726","21,448,933","1,194,793","31,054,996","31,489,711","31,489,711","(434,715)",0
Finance,"15,395,169","12,218,093","11,491,687","726,406","12,980,135","15,577,551","15,577,551","(2,597,416)",0
Finance Contribution to the School District,"48,930,000","38,000,000","38,000,000",0,"48,990,000","68,990,000","68,990,000","(20,000,000)",0
Finance Employee Benefits,"1,066,249,915","829,581,803","829,581,803",0,"1,118,256,727","1,124,584,538","1,124,584,538","(6,327,811)",0
Employee Disability,"54,291,538","45,466,506","45,466,506",o,"58,294,301","58,294,301","58,294,301",o,o
FICA,"67,180,975","49,705,520","49,705,520",0,"64,893,903","64,893,903","64,893,903",o,o
Flex Cash Payments,"666,203","726,258","726,258",0,"1,000,000","1,000,000","1,000,000",o,o
Group Legal,"3,871,727","2,855,052","2,855,052",0,"4,134,000","4,134,000","4,134,000",o,o
Group Life Insurance,"7,758,985","5,668,347","5,668,347",o,"7,750,000","7,750,000","7,750,000",0,0
Health / Medical,"379,419,925","262,318,893","262,318,893",0,"357,440,044","368,507,855","368,507,855","(11,067,811)",0
Pension,"447,700,184","346,787,909","346,787,909",o,"522,007,030","512,207,030","512,207,030","9,800,000",o
Pension Obligation Bonds,"00,103,959","112,316,282","112,316,282",0,"107,099,189","107,099,189","107,099,189",o,o
Tool Allowance,"91,825","93,750","93,750",0,"125,000","125,000","125,000",0,o
Unemployment Compensation,"5,164,594","3,643,286","3,643,286",0,"5,580,260","5,580,260","5,580,260",o,o
Anticipated Workforce Savings (1),0,0,0,0,"(10,067,000)","(5,007,000)","(5,007,000)","(5,060,000)",0
Fire,"195,049,508","137,655,050","137,470,861","184,189","189,305,204","196,548,110","198,548,110","(9,242,906)","(2,000,000)"
First Judicial District,"116,949,256","81,205,433","80,520,907","684,526","101,370,322","108,273,911","108,273,911","(6,903,589)",0
Common Pleas Court,"79,914,609","54,128,903","54,144,413","(15,511)","67,718,281","72,171,870","72,171,870","(4,453,589)",o
Municipal Court,"8,494,504","6,578,683","6,402,556","176,127","7,331,577","8,771,577","8,771,577","(1,440,000)",o
Office of the Exec. Administrator,"23,219,438","16,580,438","16,086,635","493,803","21,382,250","22,107,250","22,107,250","(725,000)",0
Traffic Court,"5,320,705","3,917,411","3,887,303","30,108","4,938,214","5,223,214","5,223,214","(285,000)",o
Fleet Management,"49,626,911","37,337,044","37,351,366","(14,322)","44,909,814","49,962,288","49,962,288","(5,052,474)",0
Fleet Management Vehicle Purchases,"6,288,709","9,366,071","10,361,013","(994,942)","10,465,000","10,965,000","10,965,000","(500,000)",0
Free Library,"33,268,796","25,365,150","25,290,749","74,401","33,682,773","33,998,189","33,998,189","(315,416)",0
Historical Commission,"358,585","277,579","256,570","21,009","387,784","394,574","394,574","(6,790)",0
Hero Award,"28,000","21,000","21,000",0,"25,000","25,000","25,000",0,0
Human Relations Commission,"1,829,869","1,391,494","1,199,630","191,864","1,998,475","2,004,933","2,004,933","(6,458)",0
Human Services,"101,929,326","76,245,684","79,174,471","(2,928,787)","111,037,535","101,660,912","101,660,912","9,376,623",0
Administration & Management,"4,844,392","6,285,214","2,089,816","4,195,398","13,406,708","3,010,849","3,010,849","10,395,859",o
Performance Management & Accountability,"1,338,609","1,188,827","371,377","817,450","1,142,775","466,463","466,463","676,312",o
Juvenile Justice Services,"34,173,527","21,728,222","33,579,447","(11,851,226)","25,137,387","38,237,003","38,237,003","(13,099,616)",o
Children & Youth (Child Welfare),"47,226,493","47,043,422","43,133,831","3,909,591","50,066,546","59,673,715","59,673,715","(9,607,169)",o
Community Based Prevention Services,"14,346,305",o,o,o,"21,284,119",0,o,"21,284,119",0
