0,1,2,3,4,0,1,2,3,4
,,,YEAR TO DATE,,,,FULL YEAR,,
DEPARTMENT,FY 13 ACTUAL,TARGET BUDGET PLAN,ACTUAL,ACTUAL (OVER) UNDER TARGET BUDGET,ORIGINAL ADOPTED BUDGET,TARGET BUDGET,CURRENT PROJECTION,CURRENT PROJECTION (OVER) UNDER ADOPTED BUDGET,TARGET
Art Museum Subsidy,"2,300,000","2,550,000","2,550,000",0,"2,550,000","2,550,000","2,550,000",0,0
Atwater Kent Museum,"270,143","227,391","227,391",0,"270,674","270,674","270,674",0,0
Auditing (City Controller's Office),"7,027,133","5,772,298","5,346,730","425,568","7,696,397","7,696,397","7,696,397",0,0
Board of Ethics,"712,672","648,236","535,830","112,406","1,000,000","1,000,000","1,000,000",0,0
Board of Revision of Taxes,"1,056,069","1,018,190","758,317","259,873","1,050,587","1,357,587","1,357,587","(307,000)",0
City Commissioners (Election Board),"8,683,402","6,256,666","5,830,058","426,608","8,889,014","8,889,014","8,889,014",0,0
City Council,"13,430,973","10,350,000","10,100,986","249,014","15,814,559","16,164,559","16,164,559","(350,000)",0
City Planning Commission,"2,251,986","1,665,132","1,609,682","55,450","2,272,534","2,272,534","2,272,534",0,0
City Representative,"959,503","711,716","701,256","10,460","1,005,915","1,005,915","1,005,915",0,0
City Treasurer,"883,997","657,149","663,347","(6,198)","899,260","899,260","899,260",0,0
Civil Service Commission (1),"170,585","129,133","131,649","(2,516)","84,875,942","38,897,658","38,897,658","45,978,284",0
Commerce,"2,544,250","2,160,640","2,093,902","66,738","2,710,189","2,710,189","2,710,189",0,0
Commerce-Convention Center Subsidy,"15,000,000","15,000,000","15,000,000",0,"15,000,000","15,000,000","15,000,000",0,0
Commerce-Economic Stimulus,"1,294,448","1,294,448","1,294,448",0,"1,294,448","1,294,448","1,294,448",0,0
District Attorney,"31,449,689","23,228,867","22,946,836","282,031","32,081,616","32,531,616","32,531,616","(450,000)",0
Finance,"17,167,409","13,250,546","12,477,193","773,353","17,349,592","17,649,592","17,649,592","(300,000)",0
Finance-Community College Subsidy,"25,409,207","26,409,207","26,409,207",0,"26,409,207","26,409,207","26,409,207",0,0
Finance - Employee Benefits,"1,119,074,214","1,094,239,556","1,094,239,556",0,"1,177,304,676","1,226,624,409","1,226,624,409","(49,319,733)",0
Unemployment Compensation,"3,491,713","2,393,332","2,393,332",0,"5,580,260","5,580,260","5,580,260",0,0
Employee Disability,"57,372,545","44,281,352","44,281,352",0,"63,316,041","63,316,041","63,316,041",0,0
Pension Obligation Bonds,"196,609,859","237,205,436","237,205,436",0,"105,350,670","215,302,310","215,302,310","(109,951,640)",0
Pension,"422,264,480","439,514,618","439,514,618",0,"562,169,000","452,217,360","452,217,360","109,951,640",0
FICA,"64,699,067","47,433,585","47,433,585",0,"65,003,402","65,003,402","65,003,402",0,0
Flex Cash Payments,"726,258","581,845","581,845",0,"1,000,000","1,000,000","1,000,000",0,0
Health/Medical,"363,177,332","314,320,216","314,320,216",0,"362,876,303","411,948,784","411,948,784","(49,072,481)",0
Group Life Insurance,"6,794,025","5,310,218","5,310,218",0,"7,750,000","7,750,000","7,750,000",0,0
Group Legal,"3,845,185","3,104,704","3,104,704",0,"4,134,000","4,381,252","4,381,252","(247,252)",0
Tool Allowance,"93,750","94,250","94,250",0,"125,000","125,000","125,000",0,0
Finance-Hero Scholarship Awards,"21,000","18,000","18,000",0,"25,000","25,000","25,000",0,0
Finance-Indemnities,"30,268,500","30,942,826","30,942,826",0,"32,500,000","41,000,000","41,000,000","(8,500,000)",0
Finance-Refunds,36,"100,000","100,000",0,"250,000","250,000","250,000",0,0
Finance-School District Contribution,"68,990,000","114,050,100","114,050,100",0,"69,050,100","114,050,100","114,050,100","(45,000,000)",0
Finance-Witness Fees,"132,008","66,340","66,340",0,"171,518","171,518","171,518",0,0
Fire,"200,016,007","179,358,802","182,417,340","(3,058,538)","197,180,578","244,669,197","246,669,197","(49,488,619)","(2,000,000)"
First Judicial District,"110,653,579","79,261,835","77,197,259","2,064,576","104,973,196","105,682,447","105,682,447","(709,251)",0
Common Pleas Court,"72,511,914","54,197,345","52,941,043","1,256,302","72,263,126","72,972,377","72,972,377","(709,251)",0
Office of Court Administrator,"24,196,169","14,145,790","13,873,999","271,791","18,151,802","18,151,802","18,151,802",0,0
Municipal Court,"8,743,120","6,745,844","6,619,516","126,328","8,994,459","8,994,459","8,994,459",0,0
Traffic Court,"5,202,376","4,172,857","3,762,701","410,156","5,563,809","5,563,809","5,563,809",0,0
Fleet Management,"49,840,244","39,877,320","40,827,464","(950,144)","47,479,779","49,779,779","49,779,779","(2,300,000)",0
Fleet Management - Vehicle Purchases,"10,947,988","8,675,113","8,944,349","(269,236)","8,965,000","12,565,000","12,565,000","(3,600,000)",0
Free Library,"33,550,653","26,631,422","26,539,819","91,603","35,258,328","35,258,328","35,258,328",0,0
Historical Commission,"351,708","280,815","249,431","31,384","396,837","396,837","396,837",0,0
Human Relations Commission,"1,688,098","2,013,747","1,262,154","751,593","2,013,747","2,013,747","2,013,747",0,0
Human Services,"90,394,071","87,578,385","78,682,685","8,895,700","98,338,951","98,338,951","98,338,951",0,0
Administration & Management,"2,825,751","7,599,095",3.793.833,"3,805,262","6,543,077","6,543,077","6,543,077",0,0
Performance Management & Accountability,"600,161",1.365.296,458.862,906.434,"1,570,682","1,570,682","1,570,682",0,0
Juvenile Justice Services,"35.533,641","33,481,668","28,584,906","4,896,762","36,788,887","36,788,887","36,788,887",0,0
Children & Youth (Child Welfare),"51,434,518","45,132,326","45,845,084","(712,758)",53.436.305,"53,436,305","53,436,305",0,0
