0,1,2,3,4,5,6,7,8
Art Museum Subsidy,"2,300,000","2,300,000","2,300,000",o,"2,300,000","2,300,000","2,300,000",0
Atwater Kent Museum,"298,059","99,658","77,964","21,694","248,630","248,630","248,630",0
Auditing (City Controller's Office),"7,408,017","1,693,621","1,785,842","(92,221)","7,291,566","7,236,052","7,236,052","55,514"
Board of Building Standards,"61,283","13,879","14,378",(499),"71,601","71,601","71,601",0
Board of Ethics,"705,545","169,011","147,323","21,688","810,000","810,000","810,000",o
Board of L & I Review,"127,040","32,692","26,096","6,596","155,721","155,721","155,721",0
Board of Revision of Taxes,"7,463,012","1,555,461","1,717,063","(161,602)","6,502,559","6,502,559","8,002,559","(1,500,000)"
Camp William Penn,"100,448",0,0,0,0,0,0,o
City Commissioners (Election Board),"9,021,144","2,024,340","1,780,776","243,564","8,794,177","8,794,177","8,794,177",0
City Council,"13,373,484","4,151,108","3,501,942","649,166","15,048,972","15,048,972","15,048,972",0
City Planning Commission,"2,904,020","581,512","511,290","70,222","2,551,249","2,257,200","2,257,200","294,049"
City Representative,"906,162","90,270","598,575","(508,305)","945,591","907,767","907,767","37,824"
City Treasurer,"647,559","206,780","169,663","37,117","904,699","904,699","904,699",0
Civil Service Commission,"154,111","60,456","58,406","2,050","170,309","170,309","170,309",0
Clerk of Quarter Sessions,"4,509,567","956,138","965,108","(8,970)","4,549,313","4,367,341","4,367,341","181,972"
Commerce,"3,148,757","517,362","578,625","(61,263)","2,190,276","2,102,665","2,102,665","87,611"
Commerce-Economio Stimulus,o,0,0,0,"1,452,386","1,394,291","1,394,291","58,095"
Community College Subsidy,"26,467,924","25,409,207","25,409,207",o,"26,467,924","25,409,207","25,409,207","1,058,717"
Convention Center Subsidy,"24,171,817","15,000,000","15,000,000",o,"15,000,000","15,000,000","15,000,000",0
District Attorney,"30,071,519","7,343,172","7,186,611","156,561","29,062,121","29,062,121","30,462,121","(1,400,000)"
Division of Technology,"38,521,370","25,856,859","25,856,859",o,"67,432,032","63,582,751","63,582,751","3,849,281"
Fairmount Park,"12,504,253",o,o,0,0,0,o,0
Finance,"15,895,412","4,718,418","5,190,870","(472,452)","12,171,642","11,703,760","11,703,760","467,882"
Finance Contribution to the School District,"38,540,000",0,0,0,"38,600,000","38,600,000","38,600,000",0
Finance Employee Benefits,"829,855,069","136,198,773","136,198,773",o,"964,887,316","964,887,316","964,887,316",0
Employee Disability,"50,256,169","18,205,174","18,205,174",o,"54,031,478","54,031,478","54,031,478",o
FICA,"65,177,998","16,235,597","16,235,597",o,"70,227,016","70,227,016","70,227,016",o
Flex Cash Payments,"778,134",o,o,o,"1,000,000","1,000,000","1,000,000",o
Group Legal,"4,140,577","1,028,716","1,028,716",o,"4,425,000","4,425,000","4,425,000",0
Group Life Insurance,"7,703,547","1,930,840","1,930,840",o,"7,600,000","7,600,000","7,600,000",o
Health/Medical,"349,697,600","83,085,252","83,085,252",o,"369,977,854","369,977,854","369,977,854",o
Pension,"250,009,741",o,o,o,"381,363,000","381,363,000","381,363,000",o
Pension Obligation Bonds,"96,719,881","14,683,675","14,683,675",o,"98,615,000","98,615,000","98,615,000",o
Tool Allowance,"94,600",0,0,o,"100,000","100,000","100,000",0
Unemployment Compensation,"5,276,822","1,029,519","1,029,519",o,"2,547,968","2,547,968","2,547,968",0
Anticipated Workforce Savings,o,0,o,o,"(25,000,000)","(25,000,000)","(25,000,000)",o
Finance PGW Rental Reimbursement,"18,000,000",0,o,0,"18,000,000",0,0,"18,000,000"
Fire,"188,887,804","40,524,065","49,196,227","(8,672,162)","188,762,090","188,798,695","190,998,695","(2,236,605)"
First Judicial District,"107,227,069","23,828,708","26,989,562","(3,160,854)","99,096,983","99,096,983","99,096,983",0
Common Pleas Court,"72,394,299","16,239,496","18,093,657","(1,854,161)","67,616,450","67,616,450","67,616,450",0
Municipal Court,"8,338,567","1,700,520","1,989,166","(288,646)","7,150,328","7,150,328","7,150,328",o
Office of the Exec. Administrator,"21,409,770","4,707,147","5,594,263","(887,116)","19,561,040","19,561,040","19,561,040",o
Traffic Court,"5,084,433","1,181,545","1,312,476","(130,931)","4,769,165","4,769,165","4,769,165",o
Fleet Management,"44,600,981","12,575,618","12,631,056","(55,438)","47,437,489","45,539,989","45,539,989","1,897,500"
Fleet Management Vehicle Purchases,"2,722,425","1,285,923","1,439,933","(154,010)","4,000,000","4,000,000","4,000,000",0
Free Library,"32,481,012","8,775,112","8,626,364","148,748","32,968,362","32,968,362","32,968,362",o
Historical Commission,"386,824","91,979","87,422","4,557","403,942","387,784","387,784","16,158"
Hero Award,"42,500","35,000","35,000",0,"25,000","37,000","37,000","(12,000)"
Human Relations Commission,"1,983,420","497,078","426,025","71,053","2,066,937","1,984,259","1,984,259","82,678"
Human Services,"561,082,074","401,255,967","342,670,337","58,585,630","576,365,473","564,365,506","564,365,506","11,999,967"
Administration & Management,"14,668,443","4,917,704","2,772,432","2,145,272","13,663,833","14,057,426","14,057,426","(393,593)"
Contract Admin. & Program Evaluation,"5,181,731","1,339,141","1,484,312","(145,171)","5,783,734","5,864,055","5,919,055","(135,321)"
Juvenile Justice Services,"137,511,378","98,212,162","75,196,664","23,015,498","140,067,590","140,099,090","140,099,090","(31,500)"
Children & Youth (Child Welfare),"325,837,422","229,855,828","204,100,523","25,755,305","334,666,728","324,652,391","323,997,391","10,669,337"
Community Based Prevention Services,"77,883,100","66,931,132","59,116,406","7,814,726","82,183,588","79,692,544","80,292,544","1,891,044"
