0,1,2,3,4,5,6,7,8,9
Indemnities,32718289,18404077,20213433,-1809357,"42,000,000","36,808,153","35,995,361","6,004,639","812,792"
Law,"17,889,976","9,217,759","10,072,070","(854,311)","18,665,480","17,918,861","17,918,861","746,619",0
Legal Services icl. Defender Association,"35,941,187","36,616,187","35,941,187","675,000","35,941,187","35,941,187","36,616,187","(675,000)","(675,000)"
Licenses & Inspections,"22,696,814","11,408,897","10,009,151","1,399,746","23,068,925","22,146,168","22,146,168","922,757",0
Managing Director (MDO),"16,471,347","7,839,945","8,343,505","(503,560)","17,983,836","16,287,057","16,413,517","1,570,319","(126,460)"
Mayor,"3,597,579","1,752,318","1,903,336","(151,018)","3,838,884","3,639,665","3,639,665","199,219",0
Mayor Office of Arts and Culture,"3,943,042","2,442,790","2,443,187",(397),"3,905,113","2,545,113","2,545,113","1,360,000",O
Mayor Office of the Inspector General,"1,145,973","612,817","572,153","40,664","1,379,677","1,281,451","1,281,451","98,226",0
Mayor Office of Labor Relations,"523,171","231,246","225,738","5,508","523,350","502,416","502,416","20,934",0
Mayor Scholarships,"193,305","100,000","197,600","(97,600)","200,000","200,000","200,000",0,0
Mayor's Office of Community Services,0,0,0,0,0,0,0,0,0
Mayor's Office of Transportation,"482,014","239,070","323,194","(84,124)","500,000","480,000","480,000","20,000",O
Mural Arts Program,"973,182","742,000","705,408","36,592","1,000,000","960,000","960,000","40,000",0
Off. of Behavioral Hlth./Mental Retard. Svcs.,"14,238,870","13,440,091","13,149,511","290,580","14,271,572","14,271,572","14,271,572",0,0
Office of Housing and Comm. Developmt.,"2,800,000","1,746,500","1,746,500",0,"2,800,000","1,820,000","1,820,000","980,000",0
Office of Human Resources,"4,047,043","2,442,355","2,330,569","111,786","5,185,757","4,978,327","5,055,127","130,630","(76,800)"
Office of Property Assessment,0,"2,038,864","1,999,025",0,0,0,"6,108,530","(6,108,530)","(6,108,530)"
Office of Supportive Housing,"38,386,664","32,980,581","32,280,866","699,715","38,473,558","36,466,253","36,466,253","2,007,305",0
Parks and Recreation,"32,802,685","25,178,661","25,904,333","(725,672)","49,828,904","44,787,749","44,787,748","5,041,156",1
Police,"528,853,734","254,796,375","262,753,910","(7,957,535)","538,403,280","527,635,215","530,035,214","8,368,066","(2,399,999)"
Prisons,"233,814,188","166,816,817","143,620,398","23,196,419","234,139,870","233,139,870","233,139,870","1,000,000",0
Procurement,"4,397,299","2,076,624","2,120,333","(43,709)","4,238,574","4,151,574","4,151,574","87,000",0
Public Health,"111,098,894","85,777,671","86,393,926","(616,255)","113,962,348","113,724,556","113,724,556","237,792",0
Ambulatory Health Services,"47,575,939","30,854,412","32,220,615","(1,366,203)","45,585,395","44,660,603","44,660,603","924,792",o
"Early Childhood, Youth & Women's Health","1,408,376","757,207","685,039","72,168","1,694,245","1,694,245","1,694,245",0,o
Phila. Nursing Home,"36,684,477","38,122,296","37,967,781","154,515","40,477,775","40,377,775","40,377,775","100,000",o
