0,1,2,3,4,5,6,7,8,9
Art Museum Subsidy,"2,500,000","3,000,000","3,000,000",0,"3,000,000","3,000,000","3,000,000",0,0
Atwater Kent Museum,"306,702","170,650","167,026","3,624","320,000","291,300","291,300","28,700",0
Auditing (City Controller's Office),"8,218,657","3,919,309","4,004,051","(84,742)","8,255,248","7,922,786","7,922,786","332,462",0
Board of Building Standards,"95,694","56,418","51,471","4,947","112,792","113,892","113,892","(1,100)",0
Board of Ethics,"542,111","373,726","368,078","5,648","1,000,000","950,000","950,000","50,000",0
Board of L & Review,"202,726","119,062","117,133","1,929","222,458","223,558","223,558","(1,100)",0
Board of Revision of Taxes,"8,359,922","4,154,174","4,212,927","(58,753)","8,611,144","8,734,344","10,034,344","(1,423,200)","(1,300,000)"
Camp William Penn,"377,966","132,000","90,564","41,436","100,000","132,000","132,000","(32,000)",0
Capital Program Office,"2,337,649","1,789,708","1,719,764","69,944","3,518,636","3,059,904","3,059,904","458,732",0
City Commissioners (Election Board),"9,285,945","4,813,520","5,945,969","(1,132,449)","8,995,597","8,625,567","9,325,567","(329,970)","(700,000)"
City Council,"14,578,420","8,470,292","7,083,848","1,386,444","17,832,493","16,940,883","16,940,883","891,610",0
City Planning Commission,"3,348,132","1,452,118","1,513,831","(61,713)","3,328,054","3,367,654","3,367,654","(39,600)",o
City Representative,0,"3,149,638","3,797,230","(647,592)","5,981,231","5,362,513","5,362,513","618,718",0
City Treasurer,"718,384","299,922","316,402","(16,480)","770,304","776,904","776,904","(6,600)",o
Civil Service Commission,"148,624","101,527","99,528","1,999","169,209","170,309","170,309","(1,100)",0
Clerk of Quarter Sessions,"4,864,504","2,458,746","2,651,201","(192,455)","5,017,014","4,889,363","5,289,363","(272,349)","(400,000)"
Commerce,"9,629,152","400,797","668,170","(267,373)","1,574,923","1,985,318","1,985,318","(410,395)",0
Commerce-Economic Stimulus,"4,000,000","1,777,500","1,777,500",0,"2,000,000","1,777,500","1,777,500","222,500",0
Community College Subsidy,"24,467,924","26,467,924","26,467,924",0,"28,467,924","26,467,924","26,467,924","2,000,000",0
Convention Center Subsidy,"32,310,293","22,652,522","22,652,522",o,"39,954,522","22,652,522","22,652,522","17,302,000",0
District Attorney,"31,751,555","16,943,232","16,465,690","477,542","31,987,373","30,578,149","30,578,149","1,409,224",0
Fairmount Park,"13,172,039","8,050,716","7,917,615","133,101","15,740,540","14,301,487","14,301,487","1,439,053",0
Finance,"20,703,258","9,417,182","10,285,302","(868,120)","21,147,823","17,244,961","17,244,961","3,902,862",0
Finance - Contribution to the School District,"37,000,000",o,o,0,"38,490,000","38,490,000","38,490,000",0,0
Finance - Employee Benefits,"983,038,761","661,794,669","661,794,669",0,"1,004,944,233","965,187,833","965,187,833","39,756,400",0
Employee Disability,"46,716,813","23,651,817","23,651,817",o,"50,472,890","50,472,890","50,472,890",o,o
FICA,"69,651,940","34,118,046","34,118,046",o,"69,199,121","69,199,121","69,199,121",o,o
Flex Cash Payments,"728,710","783,052","783,052",o,"1,000,000","1,000,000","1,000,000",o,o
Group Legal,"4,046,836","4,784,854","4,784,854",o,"4,425,000","4,425,000","4,425,000",o,o
Group Life Insurance,"7,241,523","4,194,116","4,194,116",o,"7,600,000","7,600,000","7,600,000",o,o
Health/Medical,"421,031,060","192,019,325","192,019,325",o,"385,827,854","368,777,854","368,777,854","17,050,000",o
Pension,"352,386,519","385,015,008","385,015,008",o,"459,744,000","377,961,658","377,961,658","81,782,342",o
Pension Obligation Bonds,"78,377,236","15,278,861","15,278,861",o,o,"83,103,342","83,103,342","(83,103,342)",o
Tool Allowance,"63,325","104,150","104,150",o,"100,000","100,000","100,000",o,o
Unemployment Compensation,"2,794,799","1,845,440","1,845,440",o,"2,547,968","2,547,968","2,547,968",o,o
Finance PGW Rental Reimbursement,"18,000,000",0,o,o,"18,000,000","18,000,000","18,000,000",0,0
Fire,"189,179,212","88,585,522","90,391,046","(1,805,524)","192,693,965","195,831,554","195,831,554","(3,137,589)",o
First Judicial District,"120,016,366","54,811,009","63,324,313","(8,513,304)","114,552,203","108,824,593","108,824,593","5,727,610",o
Common Pleas Court,"81,759,784","37,318,815","41,794,978","(4,476,163)","78,280,951","74,366,903","74,366,903","3,914,048",o
Municipal Court,"8,415,369","3,973,318","4,201,164","(227,846)","8,337,338","7,920,471","7,920,471","416,867",o
Office of the Exec. Administrator,"24,716,326","10,868,783","14,288,065","(3,419,282)","22,395,571","21,275,793","21,275,793","1,119,778",o
Traffic Court,"5,124,887","2,650,093","3,040,106","(390,013)","5,538,343","5,261,426","5,261,426","276,917",o
Fleet Management,"49,211,366","32,110,307","31,784,156","326,151","50,083,424","48,881,690","48,881,690","1,201,734",0
Fleet Management Vehicle Purchases,"17,348,572","6,075,927","6,075,927",0,"13,100,000","6,075,926","6,075,926","7,024,074",0
Free Library,"40,458,971","20,075,031","19,803,385","271,646","40,245,065","36,984,508","36,984,508","3,260,557",0
Historical Commission,"404,836","194,989","180,367","14,622","407,620","413,120","413,120","(5,500)",0
Hero Award,"32,000","29,500","29,500",0,"25,000","30,500","30,500","(5,500)",0
Human Relations Commission,"2,121,591","1,064,432","1,023,346","41,086","2,186,091","2,156,791","2,156,791","29,300",0
Human Services,"614,779,975","504,454,173","498,539,926","5,914,247","616,308,936","605,419,669","605,419,669","10,889,267",o
Administration & Management,"13,965,974","9,085,496","8,785,021","300,475","15,861,456","15,861,456","15,861,456",o,o
Contract Admin. & Program Evaluation,"3,090,174","1,598,963","1,550,751","48,212","3,227,371","3,227,371","3,227,371",o,o
Juvenile Justice Services,"129,513,578","107,335,379","106,329,990","1,005,389","134,199,780","134,212,380","134,212,380","(12,600)",o
Children & Youth (Child Welfare),"349,018,002","288,713,756","302,575,465","(13,861,709)","351,215,363","351,815,363","351,815,363","(600,000)",o
Community Based Prevention Services,"119,192,247","97,720,579","79,298,699","18,421,880","111,804,966","100,303,099","100.303,099","11,501,867",o
