0,1,2,3,4,5,6,7,8
Indemnities,"34,536,970","6,125,000","5,142,728","982,272","24,500,000","24,500,000","24,500,000",0
Law,"19,256,401","6,151,659","6,151,659",o,"20,768,318","19,468,318","19,468,318","1,300,000"
Legal Services icl. Defender Association,"37,338,541","35,941,188","35,941,188",o,"35,941,188","35,941,188","35,941,188",o
Licenses & Inspections,"26,667,003","5,238,547","5,238,547",0,"24,102,601","23,962,601","23,962,601","140,000"
Managing Director (MDO),"20,129,699","4,645,760","4,645,760",0,"18,786,569","17,613,569","17,613,569","1,173,000"
Mayor,"5,948,974","906,376","868,220","38,156","4,359,384","3,984,384","3,984,384","375,000"
Mayor Office of Arts and Culture,0,"279,956","274,944","5,012","3,935,113","3,935,113","3,935,113",0
Mayor Office of the Inspector General,0,"306,193","306,193",,"1,309,677","1,309,677","1,309,677",0
Mayor Office of Labor Relations,"534,790","125,079","114,504",,"485,415","485,415","485,415",0
Mayor Scholarships,"199,982",o,"19,675",,"200,000","200,000","200,000",0
Mayor's Office of Community Services,o,o,o,0,0,0,0,0
Mayor's Office of Transportation,"410,517","111,111","158,026","(46,915)","500,000","500,000","500,000",o
Mural Arts Program,"763,065","91,508","91,508",0,"1,000,000","1,000,000","1,000,000",0
Off. of Behavioral Hith./Mental Retard. Svcs.,"14,260,395","11,372,311","11,467,990","(95,679)","14,271,572","14,271,572","14,271,572",0
Office of Housing and Comm. Developmt.,"4,000,000","2,526,500","2,526,500",0,"2,800,000","2,800,000","2,800,000",o
Office of Human Resources,"4,197,540","1,183,326","1,183,326",0,"4,568,301","4,229,301","4,229,301","339,000"
Office of Supportive Housing,"39,436,609","28,287,422","28,171,108",,"38,473,558","38,473,558","38,473,558",o
Police,"534,322,120","116,853,457","120,879,257","(4,025,800)","522,478,250","524,278,250","528,278,250","(5,800,000)"
Prisons,"241,304,325","121,731,265","121,801,651","(70,386)","248,835,310","248,835,310","248,835,310",0
Procurement,"4,865,550","948,979","948,979",o,"3,775,000","3,775,000","3,775,000",0
Public Health,"116,239,900","55,570,061","55,861,673","(291,612)","116,936,576","116,936,577","116,936,577",(1)
Ambulatory Health Services,"49,295,384","24,013,648","24,928,908","(915,260)","48,168,701","48,168,701","48,168,701",0
"Early Childhood, Youth & Women's Health","2,246,984","299,170","445,410","(146,240)","1,694,245","1,694,245","1,694,245",o
Phila. Nursing Home,"38,010,812","23,055,791","19,381,210","3,674,581","40,477,775","40,477,775","40,477,775",o
Environmental Protection Services,"8,963,235","4,322,729","4,470,817","(148,088)","9,072,213","9,015,705","9,015,705","56,508"
Administration and Support Svcs,"8,059,380","1,881,170","2,313,412","(432,242)","7,905,521","7,962,029","7,962,029","(56,508)"
Medical Examiner's Office,"3,957,419","910,170","1,490,465","(580,295)","4,124,030","4,124,030","4,124,030",o
Infectious Disease Control,"5,706,686","1,087,383","2,831,451","(1,744,068)","5,494,091","5,494,092","5,494,092",(1)
Public Property,"52,640,536","19,714,520","20,173,673","(459,153)","56,359,878","53,859,878","53,859,878","2,500,000"
Public Property SEPTA Subsidy,"62,937,000","16,123,000","16,123,000",0,"64,164,000","64,164,000","64,164,000",o
Public Property Space Rentals,"15,058,094","15,083,108","15,083,108",0,"15,083,108","15,083,108","15,083,108",0
Public Property Telecommunications,"4,303,017","3,773,886","3,773,886",o,"9,584,598","9,584,598","9,584,598",o
Public Property Utilities,"33,134,587","29,590,713","29,590,713",o,"32,520,000","32,520,000","32,520,000",0
Records,"6,872,795","2,185,054","2,185,054",0,"5,334,815","5,334,815","5,334,815",0
Recreation,"36,462,424","11,676,339","11,676,339",0,"33,619,244","33,619,244","33,619,244",0
Refunds,895,"58,125",55,"58,070","250,000","232,500","232,500","17,500"
Register of Wills,"3,598,404","747,027","747,027",0,"3,399,278","3,399,278","3,399,278",0
Revenue,"16,996,753","4,492,366","4,492,366",0,"16,414,209","16,168,209","16,168,209","246,000"
Sheriff,"15,581,140","3,485,888","3,485,888",0,"13,066,657","13,066,657","13,066,657",0
Sinking Fund (Debt Service),"186,962,665","61,572,465","61,572,465",o,"215,530,786","215,530,786","210,830,786","4,700,000"
Streets,"31,671,296","7,885,774","7,885,774",o,"26,803,207","26,759,385","26,759,385","43,822"
Engineering Design & Surveying,"5,456,546","1,227,729","1,227,729",0,"5,017,166","5,017,166","5,017,166",0
General Support,"5,080,705","1,236,918","1,236,918",o,"4,501,664","4,501,664","4,501,664",o
Highways,"14,272,166","3,443,162","3,443,162",o,"11,308,898","11,308,898","11,308,898",o
Street Lighting,"3,109,048","1,045,959","1,045,959",o,"2,380,779","2,336,957","2,336,957","43,822"
Traffic Engineering,"3,752,831","932,006","932,006",o,"3,594,700","3,594,700","3,594,700",o
Streets Sanitation,"99,685,521","52,086,709","52,086,709",o,"90,320,851","87,364,673","87,364,673","2,956,178"
Witness Fees,"116,574","42,880","25,465","17,415","171,518","171,518","171,518",0
Youth Commission,"51,114","25,000","11,968","13,032","100,000","100,000","100,000",o
Zoning Board of Adjustment,"358,714","80,876","80,876",o,"377,871","377,871","377,871",0
Zoning Code Commission,"382,022","77,681","77,681",o,"500,000","500,000","500,000",o
,,,,,,,,
TOTAL GENERAL FUND,"3,915,287,574","1,372,213,400","1,374,695,537","(2,482,137)","3,693,829,000","3,696,750,330","3,701,050,330","(7,221,330)"
