0,1,2,3,4,5,6,7,8,9
Labor Relations,"479,327","108,379","108,379",0,"627,484","640,379","640,379","(12,895)",0
Law,"13,950,019","5,628,980","5,628,980",0,"13,422,633","13,636,792","13,636,792","(214,159)",0
Licenses & Inspections,"25,698,409","7,180,255","7,180,255",0,"27,903,338","28,819,158","28,819,158","(915,820)",0
L&I-Board of Building Standards,"62,431","13,333","13,333",0,"72,792","72,792","72,792",0,0
L&I-Board of L & I Review,"133,593","30,180","30,180",0,"164,065","168,000","168,000","(3,935)",0
L&I-Zoning Board of Adjustment,"357,092","88,830","88,830",0,"357,397","378,052","378,052","(20,655)",0
Managing Director's Office,"34,393,911","12,977,177","12,977,177",0,"34,733,180","35,368,203","35,368,203","(635,023)",0
Managing Director-Legal Services,"40,596,067","21,079,939","21,079,939",0,"41,827,017","42,603,468","42,603,468","(776,451)",0
Mayor's Office,"5,056,447","1,393,090","1,393,090",0,"5,241,881","5,353,310","5,353,310","(111,429)",0
Mayor's Office-Scholarships,"200,000","199,000","199,000",0,"200,000","200,000","200,000",0,0
Mayor's Office-Comm. Empowerment & Opp.,0,0,0,0,0,"605,000","605,000","(605,000)",0
Mayor's Office of Transportation & Utilities,"708,937","390,859","390,859",0,"788,817","821,442","821,442","(32,625)",0
Mural Arts Program,"1,586,246","93,967","93,967",0,"1,451,425","1,463,579","1,463,579","(12,154)",0
Office of Arts and Culture,"2,561,549","3,802,047","3,802,047",0,"3,971,288","3,972,593","3,972,593","(1,305)",0
Off. of Behavioral Hlth & Intellectual disAbility,"13,667,907","12,591,292","12,591,292",0,"13,944,680","13,967,356","13,967,356","(22,676)",0
Office of Housing and Comm. Development,"4,060,459","2,947,000","2,947,000",0,"3,020,000","2,570,000","2,570,000","450,000",0
Office of Human Resources,"5,497,266","1,245,689","1,245,689",0,"6,017,301","6,168,002","6,168,002","(150,701)",0
Office of Innovation and Technology,"64,077,538","17,735,764","17,735,764",0,"82,192,558","82,136,382","82,136,382","56,176",0
Office of the Inspector General,"1,400,719","431,030","431,030",0,"1,524,569","1,561,422","1,561,422","(36,853)",0
Office of Property Assessment,"10,875,784","3,303,787","3,303,787",0,"14,286,177","13,933,748","13,933,748","352,429",0
Office of Supportive Housing,"45,155,805","25,148,322","25,148,322",0,"43,974,069","45,026,928","45,026,928","(1,052,859)",0
Parks and Recreation,"54,366,727","19,770,265","19,770,265",0,"52,591,785","54,095,395","54,095,395","(1,503,610)",0
Police,"607,073,462","130,915,599","130,915,599",0,"592,509,659","613,275,530","613,275,530","(20,765,871)",0
Prisons,"245,813,812","112,874,835","112,874,835",0,"240,801,814","241,021,531","241,021,531","(219,717)",0
Procurement,"4,808,359","1,095,296","1,095,296",0,"4,695,453","4,793,879","4,793,879","(98,426)",0
Public Health,"109,946,985","57,794,926","57,794,926",0,"115,447,367","116,211,670","116,211,670","(764,303)",0
Ambulatory Health Services,"46,670,074","13,556,679","13,556,679",0,"47,297,606","48,061,909","48,061,909","(764,303)",0
Early Childhood. Youth & Women's Health,"1,255,143","423,695","423,695",0,"1,776,073","1,776,073","1,776,073",0,0
Phila. Nursing Home,"37,225,593","36,446,886","36,446,886",0,"40,398,228",40.398.228,"40,398,228",0,0
Environmental Protection Services,"5,776,321","1,539,646","1,539,646",0,"6,561,078","6,561,078","6,561,078",0,0
Administration and Support Svcs,"6,998,111","2,132,356","2,132,356",0,"7,464,624","7,464,624",7.464.624,0,0
Medical Examiner's Office,"4,061,141",1.111.412,1.111.412,0,"4,244,264","4,244,264","4,244,264",0,0
Infectious Disease Control,"6,014,782","1,648,418","1,648,418",0,"5,660,080","5,660,080","5,660,080",0,0
Chronic Disease Control,"1,945,820","935,834","935,834",0,"2,045,414",2.045.414,2.045.414,0,0
Public Property,"75,641,833","12,111,076","12,111,076",0,"57,716,741","69,638,114","69,638,114","(11,921,373)",0
Public Property-SEPT/ Subsidy,"66,016,000","17,604,000","17,604,000",0,"70,415,000","70,415,000","70,415,000",0,0
Public Property-Space Rentals,"19,098,115","20,473,618","20,473,618",0,"20,521,298","20,521,298","20,521,298",0,0
Public Property-Utilities,"30,200,402","21,108,600","21,108,600",0,"30,976,166","30,976,166","30,976,166",0,0
Records,"4,339,865","2,100,123","2,100,123",0,"4,681,789","4,867,565","4,867,565","(185,776)",0
Register of Wills,"3,289,563","728,947","728,947",0,"3,333,341","3,339,606","3,339,606","(6,265)",0
Revenue,"20,210,851","6,460,393","6,460,393",0,"22,437,070","23,238,869","23,238,869","(801,799)",0
Sheriff,"18,323,205","4,306,456","4,306,456",0,"18,494,646","18,566,779","18,566,779","(72,133)",0
Sinking Fund Commission (Debt Service),"215,932,309","114,523,555","114,523,555",0,"247,795,565","247,795,565","247,795,565",0,0
Streets-Sanitation,"101,202,698","52,485,570","52,485,570",0,"85,672,103","92,469,955","92,469,955","(6,797,852)",0
Streets-Transportation,"36,754,656","9,521,394","9,521,394",0,"31,941,321","31,941,321","31,941,321",0,0
Youth Commission,"83,151","17,826","17,826",0,"140,080","142,296","142,296","(2,216)",0
TOTAL GENERAL FUND,"3,886,563,587","1,113,104,287","1,113,104,287",0,"4,524,565,000","4,560,939,469","4,560,939,469","(36,374,469)",0
