0,1,2,3,4,5,6,7,8,9
Art Museum Subsidy,"3,000,000","2,300,000","2,300,000",0,"2,300,000","2,300,000","2,300,000",o,o
Atwater Kent Museum,"275,971","155,315","154,959",356,"248,630","248,630","248,630",o,0
Auditing (City Controller's Office),"7,882,426","3,631,665","3,598,276","33,389","7,424,923","7,291,566","7,291,566","133,357",0
Board of Building Standards,"91,372","33,776","30,116","3,660","71,601","71,601","71,601",o,0
Board of Ethics,"763,116","376,033","336,273","39,760","810,000","810,000","810,000",0,0
Board of L & I Review,"206,741","74,501","58,669","15,832","155,721","155,721","155,721",o,0
Board of Revision of Taxes,"8,788,727","3,855,156","3,779,842","75,314","7,816,024","7,816,024","7,816,024",0,0
Camp William Penn,"98,219","79,669","78,711",958,"100,000","100,000","100,000",0,0
Capital Program Office,"2,931,111",0,o,o,0,0,o,0,o
City Commissioners (Election Board),"9,717,011","4,698,311","4,845,347","(147,036)","8,794,177","8,794,177","8,794,177",o,o
City Council,"14,546,172","8,024,487","6,671,139","1,353,348","16,048,973","16,048,973","16,048,973",o,o
City Planning Commission,"3,053,618","1,477,446","1,321,831","155,615","2,727,649","2,847,649","2,847,649","(120,000)",o
City Representative,"4,647,852","415,505","176,159","239,346","1,137,491","837,481","837,481","300,010",o
City Treasurer,"631,930","343,876","323,985","19,891","751,113","751,113","751,113",o,o
Civil Service Commission,"164,946","90,324","82,168","8,156","170,309","170,309","170,309",o,o
Clerk of Quarter Sessions,"4,960,211","2,236,619","2,218,510","18,109","4,915,313","4,915,313","4,915,313",o,o
Commerce,"1,634,157","971,314","764,892","206,422","2,101,276","1,838,276","1,838,276","263,000",o
Commerce-Economic Stimulus,"1,777,500",0,o,o,"1,452,386","1,452,386","1,452,386",o,o
Community College Subsidy,"26,467,924","26,467,924","26,467,924",o,"26,467,924","26,467,924","26,467,924",0,0
Convention Center Subsidy,"22,652,522","24,171,817","24,171,817",o,"25,000,000","25,000,000","25,000,000",o,0
District Attorney,"30,744,093","15,928,829","15,662,896","265,933","28,943,050","28,943,050","28,943,050",0,0
Division of Technology,"36,396,968","10,774,755","11,440,090","(665,335)","21,744,368","41,626,159","41,626,159","(19,881,791)",o
Fairmount Park,"13,502,792","6,856,710","6,628,837","227,873","12,590,512","12,590,512","12,590,512",o,o
Finance,"19,828,197","7,905,124","7,388,924","516,200","14,739,352","12,624,047","12,624,047","2,115,305",0
Finance Contribution to the School District,"38,490,000",o,0,o,"38,540,000","38,540,000","38,540,000",0,o
Finance Employee Benefits,"973,222,933","314,594,924","314,594,924",o,"812,775,344","835,181,344","835,181,344","(22,406,000)",o
Employee Disability,"49,013,731","28,854,255","28,854,255",o,"51,931,806","51,931,806","51,931,806",o,o
FICA,"68,768,267","33,901,142","33,901,142",o,"69,217,716","69,217,716","69,217,716",o,o
Flex Cash Payments,"742,381",o,o,o,"1,000,000","1,000,000","1,000,000",o,o
