0,1,2,3,4,0,1,2,3,4
Labor Relations,"543,077","90,843","90,843",0,"553,453","553,453","553,453",0,0
Law,"14,391,775","4,839,048","4,839,048",0,"12,822,255","12,822,255","12,822,255",0,0
Licenses & Inspections,"21,473,909","5,738,263","5,738,263",0,"22,588,074","22,588,074","22,588,074",0,0
L&I-Board of Building Standards,"57,140","16,705","16,705",0,"71,198","71,198","71,198",0,0
L&I-Board of L & I Review,"127,344","27,536","27,536",0,"162,034","162,034","162,034",0,0
L&I-Zoning Board of Adjustment,"360,774","83,252","83,252",0,"357,397","357,397","357,397",0,0
Managing Director's Office,"34,347,134","10,827,292","10,827,292",0,"33,871,145","33,871,145","33,871,145",0,0
Managing Director-Legal Services,"38,744,097","37,683,725","37,683,725",0,"40,146,067","40,146,067","40,146,067",0,0
Mayor's Office,"3,728,856","1,595,500","1,595,500",0,"5,191,881","5,191,881","5,191,881",0,0
Mayor's Office-Scholarships,"200,000","200,000","200,000",0,"200,000","200,000","200,000",0,0
Mayor's Office of Transportation & Utilities,"604,371","259,305","259,305",0,"788,817","788,817","788,817",0,0
Mural Arts Program,"946,717","94,390","94,390",0,"1,401,425","1,401,425","1,401,425",0,0
Office of Arts and Culture,"2,596,034","666,199","666,199",0,"2,671,288","2,671,288","2,671,288",0,0
Off. of Behavioral Hith & Intellectual disAbility,"14,144,736","12,659,405","12,659,405",0,"13,832,747","13,832,747","13,832,747",0,0
Office of Housing and Comm. Development,"2,840,191","2,443,500","2,443,500",0,"3,020,000","3,020,000","3,020,000",0,0
Office of Human Resources,"5,241,637","1,383,264","1,383,264",0,"5,886,218","5,886,218","5,886,218",0,0
Office of Innovation and Technology,"63,211,243","31,086,447","31,086,447",0,"84,994,181","84,994,181","84,994,181",0,0
Office of the Inspector General,"1,259,078","338,193","338,193",0,"1,462,069","1,462,069","1,462,069",0,0
Office of Property Assessment,"11,565,024","2,355,824","2,355,824",0,"13,326,276","13,326,276","13,326,276",0,0
Office of Supportive Housing,"42,101,436","34,174,531","34,174,531",0,"43,616,630","43,616,630","43,616,630",0,0
Parks and Recreation,"50,555,574","18,055,547","18,055,547",0,"51,313,537","51,313,537","51,313,537",0,0
Police,"571,887,880","128,434,628","128,434,628",0,"595,593,755","595,593,755","595,593,755",0,0
Prisons,"241,451,094","96,604,934","96,604,934",0,"238,804,784","238,804,784","238,804,784",0,0
Procurement,"4,562,719","719,578","719,578",0,"4,643,115","4,643,115","4,643,115",0,0
Public Health,"108,985,533","65,805,394","65,805,394",0,"114,482,597","114,482,597","114,482,597",0,0
Ambulatory Health Services,"46,340,550","19,374,535","19,374,535",o,"46,873,949","46,873,949","46,873,949",0,0
"Early Childhood, Youth & Women's Health","1,258,467","328,899","328,899",o,"1,821,512","1,821,512","1,821,512",o,o
Phila. Nursing Home,"37,466,736","37,867,413","37,867,413",o,"40,380,077","40,380,077","40,380,077",o,o
Environmental Protection Services,"5,757,315","1,476,772","1,476,772",o,"6,356,278","6,356,278","6,356,278",o,o
Administration and Support Svcs,"6,825,079","1,938,614","1,938,614",o,"7,270,465","7,270,465","7,270,465",o,o
Medical Examiner's Office,"4,145,155","1,453,324","1,453,324",o,"4,191,400","4,191,400","4,191,400",o,o
Infectious Disease Control,"5,411,592","2,403,036","2,403,036",o,"5,556,105","5,556,105","5,556,105",o,o
Chronic Disease Control,"1,780,639","962,801","962,801",o,"2,032,811","2,032,811","2,032,811",o,o
Public Property,"55,934,238","13,778,073","13,778,073",0,"57,454,961","57,454,961","57,454,961",0,0
Public Property-SEPTA Subsidy,"65,170,000","16,504,000","16,504,000",0,"67,062,000","67,062,000","67,062,000",0,0
Public Property-Space Rentals,"18,157,661","19,074,780","19,074,780",0,"19,074,780","19,074,780","19,074,780",0,0
Public Property-Utilities,"31,525,462","15,231,553","15,231,553",0,"30,313,424","30,313,424","30,313,424",0,0
Records,"3,932,868","1,351,831","1,351,831",0,"4,026,317","4,026,317","4,026,317",0,0
Register of Wills,"3,268,622","772,639","772,639",0,"3,403,341","3,403,341","3,403,341",0,0
Revenue,"18,657,079","4,641,012","4,641,012",0,"20,560,621","20,560,621","20,560,621",0,0
Sheriff,"15,072,545","3,356,683","3,356,683",0,"14,669,842","15,478,245","15,478,245","(808,403)",0
Sinking Fund Commission (Debt Service),"209,845,804","102,063,520","102,063,520",0,"226,258,358","226,258,358","226,258,358",0,0
Streets-Sanitation,"24,946,496","49,244,335","49,244,335",0,"85,303,423","85,303,423","85,303,423",0,0
Streets-Transportation,"84,231,027","8,497,614","8,497,614",0,"30,257,266","30,257,266","30,257,266",0,0
Youth Commission,"56,970","15,620","15,620",0,"140,080","140,080","140,080",0,0
,,,,,,,,,
TOTAL GENERAL FUND,"3,613,265,717","1,060,534,393","1,060,534,393",0,"3,845,403,000","3,940,531,136","3,940,531,136","(95,128,136)",0
