0,1,2,3,4,5,6
,,,,FULL YEAR,,
DEPARTMENT,FY 12 ACTUAL,ORIGINAL ADOPTED BUDGET,CURRENT TARGET BUDGET,CURRENT PROJECTION,CURRENT (OVER) UNDER ADOPTED BUDGET,PROJECTION TARGET
Indemnities,"32,606,842","32,457,600","30,908,946","30,908,946","1,548,654",0
Law,"14,349,764","12,770,544","14,777,401","14,777,401","(2,006,857)",0
Legal Services Icl. Defender Association,"37,066,187","37,066,187","38,744,097","38,744,097","(1,677,910)",0
Licenses & Inspections,"21,176,304","21,660,905","21,770,548","21,770,548","(109,643)",0
Managing Director (MDO),"21,722,694","32,410,375","34,960,992","34,960,992","(2,550,617)",0
Mayor,"3,513,955","3,711,177","3,704,129","3,704,129","7,048",0
Mayor - Office of Arts and Culture,"2,661,728","2,670,238","2,670,975","2,670,975",(737),0
Mayor - Office of the Inspector General,"1,239,132","1,255,822","1,460,507","1,460,507","(204,685)",0
Mayor - Office of Labor Relations,"516,883","541,368","550,432","550,432","(9,064)",0
Mayor - Scholarships,"184,000","200,000","200,000","200,000",0,0
Mayor's Office of Community Services,0,0,0,0,0,0
Mayor's Office of Transportation,"498,499","545,915","633,569","633,569","(87,654)",0
Mural Arts Program,"996,477","940,800","1,148,769","1,148,769","(207,969)",0
Off. of Behavioral Hith.& Intellectual Disability,"14,239,814","14,271,572","14,287,453","14,287,453","(15,881)",0
Office of Housing and Comm. Developmt.,"4,213,107","2,520,000","2,520,000","2,520,000",0,0
Office of Human Resources,"4,945,223","5,347,459","5,498,778","5,498,778","(151,319)",0
Office of Innovation and Technology,"63,271,541","70,044,250","71,199,170","63,299,170","6,745,080","7,900,000"
Office of Property Assessment,"7,967,720","11,714,752","13,575,595","11,575,595","139,157","2,000,000"
Office of Supportive Housing,"38,347,615","39,640,736","42,695,555","42,695,555","(3,054,819)",0
Parks and Recreation,"45,369,290","47,781,231","51,271,555","50,771,555","(2,990,324)","500,000"
Police,"552,292,087","556,818,243","571,657,128","571,657,128","(14,838,885)",0
Prisons,"231,522,589","227,850,603","241,718,506","241,718,506","(13,867,903)",0
Procurement,"4,460,528","4,151,574","4,632,730","4,632,730","(481,156)",0
Public Health,"107,184,796","111,646,321","112,285,909","108,785,909","2,860,412","3,500,000"
Ambulatory Health Services,"45,361,901","44,525,146","45,165,048","41,665,048","2,860,098","3,500,000"
"Early Childhood, Youth & Women's Health","1,652,738","1,629,322","1,466,214","1,466,214","163,108",0
Phila. Nursing Home,"37,784,745","40,377,775","40,379,502","40,379,502","(1,727)",0
Environmental Protection Services,"5,777,400","6,272,520","6,335,338","6,335,338","(62,818)",0
Administration and Support Svcs,"6,710,274","7,281,792","7,085,492","7,085,492","196,300",0
Medical Examiner's Office,"3,846,811","3,965,469","4,181,917","4,181,917","(216,448)",0
Infectious Disease Control,"5,558,725","5,630,971","5,616,482","5,616,482","14,489",0
Chronic Disease Control,"492,202","1,963,326","2,055,916","2,055,916","(92,590)",0
Public Property,"53,167,614","65,028,173","55,835,050","59,435,050","5,593,123","(3,600,000)"
Public Property - SEPTA Subsidy,"66,360,000","66,360,000","66,360,000","65,260,000","1,100,000","1,100,000"
Public Property - Space Rentais,"16,795,777","17,267,661","18,267,661","18,167,661","(900,000)","100,000"
Public Property - Utilities,"31,157,967","32,015,165","32,015,165","31,615,165","400,000","400,000"
Records,"3,840,761","4,009,212","4,022,041","4,022,041","(12,829)",0
Refunds,382,"250,000","215,800","215,800","34,200",0
Register of Wills,"3,311,831","3,331,292","3,332,829","3,332,829","(1,537)",0
Revenue,"18,821,178","19,337,750","19,396,778","18,896,778","440,972","500,000"
Sheriff,"15,445,690","14,088,657","15,597,046","15,597,046","(1,508,389)",0
Sinking Fund (Debt Service),"201,045,528","222,473,567","215,473,567","209,973,567","12,500,000","5,500,000"
Streets,"24,063,025","27,248,278","26,148,769","26,148,769","1,099,509",0
Engineering Design & Surveying,"4,812,522","6,252,139","6,252,139","6,252,139",0,0
General Support,"2,849,391","4,150,175","5,050,666","5,050,666","(900,491)",0
Highways,"10,529,277","11,130,911","9,130,911","9,130,911","2,000,000",0
Street Lighting,"2,714,823","2,115,980","2,115,980","2,115,980",0,0
Traffic Engineering,"3,157,012","3,599,073","3,599,073","3,599,073",0,0
Streets Sanitation,"91,814,084","84,569,823","84,148,823","83,648,823","921,000","500,000"
Witness Fees,"140,479","171,518","171,518","171,518",0,0
Youth Commission,"41,737","94,080","93,139","93,139",941,0
Zoning Board of Adjustment,"366,353","355,501","356,923","356,923","(1,422)",0
Zoning Code Commission,"216,237",0,0,0,0,0
TOTAL GENERAL FUND,"3,484,874,625","3,603,867,000","3,656,100,659","3,637,300,659","(33,433,659)","18,800,000"
