0,1,2,3,4,5,6,7,8,9
,,,FISCAL YEAR 2018 YEAR TO DATE,,,,FISCAL YEAR 2018 FULL YEAR,,
DEPARTMENT,FY 2017 ACTUAL,TARGET BUDGET PLAN,ACTUAL,ACTUAL (OVER) UNDER TARGET BUDGET,ORIGINAL ADOPTED BUDGET,TARGET BUDGET,CURRENT PROJECTION,CURRENT (OVER) ADOPTED BUDGET,PROJECTION UNDER TARGET
L&I-Board of L & I Review,"157,864","80,423","80,423",0,"171,785","168,349","168,349","3,436",0
L&I-Zoning Board of Adjustment,"344,504",0,0,0,0,0,0,0,0
Managing Director's Office,"38,699,744","21,838,522","21,838,522",0,"40,285,836","42,342,612","42,342,612","(2,056,776)",0
Managing Director-Legal Services,"46,490,832","48,824,041","48,824,041",0,"48,414,381","48,824,041","48,824,041","(409,660)",0
Mayor's Office,"4,807,236","1,985,195","1,985,195",0,"4,634,141","4,425,997","4,425,997","208,144",0
Mayor's Office-Scholarships,"200,000","170,000","170,000",0,"200,000","200,000","200,000",0,0
Mayor's Office-Comm. Empowerment & Opp.,"679,347","1,477,192","1,477,192",0,"1,675,000","2,141,500","2,141,500","(466,500)",0
Mural Arts Program,"1,673,843","249,047","249,047",0,"1,924,602","1,909,016","1,909,016","15,586",0
Office of Arts and Culture,"4,139,300","3,954,484","3,954,484",0,"4,179,966","4,152,056","4,152,056","27,910",0
Office of Behavioral Hith & Intellectual disAbility,"14,131,779","13,345,859","13,345,859",0,"14,218,574","14,200,404","14,200,404","18,170",0
Office of the Chief Administrative Officer,"5,437,723","2,789,324","2,789,324",0,"5,753,587","5,541,455","8,041,455","(2,287,868)","(2,500,000)"
Office of Community Schools and Pre-K,"13,876,366","21,399,726","21,399,726",0,"42,551,677","42,499,175","42,499,175","52,502",0
Office of Homeless Services,"46,784,518","28,192,260","28,192,260",0,"48,247,957","48,012,584","48,012,584","235,373",0
Office of Housing and Comm. Development,"3,373,000",0,0,0,0,0,0,0,0
Office of Human Resources,"6,188,896","2,745,326","2,745,326",0,"6,011,608","5,867,729","5,867,729","143,879",0
Office of Innovation and Technology-Base,"56,458,858","31,874,457","31,874,457",0,"63,131,600","61,894,584","61,894,584","1,237,016",0
Office of Innovation and Technology-911,"20,453,737","9,812,328","9,812,328",0,"20,605,908","20,605,908","20,605,908",0,0
Office of the Inspector General,"1,483,102","670,236","670,236",0,"1,648,011","1,636,311","1,636,311","11,700",0
Office of Planning and Development,"976,527",0,0,0,0,0,0,0,0
Office of Property Assessment,"12,694,377","6,131,793","6,131,793",0,"13,923,826","13,615,630","13,815,630","108,196","(200,000)"
Office of Sustainability,"800,940","473,535","473,535",0,"969,138","929,944","929,944","39,194",0
Parks and Recreation,"61,134,109","36,197,613","36,197,613",0,"61,733,041","61,058,911","61,058,911","674,130",0
Planning & Development,0,"5,555,594","5,555,594",0,"8,195,882","8,769,306","8,769,306","(573,424)",0
Police,"666,275,720","325,672,058","325,672,058",0,"652,106,097","679,000,170","691,342,170","(39,236,073)","(12,342,000)"
Prisons,"260,892,091","174,777,577","174,777,577",0,"258,958,360","257,922,056","258,922,056","36,304","(1,000,000)"
Procurement,"4,803,825","2,262,102","2,262,102",0,"4,932,053","4,881,345","4,881,345","50,708",0
Public Health,"132,974,083","86,769,894","86,769,894",0,"136,362,067","136,325,462","136,325,462","36,605",0
Public Property,"63,941,277","24,244,728","24,244,728",0,"65,448,723","65,180,347","65,180,347","268,376",0
Public Property-SEPTA Subsidy,"79,720,000","41,374,000","41,374,000",0,"82,749,000","82,749,000","82,749,000",0,0
Public Property-Space Rentals,"19,816,086","18,661,337","18,661,337",0,"20,950,268","24,450,268","24,450,268","(3,500,000)",0
Public Property-Utilities,"29,294,870","24,285,602","24,285,602",0,"24,655,024","24,655,024","24,655,024",0,0
Records,"4,439,439","2,379,665","2,379,665",0,"4,878,928","4,774,091","4,774,091","104,837",0
Register of Wills,"3,916,424","1,803,982","1,803,982",0,"4,244,282","4,240,393","4,240,393","3,889",0
Revenue,"29,160,445","13,660,679","13,660,679",0,"30,492,518","30,044,546","30,044,546","447,972",0
Sheriff,"26,388,399","13,183,777","13,183,777",0,"23,071,824","24,474,111","25,474,111","(2,402,287)","(1,000,000)"
Sinking Fund Commission (Debt Service),"238,367,244","179,302,043","179,302,043",0,"296,019,214","296,019,214","296,019,214",0,0
Streets,"142,280,366","81,950,023","81,950,023",0,"137,332,424","136,202,512","136,202,512","1,129,912",0
TOTAL GENERAL FUND,"4,139,791,161","2,005,058,554","2,005,058,554",0,"4,437,709,000","4,433,868,741","4,464,795,457","(27,086,457)","(30,926,716)"
