0,1,2,3,4,5,6,7,8,9
,,,FISCAL YEAR 2021 YEAR TO DATE,,,,FISCAL YEAR 2021 FULL YEAR,,
DEPARTMENT,FY 2020 UNAUDITED ACTUAL,TARGET BUDGET PLAN,ACTUAL,ACTUAL (OVER) UNDER TARGET BUDGET,ORIGINAL ADOPTED BUDGET,TARGET BUDGET,CURRENT PROJECTION,CURRENT (OVER) UNDER ADOPTED BUDGET,PROJECTION TARGET
Managing Director's Office,"106,923,960","11,637,780","11,637,780",0,"70,615,244","70,615,244","70,392,791","222,453","222,453"
Managing Director-Legal Services,"50,938,541","47,648,000","47,648,000",0,"50,104,181","50,104,181","50,104,181",0,0
Mayor's Office,"6,137,229","1,659,207","1,659,207",0,"6,463,592","6,463,592","6,746,092","(282,500)","(282,500)"
Mayor's Office-Scholarships,"200,000",0,0,0,"100,000","100,000","200,000","(100,000)","(100,000)"
Mayor's Office-Comm. Empowerment & Opp.,"90,500",0,0,0,"45,000","45,000","45,000",0,0
Mural Arts Program,"2,130,112","95,094","95,094",0,"2,124,562","2,124,562","2,124,562",0,0
Office of Arts and Culture,"4,375,429",0,0,0,0,0,0,0,0
Office of Behavioral Hith & Intellectual disAbility,"15,911,407","14,261,470","14,261,470",0,"15,477,402","15,477,402","15,477,402",0,0
Office of the Chief Administrative Officer,"6,764,845","1,890,216","1,890,216",0,"6,333,779","6,333,779","6,333,779",0,0
Office of Children and Families,"43,088,830","92,627","92,627",0,"418,820","418,820","418,820",0,0
Office of Homeless Services,"60,113,037","15,913,859","15,913,859",0,"44,038,587","44,038,587","44,038,587",0,0
Office of Human Resources,"5,965,201","1,268,769","1,268,769",0,"6,237,735","6,237,735","6,237,735",0,0
Office of Innovation and Technology-Base,"75,977,630","19,813,093","19,813,093",0,"75,795,173","75,795,173","76,317,442","(522,269)","(522,269)"
Office of Innovation and Technology-911,"19,916,769","10,907,552","10,907,552",0,"53,564,955","53,564,955","53,564,955",0,0
Office of the Inspector General,"1,497,267","351,306","351,306",0,"1,575,681","1,575,681","1,575,681",0,0
Office of Property Assessment,"14,711,421","3,057,866","3,057,866",0,"16,101,293","16,101,293","16,101,293",0,0
Office of Sustainability,"1,225,513","300,952","300,952",0,"1,203,180","1,203,180","1,279,219","(76,039)","(76,039)"
Parks and Recreation,"64,969,290","11,629,499","11,629,499",0,"54,926,154","54,926,154","55,271,008","(344,854)","(344,854)"
Planning & Development (1),"18,252,409","4,030,088","4,030,088",0,"8,535,183","8,535,183","14,055,183","(5,520,000)","(5,520,000)"
Police,"774,398,600","159,659,896","159,659,896",0,"727,007,734","727,007,734","727,007,734",0,0
Prisons,"243,998,662","112,475,919","112,475,919",0,"220,169,920","220,169,920","220,169,920",0,0
Procurement,"5,084,255","1,221,235","1,221,235",0,"4,760,336","4,760,336","4,760,336",0,0
Public Health,"168,574,970","75,494,622","75,494,622",0,"159,352,985","159,352,985","163,276,794","(3,923,809)","(3,923,809)"
Public Property,"68,857,821","24,648,761","24,648,761",0,"70,224,341","70,224,341","71,130,878","(906,537)","(906,537)"
Public Property-SEPTA Subsidy,"86,290,000",0,0,0,"84,608,000","84,608,000","84,608,000",0,0
Public Property-Space Rentals,"26,086,731","26,086,731","26,086,731",0,"25,567,715","25,567,715","25,567,715",0,0
Public Property-Utilities,"28,681,562","25,348,502","25,348,502",0,"25,447,623","25,447,623","25,447,623",0,0
Records,"4,221,199","1,078,980","1,078,980",0,"4,004,335","4,004,335","4,004,335",0,0
Register of Wills,"4,891,630","1,079,885","1,079,885",0,"4,221,429","4,221,429","4,221,429",0,0
Revenue,"30,321,874","6,639,870","6,639,870",0,"29,211,398","29,211,398","29,649,398","(438,000)","(438,000)"
Sheriff,"30,280,459","6,149,518","6,149,518",0,"26,795,874","26,795,874","26,795,874",0,0
Sinking Fund Commission (Debt Service),"266,354,318","152,385,803","152,385,803",0,"282,632,431","282,632,431","282,632,431",0,0
Streets-Disposal,"49,829,681","12,865,645","19,058,300","(6,192,655)","51,462,580","51,462,580","59,762,580","(8,300,000)","(8,300,000)"
Streets,"125,015,648","24,147,922","24,147,922",0,"101,559,775","101,559,775","101,936,058","(376,283)","(376,283)"
TOTAL GENERAL FUND,"5,036,533,622","1,208,548,148","1,219,955,598","(11,407,450)","4,804,851,000","4,804,851,000","4,869,758,313","(64,907,313)","(64,907,313)"
