0,1,2,3,4,5,6,7,8,9
,,,FISCAL YEAR 2022 YEAR TO DATE,,,,FISCAL YEAR 2022 FULL YEAR,,
DEPARTMENT,FY 2021 UNAUDITED ACTUAL,TARGET BUDGET PLAN,ACTUAL,ACTUAL (OVER) UNDER TARGET BUDGET,ORIGINAL ADOPTED BUDGET,TARGET BUDGET,CURRENT PROJECTION,CURRENT (OVER) ADOPTED BUDGET,PROJECTION UNDER TARGET
Art Museum Subsidy,"2,040,000","1,020,000","1,020,000",0,"2,040,000","2,040,000","2,040,000",0,0
Auditing (City Controller's Office),"9,824,760","5,059,716","5,059,716",0,"9,853,289","9,853,289","10,308,438","(455,149)","(455,149)"
Board of Ethics,"817,525","408,333","408,333",0,"975,196","975,196","998,750","(23,554)","(23,554)"
Board of Revision of Taxes,"1,049,649","493,642","493,642",0,"1,053,462","1,053,462","1,074,975","(21,513)","(21,513)"
City Commissioners (Election Board),"20,871,241","9,316,788","9,316,788",0,"18,046,852","22,023,052","22,369,560","(4,322,708)","(346,508)"
City Council,"17,009,546","8,527,060","8,527,060",0,"18,677,973","18,677,973","18,864,888","(186,915)","(186,915)"
City Treasurer,"1,714,804","2,224,829","2,224,829",0,"4,740,997","4,598,767","4,651,040","89,957","(52,273)"
Civil Service Commission,"170,033","93,426","93,426",0,"25,207,742","118,984,988","6,960,820","18,246,922","112,024,168"
Commerce,"3,332,692","8,314,922","8,314,922",0,"14,640,094","14,201,544","14,268,497","371,597","(66,953)"
Commerce-Convention Center Subsidy,"15,000,000","15,000,000","15,000,000",0,"15,000,000","15,000,000","15,000,000",0,0
Commerce-Economic Stimulus,"2,957,678","5,834,550","5,834,550",0,"6,015,000","5,834,550","5,834,550","180,450",0
District Attorney,"42,026,933","21,582,425","21,582,425",0,"40,431,659","41,831,659","42,689,582","(2,257,923)","(857,923)"
Finance,"56,342,371","16,301,549","16,301,549",0,"41,126,320","42,964,749","43,555,754","(2,429,434)","(591,005)"
Finance-Budget Stabilization Reserve,0,0,0,0,0,0,0,0,0
Finance-Disability-Reg #32 Payroll,"2,167,137","1,297,826","1,297,826",0,"2,293,165","2,293,165","2,293,165",0,0
Finance-Recession Reserve and Reopening,0,0,0,0,"75,000,000","42,500,000","42,500,000","32,500,000",0
Finance-Community College Subsidy,"41,628,751","48,128,075","48,128,075",0,"48,128,075","48,128,075","48,128,075",0,0
Finance - Employee Benefits *,"1,270,300,692","439,158,967","439,158,967",0,"1,438,592,740","1,451,381,742","1,504,750,683","(66,157,943)","(53,368,941)"
Unemployment Compensation,"2,208,454","864,698","864,698",0,"5,465,975","5,465,975","5,465,975",0,0
Employee Disability,"70,087,502","46,605,206","46,605,206",0,"78,457,582","78,457,582","78,457,582",0,0
Pension Obligation Bonds,"27,849,355","18,573,113","18,573,113",0,"91,659,334","91,240,224","91,240,224","419,110",0
Pension,"580,498,802","77,393,408","77,393,408",0,"634,278,330","636,937,708","636,937,708","(2,659,378)",0
Pension-Sales Tax,"55,204,374",0,0,0,"48,212,289","58,761,023","74,219,412","(26,007,123)","(15,458,389)"
