0,1,2,3,4,0,1,2,3,4
Indemnities,"32,606,842","10,430,644","10,430,644",0,"32,457,600","32,457,600","32,457,600",0,0
Law,"14,349,764","4,672,102","4,672,102",0,"12,770,544","14,770,544","14,770,544","(2,000,000)",0
Legal Services icl. Defender Association,"37,292,483","36,161,005","36,161,005",0,"37,066,187","38,276,937","38,276,937","(1,210,750)",0
Licenses & Inspections,"21,176,304","5,335,117","5,335,117",0,"21,660,905","21,660,905","21,660,905",0,0
Managing Director (MDO),"21,722,694","12,366,064","12,366,064",0,"32,410,375","33,810,375","33,810,375","(1,400,000)",0
Mayor,"3,513,955","1,068,211","1,068,211",0,"3,711,177","3,711,177","3,711,177",0,0
Mayor Office of Arts and Culture,"2,661,728","2,114,322","2,114,322",0,"2,670,238","2,670,238","2,670,238",0,0
Mayor Office of the Inspector General,"1,239,132","309,679","309,679",0,"1,255,822","1,455,822","1,455,822","(200,000)",0
Mayor Office of Labor Relations,"516,883","109,258","109,258",0,"541,368","541,368","541,368",0,0
Mayor Scholarships,"184,000","200,000","200,000",o,"200,000","200,000","200,000",0,0
Mayor's Office of Community Services,0,0,0,0,0,0,0,0,0
Mayor's Office of Transportation,"498,499","225,739","225,739",0,"545,915","620,915","620,915","(75,000)",0
Mural Arts Program,"996,477","90,672","90,672",0,"940,800","1,140,800","1,140,800","(200,000)",0
Off. of Behavioral Hith.& Intellectual Disability,"14,239,814","11,361,962","11,361,962",0,"14,271,572","14,271,572","14,271,572",0,0
Office of Housing and Comm. Developmt.,"4,213,107","2,425,500","2,425,500",0,"2,520,000","2,520,000","2,520,000",0,0
Office of Human Resources,"4,945,223","1,072,234","1,072,234",0,"5,347,459","5,347,459","5,347,459",0,0
Office of Innovation and Technology,"63,271,541","37,954,920","37,954,920",0,"70,044,250","71,044,250","71,044,250","(1,000,000)",0
Office of Property Assessment,"7,967,720","2,131,071","2,131,071",0,"11,714,752","14,625,990","14,625,990","(2,911,238)",0
Office of Supportive Housing,"38,347,615","25,113,955","25,113,955",0,"39,640,736","42,640,736","42,640,736","(3,000,000)",0
Parks and Recreation,"45,369,290","19,034,137","19,034,137",0,"47,781,231","50,456,231","50,456,231","(2,675,000)",0
Police,"552,292,087","123,152,488","123,152,488",0,"556,818,243","556,818,243","556,818,243",0,0
Prisons,"231,522,589","91,040,393","91,040,393",0,"227,850,603","227,850,603","236,850,603","(9,000,000)","(9,000,000)"
Procurement,"4,460,528","935,460","935,460",0,"4,151,574","4,151,574","4,151,574",0,0
Public Health,"107,184,796","67,376,609","67,376,609",0,"111,646,321","111,646,321","111,646,321",0,0
Ambulatory Health Services,"45,361,901","21,826,898","21,826,898",o,"44,525,146","44,525,146","44,525,146",o,0
"Early Childhood, Youth & Women's Health","1,652,738","344,083","344,083",o,"1,629,322","1,629,322","1,629,322",0,0
