0,1,2,3,4,5,6,7,8,9
,,,FISCAL YEAR 2016 YEAR TO DATE,,,,FISCAL YEAR 2016 FULL YEAR,,
DEPARTMENT,FY 2015 ACTUAL,TARGET BUDGET PLAN,ACTUAL,ACTUAL (OVER) UNDER TARGET BUDGET,ORIGINAL ADOPTED BUDGET,TARGET BUDGET,CURRENT PROJECTION,CURRENT (OVER) UNDER ADOPTED BUDGET,PROJECTION TARGET
Law,"15,742,910","7,619,351","7,619,351",0,"14,642,276","14,976,276","14,976,276","(334,000)",0
Licenses & Inspections,"29,811,576","13,329,704","13,329,704",0,"31,476,558","31,476,558","31,476,558",0,0
L&I-Board of Building Standards,"63,025","30,657","30,657",0,"73,970","73,970","73,970",0,0
L&I-Board of L & I Review,"137,857","71,593","71,593",0,"167,790","167,790","167,790",0,0
L&I-Zoning Board of Adjustment,"373,802","185,671","185,671",0,"372,290","372,290","372,290",0,0
Managing Director's Office,"35,106,107","19,928,802","19,928,802",0,"35,595,543","36,350,496","36,350,496","(754,953)",0
Managing Director-Legal Services,"42,923,209","43,093,431","43,093,431",0,"43,159,131","44,695,131","44,695,131","(1,536,000)",0
Mayor's Office,"5,000,680","2,770,492","2,770,492",0,"5,031,625","5,031,625","5,031,625",0,0
Mayor's Office-Scholarships,"199,500","200,000","200,000",0,"200,000","200,000","200,000",0,0
Mayor's Office-Comm. Empowerment & Opp.,"500,000","500,000","500,000",0,"605,000","1,030,000","1,030,000","(425,000)",0
Mayor's Office of Transportation & Utilities,"798,692","508,005","508,005",0,"734,270","734,270","734,270",0,0
Mural Arts Program,"1,458,245","1,402,358","1,402,358",0,"1,646,016","1,646,016","1,646,016",0,0
Office of Arts and Culture,"3,968,576","812,825","812,825",0,"4,172,855","4,172,855","4,172,855",0,0
Off. of Behavioral Hith & Intellectual disAbility,"13,967,356","13,102,606","13,102,606",0,"13,975,576","13,975,576","13,975,576",0,0
Office of Housing and Comm. Development,"2,600,068","3,152,500","3,152,500",0,"3,590,000","3,590,000","3,590,000",0,0
Office of Human Resources,"5,938,890","2,928,945","2,928,945",0,"6,433,623","6,433,623","6,433,623",0,0
Office of Innovation and Technology-Base,"51,917,083","32,010,023","32,010,023",0,"53,379,584","53,867,582","53,867,582","(487,998)",0
Office of Innovation and Technology-911,"11,956,848","7,334,946","7,334,946",0,"30,502,878","30,502,878","30,502,878",,
Office of the Inspector General,"1,486,801","901,873","901,873",0,"1,668,811","1,668,811","1,668,811",0,0
