0,1,2,3,4,5,6
Art Museum Subsidy,"2,300,000","2,550,000","2,550,000","2,550,000",0,0
Atwater Kent Museum,"270,143","270,674","273,037","273,037","(2,363)",0
Auditing (City Controller's Office),"7,027,133","7,696,397","7,898,332","7,898,332","(201,935)",0
Board of Ethics,"712,672","1,000,000","1,007,214","1,007,214","(7,214)",0
Board of Revision of Taxes,"1,056,069","1,050,587","1,357,587","1,357,587","(307,000)",0
City Commissioners (Election Board),"8,683,402","8,889,014","8,897,109","8,897,109","(8,095)",0
City Council,"13,430,973","15,814,559","16,164,559","14,764,559","1,050,000","1,400,000"
City Planning Commission,"2,251,986","2,272,534","2,343,607","2,343,607","(71,073)",0
City Representative,"959,503","1,005,915","1,013,208","1,013,208","(7,293)",0
City Treasurer,"883,997","899,260","914,643","914,643","(15,383)",0
Civil Service Commission (1),"170,585","84,875,942","168,366","168,366","84,707,576",0
Commerce,"2,544,250","2,710,189","2,738,167","2,738,167","(27,978)",0
Commerce-Convention Center Subsidy,"15,000,000","15,000,000","15,000,000","15,000,000",0,0
Commerce-Economic Stimulus,"1,294,448","1,294,448","1,294,448","1,294,448",0,0
District Attorney,"31,449,689","32,081,616","32,559,285","32,559,285","(477,669)",0
Finance,"17,167,409","17,349,592","17,726,889","16,826,889","522,703","900,000"
Finance-Community College Subsidy,"25,409,207","26,409,207","26,409,207","26,409,207",0,0
Finance - Employee Benefits,"1,119,074,214","1,177,304,676","1,233,877,923","1,215,877,923","(38,573,247)","18,000,000"
Unemployment Compensation,"3,491,713","5,580,260","5,580,260","2,880,260","2,700,000","2,700,000"
Employee Disability,"57,372,545","63,316,041","63,316,041","57,516,041","5,800,000","5,800,000"
Pension Obligation Bonds,196.609.859,"105,350,670","211,504,129","211,504,129","(106,153,459)",0
Pension,422.264.480,"562,169,000","456,015,541","456.015,541","106.153,459",0
FICA,"64,699,067","65,003,402","65,003,402","67,503,402","(2,500,000)","(2,500,000)"
Flex Cash Payments,"726,258","1,000,000","1,000,000","600,000",400.000,"400,000"
Health/Medical,"363,177,332","362,876,303","419,202,298","408,402,298","(45,525,995)","10,800,000"
Group Life Insurance,"6,794,025","7,750,000","7,750,000","7,150,000","600,000","600,000"
Group Legal,"3,845,185","4,134,000","4,381,252","4,181,252","(47,252)","200,000"
Tool Allowance,93.750,"125,000","125,000","125,000",0,0
Finance-Hero Scholarship Awards,"21,000","25,000","25,000","25,000",0,0
Finance-Indemnities,"30,268,500","32,500,000","41,000,000","41,000,000","(8,500,000)",0
Finance-Refunds,36,"250,000","250,000","250,000",0,0
Finance-School District Contribution,"68,990,000","69,050,100","114,050,100","114,050,100","(45,000,000)",0
Finance-Witness Fees,"132,008","171,518","171,518","171,518",0,0
Fire,"200,016,007","197,180,578","246,689,287","247,289,287","(50,108,709)","(600,000)"
First Judicial District,"110,653,579","104,973,196","105,802,006","105,802,006","(828,810)",0
Common Pleas Court,"72,511,914","72,263,126","73,091,936","73,091,936","(828,810)",0
Office of Court Administrator,"24,196,169","18,151,802","18,151,802","18,151,802",0,0
Municipal Court,"8,743,120","8,994,459","8,994,459","8,994,459",0,0
Traffic Court,"5,202,376","5,563,809","5,563,809","5,563,809",0,0
Fleet Management,"49,840,244","47,479,779","49,821,863","49,821,863","(2,342,084)",0
Fleet Management - Vehicle Purchases,"10,947,988","8,965,000","12,565,000","12,565,000","(3,600,000)",0
Free Library,"33,550,653","35,258,328","35,967,294","35,567,294","(308,966)","400,000"
Historical Commission,"351,708","396,837","408,710","408,710","(11,873)",0
Human Relations Commission,"1,688,098","2,013,747","2,077,287","2,077,287","(63,540)",0
Human Services,"90,394,071","98,338,951","99,130,277","99,130,277","(791,326)",0
Administration & Management,"2,825,751","6,543,077","7,334,403","7,334,403","(791,326)",0
Performance Management & Accountability,600.161,"1,570,682","1,570,682","1,570,682",0,0
Juvenile Justice Services,"35,533,641","36,788,887","36,788,887","36,788,887",0,0
Children & Youth (Child Welfare),"51,434,518","53,436,305","53,436,305","53,436,305",0,0
Labor Relations,"543,077","553,453","553,961","553,961",(508),0
Law,"14,391,775","12,822,255","13,167,848","13,167,848","(345,593)",0
Licenses & Inspections,"21,473,909","22,588,074","25,824,766","25,424,766","(2,836,692)","400,000"
L&I-Board of Building Standards,"57,140","71,198","71,597","71,597",(399),0
L&I-Board of L & I Review,"127,344","162,034","162,542","162,542",(508),0
L&I-Zoning Board of Adjustment,"360,774","357,397","357,397","357,397",0,0
