0,1,2,3,4,5,6,7,8,9
Licenses & Inspections,"35,400,379","9,533,362","9,533,362",0,"37,507,876","37,979,690","37,979,690","(471,814)",0
L&I-Board of Building Standards,"67,339","18,164","18,164",0,"75,419","78,574","78,574","(3,155)",0
L&I-Board of L & I Review,"153,135","37,027","37,027",0,"172,720","172,720","172,720",0,0
L&I-Zoning Board of Adjustment,0,0,0,0,0,0,0,0,0
Managing Director's Office,"43,263,090","13,013,102","13,013,102",0,"46,633,137","49,563,917","49,563,917","(2,930,780)",0
Managing Director-Legal Services,"48,824,041","48,589,541","48,589,541",0,"50,375,841","51,075,841","51,075,841","(700,000)",0
Mayor's Office,"4,097,960","1,460,188","1,460,188",0,"5,316,168","5,528,157","5,528,157","(211,989)",0
Mayor's Office-Scholarships,"170,500","169,000","169,000",0,"200,000","200,000","200,000",0,0
Mayor's Office-Comm. Empowerment & Opp.,"2,146,763",0,0,0,"90,000","90,000","90,000",0,0
Mural Arts Program,"1,921,140","135,525","135,525",0,"2,034,016","2,049,602","2,049,602","(15,586)",0
Office of Arts and Culture,"4,132,910","3,918,795","3,918,795",0,"4,172,855","4,335,840","4,335,840","(162,985)",0
Office of Behavioral Hith & Intellectual disAbility,"14,683,674","12,508,891","12,508,891",0,"14,202,289","15,532,083","15,532,083","(1,329,794)",0
Office of the Chief Administrative Officer,"5,894,030","2,049,653","2,049,653",0,"6,619,329","6,668,985","6,668,985","(49,656)",0
Office of Education,"23,073,129","20,916,099","20,916,099",0,"24,949,452","29,510,497","29,510,497","(4,561,045)",0
Office of Homeless Services,"48,016,836","16,144,198","16,144,198",0,"52,761,498","52,940,139","52,940,139","(178,641)",0
Office of Housing and Comm. Development,0,0,0,0,0,0,0,0,0
Office of Human Resources,"5,626,437","1,577,407","1,577,407",0,"6,343,869","6,535,350","6,535,350","(191,481)",0
Office of Innovation and Technology-Base,"61,598,068","20,039,873","20,039,873",0,"65,491,927","66,196,229","66,196,229","(704,302)",0
Office of Innovation and Technology-911,"14,748,137","3,032,881","3,032,881",0,"35,380,008","35,380,008","35,380,008",0,0
Office of the Inspector General,"1,487,259","395,883","395,883",0,"1,636,311","1,680,441","1,680,441","(44,130)",0
Office of Property Assessment,"13,434,758","3,022,470","3,022,470",0,"14,216,425","14,714,490","14,714,490","(498,065)",0
Office of Sustainability,"908,498","163,883","163,883",0,"949,327","963,258","963,258","(13,931)",0
Parks and Recreation,"64,066,064","24,013,468","24,013,468",0,"66,062,181","67,055,661","67,055,661","(993,480)",0
Planning & Development,"8,216,495","5,288,085","5,288,085",0,"12,811,669","12,973,533","12,973,533","(161,864)",0
Police,"712,744,848","166,468,858","166,468,858",0,"709,492,944","710,165,370","710,165,370","(672,426)",0
Prisons,"258,968,396","122,442,225","122,442,225",0,"249,371,806","250,152,237","250,152,237","(780,431)",0
Procurement,"4,789,509","1,204,156","1,204,156",0,"4,938,442","5,014,187","5,014,187","(75,745)",0
Public Health,"135,237,848","71,252,040","71,252,040",0,"156,633,875","158,042,886","140,042,886","16,590,989","18,000,000"
Public Property,"63,077,078","7,639,654","7,639,654",0,"67,881,546","68,581,774","68,581,774","(700,228)",0
Public Property-SEPTA Subsidy,"81,946,000","21,152,000","21,152,000",0,"84,608,000","84,608,000","84,608,000",0,0
Public Property-Space Rentals,"21,553,679","22,058,153","22,058,153",0,"22,457,948","22,457,948","22,457,948",0,0
Public Property-Utilities,"24,580,646","18,698,522","18,698,522",0,"25,008,269","25,008,269","25,008,269",0,0
Records,"4,429,732","1,443,718","1,443,718",0,"4,768,507","4,826,755","4,826,755","(58,248)",0
Register of Wills,"4,126,862","1,025,957","1,025,957",0,"4,438,881","4,438,881","4,438,881",0,0
Revenue,"29,308,141","8,785,193","8,785,193",0,"30,707,541","31,251,491","31,251,491","(543,950)",0
Sheriff,"28,432,276","7,041,024","7,041,024",0,"26,150,422","26,212,604","26,212,604","(62,182)",0
Sinking Fund Commission (Debt Service),"265,503,720","145,252,416","145,252,416",0,"295,032,504","295,032,504","295,032,504",0,0
Streets-Disposal,"40,077,018","35,733,983","35,733,983",0,"39,490,785","42,440,785","42,440,785","(2,950,000)",0
Streets,"112,473,629","23,945,680","23,945,680",0,"102,490,485","104,278,956","104,278,956","(1,788,471)",0
TOTAL GENERAL FUND,"4,402,853,857","1,333,127,235","1,333,127,235",0,"4,725,497,339","4,812,057,834","4,794,057,834","(68,560,495)","18,000,000"
