0,1,2,3,4,5,6,7,8,9
Art Museum Subsidy,"2,250,000","2,500,000","2,500,000",0,"2,500,000","2,500,000","2,500,000",0,0
Atwater Kent Museum,"256,433","254,000","178,076","75,924","270,000","320,000","320,000","(50,000)",0
Auditing (City Controller's Office),"7,785,547","6,127,575","5,828,831","298,744","8,254,796","8,392,248","8,392,248","(137,452)",0
Board of Building Standards,"91,478","82,462","69,578","12,884","112,792","112,792","112,792",0,0
Board of Ethics,0,"738,103","285,033","453,070","1,000,000","1,000,000","1,000,000",0,0
Board of L & Review,"184,230","163,964","140,831","23,133","224,705","222,458","222,458","2,247",0
Board of Revision of Taxes,"9,559,038","6,106,689","6,038,328","68,361","8,377,742","8,611,144","8,611,144","(233,402)",0
Camp William Penn,"308,952","308,091","350,681","(42,590)","345,082","345,082","345,082",0,0
Capital Program Office,"1,762,107","2,031,275","1,774,425","256,850","2,610,743","2,584,636","2,584,636","26,107",0
City Commissioners (Election Board),"8,440,615","7,189,225","6,588,168","601,057","8,995,597","8,995,597","9,295,597","(300,000)","(300,000)"
City Council,"13,624,688","12,465,692","10,831,331","1,634,361","28,620,922","16,620,922","16,620,922","12,000,000",0
City Planning Commission,"3,214,335","2,670,809","2,489,224","181,585","3,614,196","3,578,054","3,578,054","36,142",0
City Rep. / Commerce,"9,757,231","6,546,175","9,259,124","(2,712,949)","10,106,154","10,106,154","10,106,154",0,0
City Rep. / Commerce-Economic Stimulus,"6,000,000","4,000,000","4,000,000",0,"4,000,000","4,000,000","4,000,000",0,0
City Treasurer,"641,583","512,869","539,720","(26,851)","770,304","770,304","770,304",0,0
Civil Service Commission,"145,931","129,305","110,216","19,089","169,209","169,209","169,209",0,0
Clerk of Quarter Sessions,"4,792,426","3,654,130","3,519,265","134,865","5,067,691","5,017,014","5,017,014","50,677",0
Community College Subsidy,"23,467,924","24,467,924","24,467,924",0,"24,467,924","24,467,924","24,467,924",0,0
Convention Center Subsidy,"31,199,538","32,310,293","32,310,293",0,"32,310,293","32,310,293","32,310,293",0,0
District Attorney,"30,318,568","23,842,839","22,276,882","1,565,957","31,987,373","31,987,373","31,987,373",0,0
Fairmount Park,"13,795,645","9,840,437","9,843,031","(2,594)","13,368,540","13,140,540","13,140,540","228,000",0
Finance,"24,978,108","15,409,652","15,794,952","(385,300)","19,222,397","19,075,173","19,075,173","147,224",0
Finance - Contribution to the School District,"35,000,000",0,0,0,"35,000,000","37,000,000","37,000,000","(2,000,000)",0
Finance - Employee Benefits,"890,330,539","792,958,514","792,958,514",0,"923,903,498","971,110,876","986,110,876","(62,207,378)","(15,000,000)"
Employee Disability,"43,389,752","35,913,264","35,913,264",0,"50,947,710","47,947,710","47,947,710","3,000,000",0
FICA,"64,105,425","52,282,375","52,282,375",0,"64,102,899","64,102,899","69,102,899","(5,000,000)","(5,000,000)"
Flex Cash Payments,"742,341","727,932","727,932",0,"1,000,000","1,000,000","1,000,000",0,0
Group Legal,"4,045,801","3,034,065","3,034,065",0,"4,373,564","4,373,564","4,373,564",0,0
Group Life Insurance,"7,470,160","5,319,094","5,319,094",0,"7,500,000","7,500,000","7,500,000",0,0
Health / Medical,"331,479,880","320,020,796","320,020,796",0,"356,626,568","406,833,946","416,833,946","(60,207,378)","(10,000,000)"
Pension,"362,173,228","355,173,089","355,173,089",0,"353,992,862","353,992,862","353,992,862",0,0
Pension Obligation Bonds,"74,648,939","18,071,684","18,071,684",0,"82,734,607","82,734,607","82,734,607",0,0
Tool Allowance,"64,200","63,325","63,325",0,"100,000","100,000","100,000",0,0
Unemployment Compensation,"2,210,813","2,352,890","2,352,890",0,"2,525,288","2,525,288","2,525,288",0,0
Finance - PGW Rental Reimbursement,"18,000,000",0,0,0,"18,000,000","18,000,000","18,000,000",0,0
Fire,"195,554,507","129,067,635","129,465,159","(397,524)","190,107,667","189,125,205","189,125,205","982,462",0
First Judicial District,"116,333,908","84,755,751","87,364,358","(2,608,607)","114,552,203","115,952,203","115,952,203","(1,400,000)",0
