0,1,2,3,4,5,6
Art Museum Subsidy,"2,300,000","2,300,000","2,300,000","2,300,000",0,0
Atwater Kent Museum,"298,059","248,630","248,630","268,630","(20,000)","(20,000)"
Auditing (City Controller's Office),"7,408,017","7,291,566","7,236,052","7,948,052","(656,486)","(712,000)"
Board of Building Standards,"61,283","71,601","71,601","71,601",0,0
Board of Ethics,"705,545","810,000","810,000","810,000",0,0
Board of L & I Review,"127,040","155,721","155,721","155,721",0,0
Board of Revision of Taxes,"7,463,012","6,502,559","6,502,559","2,084,029","4,418,530","4,418,530"
Camp William Penn,"100,448",0,0,0,0,0
City Commissioners (Election Board),"9,021,144","8,794,177","8,794,177","9,221,677","(427,500)","(427,500)"
City Council,"13,373,484","15,048,972","15,048,972","15,048,972",0,0
City Planning Commission,"2,904,020","2,551,249","2,257,200","2,257,199","294,050",1
City Representative,"906,162","945,591","907,767","907,767","37,824",0
City Treasurer,"647,559","904,699","904,699","904,699",0,0
Civil Service Commission,"154,111","170,309","170,309","170,309",0,0
Clerk of Quarter Sessions,"4,509,567","4,549,313","4,367,341",0,"4,549,313","4,367,341"
Commerce,"3,148,757","2,190,276","2,124,813","2,124,813","65,463",0
Commerce-Economic Stimulus,0,"1,452,386","1,372,143","1,372,143","80,243",0
Community College Subsidy,"26,467,924","26,467,924","25,409,207","25,409,207","1,058,717",0
Convention Center Subsidy,"24,171,817","15,000,000","15,000,000","15,000,000",0,0
District Attorney,"30,071,519","29,062,121","29,062,121","30,522,121","(1,460,000)","(1,460,000)"
Division of Technology,"38,521,370","67,432,032","63,582,751","63,582,751","3,849,281",0
Fairmount Park,"12,504,253",0,0,0,0,0
Finance,"15,895,412","12,171,642","13,583,509","13,583,509","(1,411,867)",0
Finance - Contribution to the School District,"38,540,000","38,600,000","38,600,000","38,600,000",0,0
Finance Employee Benefits,"829,855,069","964,887,316","964,887,316","979,887,316","(15,000,000)","(15,000,000)"
Employee Disability,"50,256,169","54,031,478","54,031,478","54,031,478",o,o
FICA,"65,177,998","70,227,016","70,227,016","70,227,016",0,0
Flex Cash Payments,"778,134","1,000,000","1,000,000","1,000,000",o,o
Group Legal,"4,140,577","4,425,000","4,425,000","4,425,000",0,o
Group Life Insurance,"7,703,547","7,600,000","7,600,000","7,600,000",0,o
Health/Medical,"349,697,600","369,977,854","369,977,854","356,844,854","13,133,000","13,133,000"
Pension,"250,009,741","381,363,000","381,363,000","393,863,000","(12,500,000)","(12,500,000)"
Pension Obligation Bonds,"96,719,881","98,615,000","98,615,000","98,615,000",0,o
Tool Allowance,"94,600","100,000","100,000","100,000",0,o
Unemployment Compensation,"5,276,822","2,547,968","2,547,968","5,047,968","(2,500,000)","(2,500,000)"
Anticipated Workforce Savings (1),o,"(25,000,000)","(25,000,000)","(11,867,000)","(13,133,000)","(13,133,000)"
Finance - PGW Rental Reimbursement,"18,000,000","18,000,000",0,0,"18,000,000",0
Fire,"188,887,804","188,762,090","188,798,695","190,998,695","(2,236,605)","(2,200,000)"
First Judicial District,"107,227,069","99,096,983","99,096,983","110,113,478","(11,016,495)","(11,016,495)"
Common Pleas Court,"72,394,299","67,641,149","67,616,450","78,657,644","(11,016,495)","(11,041,194)"
Municipal Court,"8,338,567","7,135,370","7,150,328","7,135,370",0,"14,958"
Office of the Exec. Administrator,"21,409,770","19,382,250","19,561,040","19,382,250",0,"178,790"
Traffic Court,"5,084,433","4,938,214","4,769,165","4,938,214",0,"(169,049)"
Fleet Management,"44,600,981","47,437,489","45,539,989","45,539,989","1,897,500",0
Fleet Management - Vehicle Purchases,"2,722,425","4,000,000","4,000,000","5,500,000","(1,500,000)","(1,500,000)"
Free Library,"32,481,012","32,968,362","32,968,362","32,968,362",0,0
Historical Commission,"386,824","403,942","387,784","387,784","16,158",0
Hero Award,"42,500","25,000","37,000","37,000","(12,000)",0
Human Relations Commission,"1,983,420","2,066,937","1,984,259","1,984,259","82,678",0
Human Services,"561,082,074","576,365,473","564,365,506","549,365,506","26,999,967","15,000,000"
Administration & Management,"14,668,443","13,663,833","14,057,426","13,799,359","(135,526)","258,067"
Contract Admin. & Program Evaluation,"5,181,731","5,783,734","5,864,055","5,810,430","(26,696)","53,625"
Juvenile Justice Services,"137,511,378","140,067,590","140,099,090","137,492,462","2,575,128","2,606,628"
Children & Youth (Child Welfare),"325,837,422","334,666,728","324,652,391","313,840,704","20,826,024","10,811,687"
Community Based Prevention Services,"77,883,100","82,183,588","79,692,544","78,422,551","3,761,037","1,269,993"
