0,1,2,3,4,5,6,7,8,9
Managing Director's Office,"63,448,139","67,460,075","67,460,075",0,"125,584,461","125,880,993","108,071,700","17,512,761","17,809,293"
Managing Director-Legal Services,"50,635,963","52,404,449","52,404,449",0,"52,404,449","52,404,449","52,404,449",0,0
Mayor's Office,"6,480,074","4,527,487","4,527,487",0,"6,714,201","6,782,234","6,832,234","(118,033)","(50,000)"
Mayor's Office-Scholarships,"196,500","130,000","130,000",0,"100,000","135,000","135,000","(35,000)",0
Mayor's Office-Comm. Empowerment & Opp.,"45,000","802,000","802,000",0,"1,509,000","1,509,000","1,509,000",0,0
Mural Arts Program,"2,122,763","2,358,137","2,358,137",0,"2,652,179","2,659,013","2,659,013","(6,834)",0
Office of Behavioral Hith & Intellectual disAbility,"15,477,402","21,621,148","21,621,148",0,"23,546,932","23,579,056","23,579,056","(32,124)",0
Office of the Chief Administrative Officer,"5,822,476","4,865,750","4,865,750",0,"10,944,536","10,708,161","7,736,085","3,208,451","2,972,076"
Office of Children and Families,"418,820","303,611","303,611",0,"442,000","447,742","447,742","(5,742)",0
Office of Homeless Services,"44,781,994","51,216,513","51,216,513",0,"55,321,342","55,800,860","56,258,172","(936,830)","(457,312)"
Office of Human Resources,"5,717,867","4,407,242","4,407,242",0,"6,470,804","6,623,583","6,623,583","(152,779)",0
Office of Innovation and Technology-Base,"75,346,693","54,092,914","54,092,914",0,"78,787,583","80,129,051","90,129,051","(11,341,468)","(10,000,000)"
Office of Innovation and Technology-911,"15,411,322","17,416,253","17,416,253",0,"31,334,577","31,334,577","31,334,577",0,0
Office of the Inspector General,"1,369,200","1,110,742","1,110,742",0,"1,607,423","1,581,202","1,581,202","26,221",0
Office of Property Assessment,"15,213,643","10,911,829","10,911,829",0,"16,783,833","17,223,695","17,223,695","(439,862)",0
Office of Sustainability,"1,081,900","1,041,502","1,041,502",0,"1,574,587","1,537,959","1,537,959","36,628",0
Parks and Recreation,"52,622,772","46,978,691","46,978,691",0,"62,564,553","65,369,958","65,369,958","(2,805,405)",0
Planning & Development,"14,706,453","11,723,926","11,723,926",0,"17,073,828","17,428,742","17,428,742","(354,914)",0
Police,"759,140,543","525,732,733","525,732,733",0,"729,347,734","758,034,454","758,034,454","(28,686,720)",0
Prisons,"219,172,828","177,335,777","177,335,777",0,"237,651,313","251,402,740","251,402,740","(13,751,427)",0
Procurement,"5,856,103","3,016,809","3,016,809",0,"6,056,338","6,185,836","6,185,836","(129,498)",0
Public Health,"156,193,405","124,384,038","124,384,038",0,"163,004,196","165,741,188","165,091,188","(2,086,992)","650,000"
Public Property,"64,650,999","42,234,251","42,234,251",0,"73,425,346","73,515,244","73,915,244","(489,898)","(400,000)"
Public Property-SEPTA Subsidy,"84,608,000","65,910,500","65,910,500",0,"91,214,000","91,214,000","91,214,000",0,0
Public Property-Space Rentals,"25,007,711","30,427,005","30,427,005",0,"30,631,626","29,845,243","32,345,243","(1,713,617)","(2,500,000)"
Public Property-Utilities,"23,599,406","22,294,483","22,294,483",0,"24,875,748","24,875,748","24,875,748",0,0
Records,"3,671,829","3,064,567","3,064,567",0,"3,912,713","4,162,493","4,162,493","(249,780)",0
Register of Wills,"4,479,180","3,168,483","3,168,483",0,"4,281,429","4,322,681","4,426,264","(144,835)","(103,583)"
Revenue,"27,834,085","16,964,618","16,964,618",0,"26,943,273","26,614,882","26,614,882","328,391",0
Sheriff,"27,636,660","19,069,925","19,069,925",0,"26,795,874","26,990,159","29,277,284","(2,481,410)","(2,287,125)"
Sinking Fund Commission (Debt Service),"273,785,517","253,579,391","253,579,391",0,"297,227,515","297,227,515","293,227,515","4,000,000","4,000,000"
Streets-Disposal,"58,526,944","38,322,870","38,322,870",0,"59,762,580","55,762,580","55,762,580","4,000,000",0
Streets,"111,504,782","87,714,484","87,714,484",0,"113,672,053","121,192,129","119,592,129","(5,920,076)","1,600,000"
TOTAL GENERAL FUND,"4,717,753,548","4,028,865,532","4,028,865,532",0,"5,268,946,000","5,372,048,951","5,364,672,941","(95,726,941)","7,376,010"
