0,1,2,3,4,0.1,1.1,2.1,3.1,4.1
Indemnities,"33,617,728","18,548,817","18,548,817",0,33120000,32457600,32457600,662400,
Law,"16,962,316","7,202,481","7,392,004","(189,523)",13119245,12856860,12856860,262385,
Legal Services icl. Defender Association,"36,616,187","37,566,187","37,066,187","500,000",37566187,37066187,37066187,500000,
Licenses & Inspections,"18,098,275","9,708,696","9,524,792","183,904",21780905,21660905,21660905,120000,
Managing Director (MDO),"15,904,600","12,134,297","11,405,242","729,055",22972270,22512825,22512825,459445,
Mayor,"3,497,124","1,888,819","1,861,501","27,318","3,786,915","3,711,177","3,711,177","75,738",
Mayor Office of Arts and Culture,"2,549,976","2,565,061","2,557,568","7,493","2,670,238","2,670,238","2,670,238",o,
Mayor Office of the Inspector General,"1,171,003","598,491","615,808","(17,317)","1,281,451","1,255,822","1,255,822","25,629",
Mayor Office of Labor Relations,"457,236","248,090","248,451",(361),"552,416","541,368","541,368","11,048",
Mayor Scholarships,"197,600","183,000","183,000",0,"200,000","200,000","200,000",0,
Mayor's Office of Community Services,o,o,o,o,o,o,0,0,
Mayor's Office of Transportation,"419,184","117,600","451,034","(333,434)","480,000","470,400","470,400","9,600",
Mural Arts Program,"960,757","709,983","706,153","3,830","1,060,000","1,000,800","1,000,800","59,200",
Off. of Behavioral Hith.& Intellectual Disability,"14,271,572","13,558,795","13,075,147","483,648","14,271,572","14,271,572","14,271,572",o,
Office of Housing and Comm. Developmt.,"2,251,408","2,520,000","2,415,600","104,400","3,020,000","2,520,000","2,520,000","500,000",
Office of Human Resources,"4,588,003","2,561,820","2,498,746","63,074","5,228,327","5,123,760","5,123,760","104,567",
Office of Innovation and Technology,"61,347,850","41,625,549","41,296,194","329,355","63,942,751","63,019,194","63,019,194","923,557",
Office of Property Assessment,"5,730,108","3,965,221","3,670,936","294,285","11,740,696","11,505,882","11,505,882","234,814",
Office of Supportive Housing,"36,368,077","33,859,693","30,940,658","2,919,035","36,466,253","38,466,253","38,466,253","(2,000,000)",
Parks and Recreation,"45,540,072","26,460,898","26,884,229","(423,331)","46,325,925","45,567,232","45,567,232","758,693",
Police,"536,215,299","262,026,115","266,552,189","(4,526,074)","550,686,244","550,686,244","553,186,244","(2,500,000)","(2,500,000)"
Prisons,"231,163,979","157,836,333","159,673,819","(1,837,486)","227,172,870","227,172,870","230,172,870","(3,000,000)","(3,000,000)"
Procurement,"4,617,936","2,096,032","2,580,798","(484,766)","4,151,574","4,151,574","4,151,574",o,
Public Health,"108,848,360","82,572,294","81,459,984","1,112,310","110,426,170","110,426,170","110,426,170",o,
Ambulatory Health Services,"44,002,312","29,096,270","29,711,987","(615,717)","44,747,526","44,525,146","44,525,146","222,380",
"Early Childhood, Youth & Women's Health","1,383,881","818,146","935,790","(117,644)","1,629,322","1,629,322","1,629,322",o,
Phila. Nursing Home,"37,716,005","39,464,281","38,225,833","1,238,448","40,377,775","40,377,775","40,377,775",o,
Environmental Protection Services,"9,621,729","3,224,084","2,963,617","260,467","6,272,520","6,272,520","6,272,520",o,
Administration and Support Svcs,"6,755,686","4,163,176","3,527,694","635,482","7,866,406","7,866,406","7,866,406",o,
Medical Examiner's Office,"4,019,834","2,395,393","2,294,589","100,804","4,124,030","4,124,030","4,124,030",o,
Infectious Disease Control,"5,348,913","3,410,944","3,800,474","(389,530)","5,408,591","5,630,971","5,630,971","(222,380)",
