0,1,2,3,4,5,6
Art Museum Subsidy,"2,550,500","2,550,000","2,550,000","2,550,000",0,0
Atwater Kent Museum,"306,771","250,000","250,000","250,000",0,0
Auditing (City Controller's Office),"8,762,254","8,893,008","9,209,745","9,209,745","(316,737)",0
Board of Ethics,"974,344","1,074,792","1,098,971","1,098,971","(24,179)",0
Board of Revision of Taxes,"952,531","1,046,903","1,071,422","1,071,422","(24,519)",0
City Commissioners (Election Board),"10,124,526","10,351,881","15,928,677","15,928,677","(5,576,796)",0
City Council,"16,959,076","17,225,693","17,807,973","17,807,973","(582,280)",0
City Planning Commission,0,0,0,0,0,0
City Representative,"1,116,837","1,158,249","1,223,288","1,223,288","(65,039)",0
City Treasurer,"1,177,474","1,692,315","1,725,724","1,725,724","(33,409)",0
Civil Service Commission (1),"193,463","16,645,428","201,591","201,591","16,443,837",0
Commerce,"5,581,442","6,013,658","7,415,783","7,415,783","(1,402,125)",0
Commerce-Convention Center Subsidy,"15,000,000","15,000,000","15,000,000","15,000,000",0,0
Commerce-Economic Stimulus,"2,854,448","2,397,004","1,242,883","1,242,883","1,154,121",0
District Attorney,"35,520,200","41,792,293","41,832,195","41,832,195","(39,902)",0
Finance,"44,263,571","24,790,260","71,892,419","71,892,419","(47,102,159)",0
Finance-Budget Stabilization Reserve,0,0,0,0,0,0
Finance-Disability-Reg #32 Payroll,"2,556,892","2,650,000","2,650,000","2,650,000",0,0
Finance-Federal Grant Reserve,0,"53,573,000","53,573,000","53,573,000",0,0
Finance-Community College Subsidy,"30,409,207","32,409,207","32,409,207","32,409,207",0,0
Finance Employee Benefits,"1,314,021,386","1,360,238,207","1,377,964,739","1,377,964,739","(17,726,532)",0
Unemployment Compensation,"3,492,886","4,080,260","4,080,260","4,080,260",0,0
Employee Disability,"56,011,219","61,799,849","61,799,849","61,799,849",0,0
Pension Obligation Bonds,"110,159,328","110,077,649","110,077,649","110,077,649",0,0
Pension,"607,875,436","561,418,620","561,418,620","561,418,620",0,0
Pension-Sales Tax,"24,202,319","48,262,124","47,577,983","47,577,983","684,141",0
Pension-Plan 10,"201,237",0,0,0,0,0
FICA,"80,441,125","78,631,100","78,631,100","78,631,100",0,0
Flex Cash Payments,"645,989","800,000","800,000","800,000",0,0
Health/Medical,"418,230,169","481,764,702","500,175,375","500,175,375","(18,410,673)",0
Group Life Insurance,"7,782,681","8,407,794","8,407,794","8,407,794",0,0
Group Legal,"4,769,947","4,849,842","4,849,842","4,849,842",0,0
Tool Allowance,"209,050","146,267","146,267","146,267",0,0
Finance-Hero Scholarship Awards,"2,000","25,000","25,000","25,000",0,0
Finance-Indemnities,0,"48,780,000","48,780,000","48,780,000",0,0
Finance-Refunds,"10,202","250,000","250,000","250,000",0,0
Finance-School District Contribution,"104,348,281","180,870,541","185,770,541","185,770,541","(4,900,000)",0
Finance-Witness Fees,"86,141","171,518","171,518","171,518",0,0
Fire,"268,563,285","277,613,180","306,185,387","306,185,387","(28,572,207)",0
First Judicial District,"114,171,926","109,556,573","112,731,854","112,731,854","(3,175,281)",0
Fleet Management,"45,083,004","49,062,057","49,827,789","49,827,789","(765,732)",0
Fleet Management - Vehicle Purchases,"19,340,817","14,797,739","14,797,739","14,797,739",0,0
Free Library,"41,794,729","41,286,517","42,265,871","42,265,871","(979,354)",0
Historical Commission,0,0,0,0,0,0
Human Relations Commission,"2,079,631","2,202,336","2,297,418","2,297,418","(95,082)",0
Human Services,"108,622,882","112,073,598","112,073,598","112,073,598",0,0
Labor,"1,445,501","1,746,946","2,014,103","2,014,103","(267,157)",0
Law,"14,800,512","15,835,164","16,066,096","16,066,096","(230,932)",0
Licenses & Inspections,"35,400,379","37,507,876","37,979,690","37,979,690","(471,814)",0
L&I-Board of Building Standards,"67,339","75,419","78,574","78,574","(3,155)",0
L&I-Board of L & I Review,"153,135","172,720","172,720","172,720",0,0
L&I-Zoning Board of Adjustment,0,0,0,0,0,0
Managing Director's Office,"43,263,090","46,633,137","50,840,245","50,840,245","(4,207,108)",0
Managing Director-Legal Services,"48,824,041","50,375,841","51,574,391","51,574,391","(1,198,550)",0
Mayor's Office,"4,097,960","5,316,168","5,528,157","5,528,157","(211,989)",0
Mayor's Office-Scholarships,"170,500","200,000","200,000","200,000",0,0
Mayor's Office-Comm. Empowerment & Opp.,"2,146,763","90,000","90,000","90,000",0,0
Mural Arts Program,"1,921,140","2,034,016","2,084,602","2,084,602","(50,586)",0
Office of Arts and Culture,"4,132,910","4,172,855","4,335,840","4,335,840","(162,985)",0
Office of Behavioral Hith & Intellectual disAbility,"14,683,674","14,202,289","17,131,339","17,131,339","(2,929,050)",0
Office of the Chief Administrative Officer,"5,894,030","6,619,329","6,548,985","6,548,985","70,344",0
Office of Education,"23,073,129","24,949,452","29,510,497","29,510,497","(4,561,045)",0
Office of Homeless Services,"48,016,836","52,761,498","56,816,894","56,816,894","(4,055,396)",0
Office of Housing and Comm. Development,0,0,0,0,0,0
Office of Human Resources,"5,626,437","6,343,869","6,535,350","6,535,350","(191,481)",0
Office of Innovation and Technology-Base,"61,598,068","65,491,927","66,596,229","66,596,229","(1,104,302)",0
Office of Innovation and Technology-911,"14,748,137","35,380,008","35,380,008","35,380,008",0,0
