0,1,2,3,4,5,6,7,8,9
Managing Director's Office,"63,447,389","14,342,351","14,342,351",0,"125,584,461","125,584,461","124,474,461","1,110,000","1,110,000"
Managing Director-Legal Services,"50,635,963","48,549,300","48,549,300",0,"52,404,449","52,404,449","52,404,449",0,0
Mayor's Office,"6,480,074","1,242,013","1,242,013",0,"6,714,201","6,714,201","6,704,201","10,000","10,000"
Mayor's Office-Scholarships,"196,500",0,0,0,"100,000","100,000","135,000","(35,000)","(35,000)"
Mayor's Office-Comm. Empowerment & Opp.,"45,000",0,0,0,"1,509,000","1,509,000","1,509,000",0,0
Mural Arts Program,"2,122,763","84,626","84,626",0,"2,652,179","2,652,179","2,652,179",0,0
Office of Behavioral Hith & Intellectual disAbility,"15,477,402","14,246,139","14,246,139",0,"23,546,932","23,546,932","23,526,291","20,641","20,641"
Office of the Chief Administrative Officer,"5,822,476","982,044","982,044",0,"10,944,536","10,944,536","10,616,200","328,336","328,336"
Office of Children and Families,"418,820","96,161","96,161",0,"442,000","442,000","442,000",0,0
Office of Homeless Services,"44,781,994","25,652,044","25,652,044",0,"55,321,342","55,321,342","55,321,342",0,0
Office of Human Resources,"5,717,867","1,520,816","1,520,816",0,"6,470,804","6,470,804","6,420,804","50,000","50,000"
Office of Innovation and Technology-Base,"75,335,746","27,004,045","27,004,045",0,"78,787,583","78,787,583","79,489,433","(701,850)","(701,850)"
Office of Innovation and Technology-911,"15,411,176","5,341,535","5,341,535",0,"31,334,577","31,334,577","31,334,577",0,0
Office of the Inspector General,"1,369,200","390,922","390,922",0,"1,607,423","1,607,423","1,559,200","48,223","48,223"
Office of Property Assessment,"15,213,643","3,290,138","3,290,138",0,"16,783,833","16,783,833","16,387,833","396,000","396,000"
Office of Sustainability,"1,081,900","389,587","389,587",0,"1,574,587","1,574,587","1,527,587","47,000","47,000"
Parks and Recreation,"52,622,772","19,815,772","19,815,772",0,"62,564,553","62,564,553","61,564,553","1,000,000","1,000,000"
Planning & Development,"14,706,453","8,190,292","8,190,292",0,"17,073,828","17,073,828","17,073,828",0,0
Police,"759,140,543","157,293,857","157,293,857",0,"729,347,734","729,347,734","723,347,734","6,000,000","6,000,000"
Prisons,"219,172,828","86,740,956","86,740,956",0,"237,651,313","237,651,313","250,251,313","(12,600,000)","(12,600,000)"
Procurement,"5,856,103","835,451","835,451",0,"6,056,338","6,056,338","6,056,338",0,0
Public Health,"156,193,405","31,915,103","31,915,103",0,"163,004,196","163,004,196","163,004,196",0,0
Public Property,"64,650,999","25,491,750","25,491,750",0,"73,425,346","73,425,346","73,065,346","360,000","360,000"
Public Property-SEPTA Subsidy,"84,608,000","22,803,500","22,803,500",0,"91,214,000","91,214,000","91,214,000",0,0
Public Property-Space Rentals,"25,007,711","30,631,615","30,631,615",0,"30,631,626","30,631,626","29,845,243","786,383","786,383"
Public Property-Utilities,"23,599,406","21,228,675","21,228,675",0,"24,875,748","24,875,748","24,875,748",0,0
Records,"3,671,829","1,182,946","1,182,946",0,"3,912,713","3,912,713","3,987,713","(75,000)","(75,000)"
Register of Wills,"4,479,180","946,963","946,963",0,"4,281,429","4,281,429","4,281,429",0,0
Revenue,"27,825,333","5,220,585","5,220,585",0,"26,943,273","26,943,273","25,402,302","1,540,971","1,540,971"
Sheriff,"27,636,660","5,707,977","5,707,977",0,"26,795,874","26,795,874","26,795,874",0,0
Sinking Fund Commission (Debt Service),"273,785,517","154,403,311","154,403,311",0,"297,227,515","297,227,515","297,227,515",0,0
Streets-Disposal,"58,526,944","17,557,500","17,557,500",0,"59,762,580","59,762,580","55,762,580","4,000,000","4,000,000"
Streets,"111,503,957","29,192,392","29,192,392",0,"113,672,053","113,672,053","113,595,833","76,220","76,220"
TOTAL GENERAL FUND,"4,717,753,368","1,368,841,850","1,368,841,850",0,"5,268,946,000","5,268,946,000","5,348,025,499","(79,079,499)","(79,079,499)"
