category,fiscal_month,amount,fiscal_year,quarter,month
Real Estate Tax,1,11.6,2023,3,7
"Wage, Earnings, Net Profits",1,125.5,2023,3,7
Realty Transfer Tax,1,51.5,2023,3,7
Sales Tax,1,35.9,2023,3,7
BIRT,1,12.1,2023,3,7
Beverage Tax,1,6.3,2023,3,7
Other Taxes,1,12.0,2023,3,7
Locally Generated Non-Tax,1,33.8,2023,3,7
Other Governments,1,11.6,2023,3,7
PICA Other Governments,1,83.1,2023,3,7
Interfund Transfers,1,0.0,2023,3,7
Total Current Revenue,1,383.3,2023,3,7
Prior Year Revenue,1,30.1,2023,3,7
Other Adjustments,1,0.0,2023,3,7
Total Cash Receipts,1,413.4,2023,3,7
Real Estate Tax,2,10.6,2023,3,8
"Wage, Earnings, Net Profits",2,159.7,2023,3,8
Realty Transfer Tax,2,53.1,2023,3,8
Sales Tax,2,35.0,2023,3,8
BIRT,2,9.8,2023,3,8
Beverage Tax,2,4.8,2023,3,8
Other Taxes,2,14.7,2023,3,8
Locally Generated Non-Tax,2,38.4,2023,3,8
Other Governments,2,61.7,2023,3,8
PICA Other Governments,2,8.5,2023,3,8
Interfund Transfers,2,0.0,2023,3,8
Total Current Revenue,2,396.4,2023,3,8
Prior Year Revenue,2,0.0,2023,3,8
Other Adjustments,2,0.0,2023,3,8
Total Cash Receipts,2,396.4,2023,3,8
Real Estate Tax,3,5.2,2023,3,9
"Wage, Earnings, Net Profits",3,107.8,2023,3,9
Realty Transfer Tax,3,48.7,2023,3,9
Sales Tax,3,14.9,2023,3,9
BIRT,3,36.2,2023,3,9
Beverage Tax,3,6.2,2023,3,9
Other Taxes,3,11.1,2023,3,9
Locally Generated Non-Tax,3,34.9,2023,3,9
Other Governments,3,6.0,2023,3,9
PICA Other Governments,3,35.3,2023,3,9
Interfund Transfers,3,0.0,2023,3,9
Total Current Revenue,3,306.4,2023,3,9
Prior Year Revenue,3,34.0,2023,3,9
Other Adjustments,3,0.0,2023,3,9
Total Cash Receipts,3,340.5,2023,3,9
Real Estate Tax,4,17.7,2023,3,10
"Wage, Earnings, Net Profits",4,188.1,2023,3,10
Realty Transfer Tax,4,39.0,2023,3,10
Sales Tax,4,16.4,2023,3,10
BIRT,4,31.8,2023,3,10
Beverage Tax,4,7.2,2023,3,10
Other Taxes,4,10.3,2023,3,10
Locally Generated Non-Tax,4,22.5,2023,3,10
Other Governments,4,100.5,2023,3,10
PICA Other Governments,4,60.8,2023,3,10
Interfund Transfers,4,0.0,2023,3,10
Total Current Revenue,4,494.4,2023,3,10
Prior Year Revenue,4,83.8,2023,3,10
Other Adjustments,4,0.0,2023,3,10
Total Cash Receipts,4,578.2,2023,3,10
Real Estate Tax,5,5.4,2023,3,11
"Wage, Earnings, Net Profits",5,131.9,2023,3,11
Realty Transfer Tax,5,31.6,2023,3,11
Sales Tax,5,17.5,2023,3,11
BIRT,5,11.8,2023,3,11
Beverage Tax,5,5.8,2023,3,11
Other Taxes,5,11.7,2023,3,11
Locally Generated Non-Tax,5,39.1,2023,3,11
Other Governments,5,8.7,2023,3,11
PICA Other Governments,5,66.0,2023,3,11
Interfund Transfers,5,0.0,2023,3,11
Total Current Revenue,5,329.4,2023,3,11
Prior Year Revenue,5,0.0,2023,3,11
Other Adjustments,5,0.0,2023,3,11
Total Cash Receipts,5,329.4,2023,3,11
Real Estate Tax,6,32.7,2023,3,12
"Wage, Earnings, Net Profits",6,134.7,2023,3,12
Realty Transfer Tax,6,22.3,2023,3,12
Sales Tax,6,16.4,2023,3,12
BIRT,6,46.6,2023,3,12
Beverage Tax,6,5.7,2023,3,12
Other Taxes,6,8.2,2023,3,12
Locally Generated Non-Tax,6,28.2,2023,3,12
Other Governments,6,11.6,2023,3,12
PICA Other Governments,6,50.0,2023,3,12
Interfund Transfers,6,0.0,2023,3,12
Total Current Revenue,6,356.3,2023,3,12
Prior Year Revenue,6,0.0,2023,3,12
Other Adjustments,6,0.0,2023,3,12
