dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,dept_code,abbreviation,report_quarter,report_fiscal_year,dept_major_code
Art Museum Subsidy,2040000.0,2021,Actual,Full Year,2021-06-30,Art Museum,34,,3,2022,34
Auditing (City Controller's Office),9824760.0,2021,Actual,Full Year,2021-06-30,City Controller's Office,61,,3,2022,61
Board of Ethics,817525.0,2021,Actual,Full Year,2021-06-30,Board of Ethics,45,,3,2022,45
Board of Revision of Taxes,1049649.0,2021,Actual,Full Year,2021-06-30,Board of Revision of Taxes,63,BRT,3,2022,63
City Commissioners (Election Board),20871241.0,2021,Actual,Full Year,2021-06-30,City Commissioner's Office,73,City Commissioners,3,2022,73
City Council,17009546.0,2021,Actual,Full Year,2021-06-30,City Council,01,,3,2022,01
City Treasurer,1714804.0,2021,Actual,Full Year,2021-06-30,Office of the City Treasurer,40,City Treasurer,3,2022,40
Civil Service Commission,170033.0,2021,Actual,Full Year,2021-06-30,Civil Service Commission,55,,3,2022,55
Commerce,3332692.0,2021,Actual,Full Year,2021-06-30,Office of the Director of Commerce,42,Commerce,3,2022,42
Commerce-Convention Center Subsidy,15000000.0,2021,Actual,Full Year,2021-06-30,Commerce: Convention Center Subsidy,42-CC,,3,2022,42
Commerce-Economic Stimulus,2957678.0,2021,Actual,Full Year,2021-06-30,Commerce: Economic Stimulus,42-ES,,3,2022,42
District Attorney,42026933.0,2021,Actual,Full Year,2021-06-30,District Attorney's Office,69,DAO,3,2022,69
Finance,56342371.0,2021,Actual,Full Year,2021-06-30,Office of the Director of Finance,35,Finance,3,2022,35
Finance-Budget Stabilization Reserve,0.0,2021,Actual,Full Year,2021-06-30,Finance: Budget Stabilization Reserve,35-BSR,,3,2022,35
Finance-Disability-Reg #32 Payroll,2167137.0,2021,Actual,Full Year,2021-06-30,Finance: Reg #32,35-R32,,3,2022,35
Finance-Recession Reserve and Reopening,0.0,2021,Actual,Full Year,2021-06-30,Finance: Recession Reserve,35-RR,,3,2022,35
Finance-Community College Subsidy,41628751.0,2021,Actual,Full Year,2021-06-30,Finance: Community College Subsidy,35-CC,,3,2022,35
Finance - Employee Benefits *,1270300692.0,2021,Actual,Full Year,2021-06-30,Finance: Employee Benefits,35-EB,Employee Benefits,3,2022,35
Employee Benefits: Unemployment Compensation,2208454.0,2021,Actual,Full Year,2021-06-30,Employee Benefits: Unemployment Compensation,35-EB-UC,,3,2022,35
Employee Benefits: Employee Disability,70087502.0,2021,Actual,Full Year,2021-06-30,Employee Benefits: Employee Disability,35-EB-DIS,,3,2022,35
Employee Benefits: Pension Obligation Bonds,27849355.0,2021,Actual,Full Year,2021-06-30,Employee Benefits: Pension Obligation Bonds,35-EB-POB,,3,2022,35
Employee Benefits: Pension,636570278.0,2021,Actual,Full Year,2021-06-30,Employee Benefits: Pension,35-EB-PEN,,3,2022,35
Employee Benefits: FICA,81513022.0,2021,Actual,Full Year,2021-06-30,Employee Benefits: FICA,35-EB-FICA,,3,2022,35
Employee Benefits: Flex Cash Payments,567761.0,2021,Actual,Full Year,2021-06-30,Employee Benefits: Flex Cash Payments,35-EB-FLEX,,3,2022,35
Employee Benefits: Health/Medical,440010762.0,2021,Actual,Full Year,2021-06-30,Employee Benefits: Health/Medical,35-EB-HM,,3,2022,35
Employee Benefits: Group Life Insurance,4812435.0,2021,Actual,Full Year,2021-06-30,Employee Benefits: Group Life Insurance,35-EB-GLI,,3,2022,35
Employee Benefits: Group Legal,6501573.0,2021,Actual,Full Year,2021-06-30,Employee Benefits: Group Legal,35-EB-GL,,3,2022,35
Employee Benefits: Tool Allowance,179550.0,2021,Actual,Full Year,2021-06-30,Employee Benefits: Tool Allowance,35-EB-TA,,3,2022,35
Finance-Hero Scholarship Awards,0.0,2021,Actual,Full Year,2021-06-30,Finance: Hero Scholarship Awards,35-HA,,3,2022,35
Finance-Indempities,-5535036.0,2021,Actual,Full Year,2021-06-30,Finance: Indemnities,35-IN,,3,2022,35
Finance-Refunds,14153.0,2021,Actual,Full Year,2021-06-30,Finance: Refunds,35-R,,3,2022,35
Finance-School District Contribution,252578558.0,2021,Actual,Full Year,2021-06-30,Finance: School District Contribution,35-SD,,3,2022,35
Finance-Witness Fees,31007.0,2021,Actual,Full Year,2021-06-30,Finance: Witness Fees,35-WF,,3,2022,35
Fire,344502428.0,2021,Actual,Full Year,2021-06-30,Fire Department,13,Fire,3,2022,13
First Judicial District,114312315.0,2021,Actual,Full Year,2021-06-30,First Judicial District,84,FJD,3,2022,84
Fleet Services,41916725.0,2021,Actual,Full Year,2021-06-30,Office of Fleet Management,25,Fleet,3,2022,25
Fleet Services - Vehicle Purchases,13352566.0,2021,Actual,Full Year,2021-06-30,Fleet: Vehicle Lease/Purchases,25-V,,3,2022,25
Free Library,40116664.0,2021,Actual,Full Year,2021-06-30,The Free Library of Philadelphia,52,Free Library,3,2022,52
Human Relations Commission,2285473.0,2021,Actual,Full Year,2021-06-30,Commission on Human Relations,54,Human Relations,3,2022,54
Human Services,154211458.0,2021,Actual,Full Year,2021-06-30,Department of Human Services,22,DHS,3,2022,22
Labor,2377751.0,2021,Actual,Full Year,2021-06-30,Labor,03,,3,2022,03
Law,16219764.0,2021,Actual,Full Year,2021-06-30,Law Department,44,Law,3,2022,44
Licenses & Inspections,37334864.0,2021,Actual,Full Year,2021-06-30,Department of Licenses and Inspections,26,L&I,3,2022,26
L&I-Board of Building Standards,85061.0,2021,Actual,Full Year,2021-06-30,L&I: Board of Building and Standards,29,,3,2022,29
L&I-Board of L & I Review,129012.0,2021,Actual,Full Year,2021-06-30,L&I: Board of Review,27,,3,2022,27
Managing Director's Office,63448139.0,2021,Actual,Full Year,2021-06-30,Managing Director's Office,10,MDO,3,2022,10
Managing Director-Legal Services,50635963.0,2021,Actual,Full Year,2021-06-30,MDO: Legal Services,10-LS,,3,2022,10
Mayor's Office,6480074.0,2021,Actual,Full Year,2021-06-30,Mayor's Office,05,Mayor,3,2022,05
Mayor's Office-Scholarships,196500.0,2021,Actual,Full Year,2021-06-30,Mayor's Office: Scholarships,05-S,,3,2022,05
Mayor's Office-Comm. Empowerment & Opp.,45000.0,2021,Actual,Full Year,2021-06-30,Mayor's Office of Community Empowerment and Opportunity,08,CEO,3,2022,08
Mural Arts Program,2122763.0,2021,Actual,Full Year,2021-06-30,Mural Arts Program,50,Mural Arts,3,2022,50
Office of Behavioral Hith & Intellectual disAbility,15477402.0,2021,Actual,Full Year,2021-06-30,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,3,2022,15
Office of the Chief Administrative Officer,5822476.0,2021,Actual,Full Year,2021-06-30,Office of the Chief Administrative Officer,65,CAO,3,2022,65
Office of Children and Families,418820.0,2021,Actual,Full Year,2021-06-30,Office of Children and Families,66,OCF,3,2022,66
Office of Homeless Services,44781994.0,2021,Actual,Full Year,2021-06-30,Office of Homeless Services,24,OHS,3,2022,24
Office of Human Resources,5717867.0,2021,Actual,Full Year,2021-06-30,Office of Human Resources,56,OHR,3,2022,56
Office of Innovation and Technology-Base,75346693.0,2021,Actual,Full Year,2021-06-30,Office of Innovation and Technology,04,OIT,3,2022,04
Office of Innovation and Technology-911,15411322.0,2021,Actual,Full Year,2021-06-30,OIT: 911,04-911,,3,2022,04
Office of the Inspector General,1369200.0,2021,Actual,Full Year,2021-06-30,Office of the Inspector General,48,OIG,3,2022,48
Office of Property Assessment,15213643.0,2021,Actual,Full Year,2021-06-30,Office of Property Assessment,59,OPA,3,2022,59
Office of Sustainability,1081900.0,2021,Actual,Full Year,2021-06-30,Office of Sustainability,49,Sustainability,3,2022,49
Parks and Recreation,52622772.0,2021,Actual,Full Year,2021-06-30,Department of Parks and Recreation,16,Parks & Recreation,3,2022,16
Planning & Development,14706453.0,2021,Actual,Full Year,2021-06-30,Department of Planning and Development,72,Planning & Development,3,2022,72
Police,759140543.0,2021,Actual,Full Year,2021-06-30,Police Department,11,Police,3,2022,11
Prisons,219172828.0,2021,Actual,Full Year,2021-06-30,Philadelphia Prison System,23,Prisons,3,2022,23
Procurement,5856103.0,2021,Actual,Full Year,2021-06-30,Procurement Department,38,Procurement,3,2022,38
Public Health,156193405.0,2021,Actual,Full Year,2021-06-30,Department of Public Health,14,Public Health,3,2022,14
Public Property,64650999.0,2021,Actual,Full Year,2021-06-30,Department of Public Property,20,Public Property,3,2022,20
Public Property-SEPTA Subsidy,84608000.0,2021,Actual,Full Year,2021-06-30,Public Property: SEPTA Subsidy,20-SS,,3,2022,20
Public Property-Space Rentals,25007711.0,2021,Actual,Full Year,2021-06-30,Public Property: Space Rentals,20-SR,,3,2022,20
Public Property-Utilities,23599406.0,2021,Actual,Full Year,2021-06-30,Public Property: Utilities,20-U,,3,2022,20
Records,3671829.0,2021,Actual,Full Year,2021-06-30,Department of Records,31,Records,3,2022,31
Register of Wills,4479180.0,2021,Actual,Full Year,2021-06-30,Register of Wills,68,,3,2022,68
Revenue,27834085.0,2021,Actual,Full Year,2021-06-30,Department of Revenue,36,Revenue,3,2022,36
Sheriff,27636660.0,2021,Actual,Full Year,2021-06-30,Office of the Sheriff,70,Sheriff,3,2022,70
Sinking Fund Commission (Debt Service),273785517.0,2021,Actual,Full Year,2021-06-30,Sinking Fund Commission,37,Sinking Fund,3,2022,37
Streets-Disposal,58526944.0,2021,Actual,Full Year,2021-06-30,Streets: Disposal,12-D,,3,2022,12
Streets,111504782.0,2021,Actual,Full Year,2021-06-30,Streets Department,12,Streets,3,2022,12
Art Museum Subsidy,1530000.0,2022,Target Budget,YTD,2022-03-31,Art Museum,34,,3,2022,34
Auditing (City Controller's Office),7369031.0,2022,Target Budget,YTD,2022-03-31,City Controller's Office,61,,3,2022,61
Board of Ethics,598092.0,2022,Target Budget,YTD,2022-03-31,Board of Ethics,45,,3,2022,45
Board of Revision of Taxes,759997.0,2022,Target Budget,YTD,2022-03-31,Board of Revision of Taxes,63,BRT,3,2022,63
City Commissioners (Election Board),12414353.0,2022,Target Budget,YTD,2022-03-31,City Commissioner's Office,73,City Commissioners,3,2022,73
City Council,12177701.0,2022,Target Budget,YTD,2022-03-31,City Council,01,,3,2022,01
City Treasurer,2102376.0,2022,Target Budget,YTD,2022-03-31,Office of the City Treasurer,40,City Treasurer,3,2022,40
Civil Service Commission,127221.0,2022,Target Budget,YTD,2022-03-31,Civil Service Commission,55,,3,2022,55
Commerce,10317319.0,2022,Target Budget,YTD,2022-03-31,Office of the Director of Commerce,42,Commerce,3,2022,42
Commerce-Convention Center Subsidy,15000000.0,2022,Target Budget,YTD,2022-03-31,Commerce: Convention Center Subsidy,42-CC,,3,2022,42
Commerce-Economic Stimulus,5834550.0,2022,Target Budget,YTD,2022-03-31,Commerce: Economic Stimulus,42-ES,,3,2022,42
District Attorney,32707433.0,2022,Target Budget,YTD,2022-03-31,District Attorney's Office,69,DAO,3,2022,69
Finance,23564115.0,2022,Target Budget,YTD,2022-03-31,Office of the Director of Finance,35,Finance,3,2022,35
Finance-Budget Stabilization Reserve,0.0,2022,Target Budget,YTD,2022-03-31,Finance: Budget Stabilization Reserve,35-BSR,,3,2022,35
Finance-Disability-Reg #32 Payroll,1840134.0,2022,Target Budget,YTD,2022-03-31,Finance: Reg #32,35-R32,,3,2022,35
Finance-Recession Reserve and Reopening,0.0,2022,Target Budget,YTD,2022-03-31,Finance: Recession Reserve,35-RR,,3,2022,35
Finance-Community College Subsidy,48128075.0,2022,Target Budget,YTD,2022-03-31,Finance: Community College Subsidy,35-CC,,3,2022,35
Finance - Employee Benefits *,1241307821.0,2022,Target Budget,YTD,2022-03-31,Finance: Employee Benefits,35-EB,Employee Benefits,3,2022,35
Employee Benefits: Unemployment Compensation,1573300.0,2022,Target Budget,YTD,2022-03-31,Employee Benefits: Unemployment Compensation,35-EB-UC,,3,2022,35
Employee Benefits: Employee Disability,65087464.0,2022,Target Budget,YTD,2022-03-31,Employee Benefits: Employee Disability,35-EB-DIS,,3,2022,35
Employee Benefits: Pension Obligation Bonds,104777475.0,2022,Target Budget,YTD,2022-03-31,Employee Benefits: Pension Obligation Bonds,35-EB-POB,,3,2022,35
Employee Benefits: Pension,643524668.0,2022,Target Budget,YTD,2022-03-31,Employee Benefits: Pension,35-EB-PEN,,3,2022,35
Employee Benefits: FICA,61332317.0,2022,Target Budget,YTD,2022-03-31,Employee Benefits: FICA,35-EB-FICA,,3,2022,35
Employee Benefits: Flex Cash Payments,830862.0,2022,Target Budget,YTD,2022-03-31,Employee Benefits: Flex Cash Payments,35-EB-FLEX,,3,2022,35
Employee Benefits: Health/Medical,356369256.0,2022,Target Budget,YTD,2022-03-31,Employee Benefits: Health/Medical,35-EB-HM,,3,2022,35
Employee Benefits: Group Life Insurance,3154127.0,2022,Target Budget,YTD,2022-03-31,Employee Benefits: Group Life Insurance,35-EB-GLI,,3,2022,35
Employee Benefits: Group Legal,4489427.0,2022,Target Budget,YTD,2022-03-31,Employee Benefits: Group Legal,35-EB-GL,,3,2022,35
Employee Benefits: Tool Allowance,168925.0,2022,Target Budget,YTD,2022-03-31,Employee Benefits: Tool Allowance,35-EB-TA,,3,2022,35
Finance-Hero Scholarship Awards,54000.0,2022,Target Budget,YTD,2022-03-31,Finance: Hero Scholarship Awards,35-HA,,3,2022,35
Finance-Indempities,38876141.0,2022,Target Budget,YTD,2022-03-31,Finance: Indemnities,35-IN,,3,2022,35
Finance-Refunds,19694.0,2022,Target Budget,YTD,2022-03-31,Finance: Refunds,35-R,,3,2022,35
Finance-School District Contribution,191964901.0,2022,Target Budget,YTD,2022-03-31,Finance: School District Contribution,35-SD,,3,2022,35
Finance-Witness Fees,148807.0,2022,Target Budget,YTD,2022-03-31,Finance: Witness Fees,35-WF,,3,2022,35
Fire,258794960.0,2022,Target Budget,YTD,2022-03-31,Fire Department,13,Fire,3,2022,13
