full_time_positions,class_100_total,class_100_ot,fiscal_year,variable,time_period,dept_name_raw,as_of_date,dept_name,dept_code,abbreviation,report_quarter,report_fiscal_year,dept_major_code
121,9466389,60388,2020,Actual,Full Year,Auditing,2020-06-30,City Controller's Office,61,,2,2023,61
118,9311029,39619,2021,Actual,Full Year,Auditing,2021-06-30,City Controller's Office,61,,2,2023,61
109,9523506,58666,2022,Actual,Full Year,Auditing,2022-06-30,City Controller's Office,61,,2,2023,61
111,4393321,40000,2023,Target Budget,YTD,Auditing,2022-12-31,City Controller's Office,61,,2,2023,61
111,4393321,6910,2023,Actual,YTD,Auditing,2022-12-31,City Controller's Office,61,,2,2023,61
135,10285869,80000,2023,Adopted Budget,Full Year,Auditing,2022-12-31,City Controller's Office,61,,2,2023,61
135,10285869,80000,2023,Target Budget,Full Year,Auditing,2022-12-31,City Controller's Office,61,,2,2023,61
135,10285869,80000,2023,Current Projection,Full Year,Auditing,2022-12-31,City Controller's Office,61,,2,2023,61
7,922164,0,2020,Actual,Full Year,Board of Ethics,2020-06-30,Board of Ethics,45,,2,2023,45
9,801988,0,2021,Actual,Full Year,Board of Ethics,2021-06-30,Board of Ethics,45,,2,2023,45
9,848155,0,2022,Actual,Full Year,Board of Ethics,2022-06-30,Board of Ethics,45,,2,2023,45
9,462255,0,2023,Target Budget,YTD,Board of Ethics,2022-12-31,Board of Ethics,45,,2,2023,45
9,462255,0,2023,Actual,YTD,Board of Ethics,2022-12-31,Board of Ethics,45,,2,2023,45
12,1121902,0,2023,Adopted Budget,Full Year,Board of Ethics,2022-12-31,Board of Ethics,45,,2,2023,45
12,1121902,0,2023,Target Budget,Full Year,Board of Ethics,2022-12-31,Board of Ethics,45,,2,2023,45
12,1121902,0,2023,Current Projection,Full Year,Board of Ethics,2022-12-31,Board of Ethics,45,,2,2023,45
14,1044789,1967,2020,Actual,Full Year,Board of Revision of Taxes,2020-06-30,Board of Revision of Taxes,63,BRT,2,2023,63
15,1002561,45,2021,Actual,Full Year,Board of Revision of Taxes,2021-06-30,Board of Revision of Taxes,63,BRT,2,2023,63
14,988226,1801,2022,Actual,Full Year,Board of Revision of Taxes,2022-06-30,Board of Revision of Taxes,63,BRT,2,2023,63
15,456650,100,2023,Target Budget,YTD,Board of Revision of Taxes,2022-12-31,Board of Revision of Taxes,63,BRT,2,2023,63
15,456650,55,2023,Actual,YTD,Board of Revision of Taxes,2022-12-31,Board of Revision of Taxes,63,BRT,2,2023,63
16,1057610,0,2023,Adopted Budget,Full Year,Board of Revision of Taxes,2022-12-31,Board of Revision of Taxes,63,BRT,2,2023,63
16,1057610,200,2023,Target Budget,Full Year,Board of Revision of Taxes,2022-12-31,Board of Revision of Taxes,63,BRT,2,2023,63
16,1057610,200,2023,Current Projection,Full Year,Board of Revision of Taxes,2022-12-31,Board of Revision of Taxes,63,BRT,2,2023,63
98,7075077,1592963,2020,Actual,Full Year,City Commissioners,2020-06-30,City Commissioner's Office,73,City Commissioners,2,2023,73
137,8293480,1531588,2021,Actual,Full Year,City Commissioners,2021-06-30,City Commissioner's Office,73,City Commissioners,2,2023,73
134,7768164,1230728,2022,Actual,Full Year,City Commissioners,2022-06-30,City Commissioner's Office,73,City Commissioners,2,2023,73
138,4403217,740277,2023,Target Budget,YTD,City Commissioners,2022-12-31,City Commissioner's Office,73,City Commissioners,2,2023,73
138,4403217,783914,2023,Actual,YTD,City Commissioners,2022-12-31,City Commissioner's Office,73,City Commissioners,2,2023,73
187,10927174,1480553,2023,Adopted Budget,Full Year,City Commissioners,2022-12-31,City Commissioner's Office,73,City Commissioners,2,2023,73
187,12898896,1480553,2023,Target Budget,Full Year,City Commissioners,2022-12-31,City Commissioner's Office,73,City Commissioners,2,2023,73
187,12898896,1480553,2023,Current Projection,Full Year,City Commissioners,2022-12-31,City Commissioner's Office,73,City Commissioners,2,2023,73
180,14433197,0,2020,Actual,Full Year,City Council,2020-06-30,City Council,01,,2,2023,01
182,14051449,245,2021,Actual,Full Year,City Council,2021-06-30,City Council,01,,2,2023,01
175,14383873,0,2022,Actual,Full Year,City Council,2022-06-30,City Council,01,,2,2023,01
183,6795505,0,2023,Target Budget,YTD,City Council,2022-12-31,City Council,01,,2,2023,01
183,6795505,0,2023,Actual,YTD,City Council,2022-12-31,City Council,01,,2,2023,01
185,16325560,0,2023,Adopted Budget,Full Year,City Council,2022-12-31,City Council,01,,2,2023,01
185,16325560,0,2023,Target Budget,Full Year,City Council,2022-12-31,City Council,01,,2,2023,01
185,16325560,0,2023,Current Projection,Full Year,City Council,2022-12-31,City Council,01,,2,2023,01
5,683372,0,2020,Actual,Full Year,City Representative,2020-06-30,Office of the City Representative,41,City Rep,2,2023,41
0,0,0,2021,Actual,Full Year,City Representative,2021-06-30,Office of the City Representative,41,City Rep,2,2023,41
0,0,0,2022,Actual,Full Year,City Representative,2022-06-30,Office of the City Representative,41,City Rep,2,2023,41
0,0,0,2023,Target Budget,YTD,City Representative,2022-12-31,Office of the City Representative,41,City Rep,2,2023,41
0,0,0,2023,Actual,YTD,City Representative,2022-12-31,Office of the City Representative,41,City Rep,2,2023,41
