0,1,2,3,4,5,6,7,8
,,,,,,FISCAL YEAR,2013,
,,,,,,FULL YEAR,,
Department/Category,FY 10 Year End,FY 11 Year End,FY 12 Year End,Adopted,Current Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Commerce,,,,,,,,
Full-Time Positions,24,23,18,24,25,20,4,5
Class 100 Total Oblig./Approp.,"1,431,917","1,595,054","1,594,665","1,821,678","1,816,142","1,816,142","5,536",0
Class 100 Overtime Oblig./Approp.,0,"1,066",132,0,449,449,(449),0
District Attorney,,,,,,,,
Full-Time Positions,410,410,414,411,411,419,(8),(8)
Class 100 Total Oblig./Approp.,"29,075,731","28,386,002","28,495,977","28,907,203","29,341,918","29,341,918","(434,715)",0
Class 100 Overtime Oblig./Approp.,"153,796","208,293","278,995","207,436","177,114","227,760","(20,324)","(50,646)"
Fairmount Park,,,,,,,,
Full-Time Positions,155,0,0,o,0,0,0,0
Class 100 Total Oblig./Approp.,"8,675,357",0,0,0,0,o,0,o
Class 100 Overtime Oblig./Approp.,"1,741,485",0,0,0,0,0,0,0
Finance,,,,,,,,
Full-Time Positions,141,140,156,156,167,163,(7),4
Class 100 Total Oblig./Approp.,"9,559,489","8,827,172","8,807,264","7,888,400","8,102,962","8,102,962","(214,562)",0
Class 100 Overtime Oblig./Approp.,"6,222","8,375","14,580","10,000","10,000","27,925","(17,925)","(17,925)"
Fire,,,,,,,,
Full-Time Positions,"2,187","2,146","2,072","2,327","2,253","2,125",202,128
Class 100 Total Oblig./Approp.,"169,463,842","174,356,738","173,513,212","170,191,934","178,234,840","179,834,840","(9,642,906)","(1,600,000)"
Class 100 Overtime Oblig./Approp.,"19,490,200","27,080,170","28,017,048","18,417,823","30,482,986","33,734,940","(15,317,117)","(3,251,954)"
