0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2021 YEAR TO DATE,,,,FY 2021 FULL YEAR,,
Department/Category,FY 18 Year End,FY 19 Year End,FY 20,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Office of Arts and Culture,,,,,,,,,,,
Full-Time Positions,5,7,2,0,0,0,0,0,0,0,0
Class 100 Total Oblig./Approp.,"274,563","453,399","544,982",0,0,0,0,0,0,0,0
Class 100 Overtime Oblig./Approp.,0,40,150,0,0,0,0,0,0,0,0
Office of Behavioral Health and Intellectual disAbility,,,,,,,,,,,
Full-Time Positions,16,16,24,24,24,0,24,24,24,0,0
Class 100 Total Oblig./Approp.,"1,558,164","1,580,748","1,550,431","1,103,116","1,103,116",0,"1,546,510","1,546,510","1,546,510",0,0
Class 100 Overtime Oblig./Approp.,"6,737","6,906","6,636","4,875","4,454",421,"6,500","6,500","6,500",0,0
Office of the Chief Administrative Officer,,,,,,,,,,,
Full-Time Positions,58,56,64,57,57,0,68,68,68,0,0
Class 100 Total Oblig./Approp.,"4,045,694","3,831,785","4,435,378","2,911,021","2,911,021",0,"4,256,565","4,256,565","4,256,565",0,0
Class 100 Overtime Oblig./Approp.,"54,046","21,904","2,621","6,149",427,"5,722","15,429","8,198","1,198","14,231","7,000"
Office of Children and Families,,,,,,,,,,,
Full-Time Positions,33,32,40,3,3,0,3,3,3,0,0
Class 100 Total Oblig./Approp.,"2,215,607","2,318,022","2,789,271","301,236","301,236",0,"418,820","418,820","418,820",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Office of Homeless Services,,,,,,,,,,,
Full-Time Positions,150,151,151,129,129,0,143,143,143,0,0
Class 100 Total Oblig./Approp.,"8,685,048","9,056,465","9,589,667","5,770,214","5,770,214",0,"8,068,689","7,618,135","7,618,135","450,554",0
Class 100 Overtime Oblig./Approp.,"145,390","201,728","332,810","212,847","224,949","(12,102)","238,796","283,796","298,796","(60,000)","(15,000)"
Office of Human Resources,,,,,,,,,,,
Full-Time Positions,78,77,79,74,74,0,75,75,75,0,0
Class 100 Total Oblig./Approp.,"4,766,878","4,913,051","5,185,267","3,523,129","3,523,129",0,"5,290,733","5,290,733","5,290,733",0,0
Class 100 Overtime Oblig./Approp.,"44,902","45,485","63,347","38,679","57,473","(18,794)",0,"51,572","81,572","(81,572)","(30,000)"
