0,1,2,3,4,5,6,7,8
,,,,,,FISCAL YEAR FULL YEAR,2011,
Department/ Category,FY 08 Year End Actual,FY 09 Year End Actual,FY 10 Year End Actual,Adopted Budget,Original Target Budget,Year End Departmental Projection,Departmental (Over) Under Adopted Budget,Projection Target Budget
Historical Commission,,,,,,,,
Full-Time Positions,6,6,6,6,6,6,0,0
Class 100 Total Oblig./Approp.,"336,836","360,867","360,053","385,995","385,995","385,995",0,0
Class 100 Overtime Oblig./Approp.,182,0,o,0,0,0,o,0
Human Relations Commission,,,,,,,,
Full-Time Positions,34,34,33,33,31,30,3,1
Class 100 Total Oblig./Approp.,"2,070,825","2,020,865","1,947,511","2,017,263","1,936,572","1,936,572","80,691",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Human Services,,,,,,,,
Full-Time Positions,"1,784","1,741","1,751","1,828","1,780","1,668",160,112
Class 100 Total Oblig./Approp.,"96,250,356","98,395,991","94,110,384","95,737,121","95,737,121","95,737,121",0,0
Class 100 Overtime Oblig./Approp.,"11,383,838","8,573,925","7,137,162","7,656,435","9,387,647","8,687,587","(1,031,152)","700,060"
Administration & Management,,,,,,,,
Full-Time Positions,232,230,221,228,228,226,2,2
Class 100 Total Oblig./Approp.,"10,020,949","10,711,574","11,388,487","10,430,783","10,830,783","10,830,783","(400,000)",o
Class 100 Overtime Oblig./Approp.,"739,061","261,148","394,805","279,146","310,620","415,314","(136,168)","(104,694)"
Performance Mgmt. & Accountability,,,,,,,,
Full-Time Positions,51,52,95,95,96,91,4,5
Class 100 Total Oblig./Approp.,"3,003,740","3,017,163","5,128,111","5,353,214","5,353,214","5,353,214",o,o
Class 100 Overtime Oblig./Approp.,"113,118","48,676","105,715","118,580","118,580","88,151","30,429","30,429"
Juvenile Justice Services,,,,,,,,
Full-Time Positions,305,310,303,334,299,289,45,10
Class 100 Total Oblig./Approp.,"18,534,592","17,908,528","15,941,108","17,740,810","17,740,810","17,740,810",o,o
Class 100 Overtime Oblig./Approp.,"4,829,326","4,265,486","2,834,994","4,252,499","4,252,499","3,294,570","957,929","957,929"
Children & Youth,,,,,,,,
Full-Time Positions,"1,108","1,070","1,056","1,090","1,077",988,102,89
Class 100 Total Oblig./Approp.,"59,245,749","60,311,640","56,241,981","56,790,423","56,390,423","56,390,423","400,000",o
Class 100 Overtime Oblig./Approp.,"5,288,405","3,710,311","3,617,981","2,860,770","4,584,610","4,741,853","(1,881,083)","(157,243)"
