0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,FISCAL,YEAR 2009,,,
,,,,,YEAR TO DATE,,,,FULL YEAR,,
Department/ Category,FY 06 Year End Actual,FY 07 Year End Actual,FY 08 Year End Actual,Target Budget Plan,Actual,Actual (Over) Under Target Budgt.,Adopted Budget,Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
Register of Wills,,,,,,,,,,,
Full-Time Positions,65,69,68,70,65,5,70,70,65,5,5
Class 100 Total Oblig./Approp.,"3,037,732","3,315,520","3,418,493","3,473,392","3,473,392",0,"3,656,202","3,473,392","3,473,392","182,810",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,o,0,o,0,0
Revenue,,,,,,,,,,,
Full-Time Positions,247,237,252,277,256,21,271,277,256,15,21
Class 100 Total Oblig./Approp.,"12,037,221","12,073,257","11,906,910","12,662,607","12,662,607",o,"12,826,474","12,662,607","12,662,607","163,867",0
Class 100 Overtime Oblig./Approp.,"723,338","830,402","737,688","439,783","472,850","(33,067)","790,014","439,783","472,850","317,164","(33,067)"
Sheriff,,,,,,,,,,,
Full-Time Positions,243,241,238,263,238,25,263,263,238,25,25
Class 100 Total Oblig./Approp.,"12,935,460","13,856,672","14,387,582","14,425,966","14,425,966",0,"14,435,648","14,425,966","14,425,966","9,682",0
Class 100 Overtime Oblig./Approp.,"2,584,300","2,938,803","3,190,678","2,544,498","3,344,634","(800,136)","2,850,000","2,544,498","3,344,634","(494,634)","(800,136)"
Streets,,,,,,,,,,,
Full-Time Positions,586,592,591,617,536,81,625,617,536,89,81
Class 100 Total Oblig./Approp.,"17,443,518","20,364,041","20,463,560","25,530,131","25,530,131",o,"25,165,331","25,530,131","25,530,131","(364,800)",o
Class 100 Overtime Oblig./Approp.,"2,322,264","1,413,275","2,583,126","2,185,000","2,788,246","(603,246)","2,185,000","2,185,000","2,788,246","(603,246)","(603,246)"
Engineering Design & Surveying,,,,,,,,,,,
Full-Time Positions,93,95,94,102,88,14,103,102,88,15,14
Class 100 Total Oblig./Approp.,"5,239,655","5,351,637","5,297,857","5,664,749","5,664,749",o,"5,580,489","5,664,749","5,664,749","(84,260)",o
Class 100 Overtime Oblig./Approp.,"398,341","321,379","290,806","300,000","185,969","114,031","300,000","300,000","185,969","114,031","114,031"
Highways,,,,,,,,,,,
Full-Time Positions,314,304,311,320,274,46,320,320,274,46,46
Class 100 Total Oblig./Approp.,"5,284,616","7,652,469","7,322,759","11,366,806","11,366,806",o,"11,070,446","11,366,806","11,366,806","(296,360)",o
Class 100 Overtime Oblig./Approp. (See footnote above),"1,450,028",728.224,"1,728,904","1,500,000","2,066,141","(566,141)","1,500,000","1,500,000","2,066,141","(566,141)","(566,141)"
