0,1,2,3,4,5,6,7,8
,,,,,,FISCAL YEAR,2013,
,,,,,,FULL YEAR,,
Department/ Category,FY 10 Year End,FY 11 Year End,FY 12 Year End,Adopted,Current Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Administration & Management,,,,,,,,
Full-Time Positions,221,226,117,117,93,84,33,9
Class 100 Total Oblig./Approp.,"11,388,487","10,607,301","3,805,987","6,345,683","4,416,038","4,416,038","1,929,645",o
Class 100 Overtime Oblig./Approp.,"394,805","415,314","47,583","337,027","268,228","245,601","91,426","22,626"
Performance Mgmt. & Accountability,,,,,,,,
Full-Time Positions,95,91,30,30,21,20,10,1
Class 100 Total Oblig./Approp.,"5,128,111","5,451,406","1,179,296","881,796","1,347,614","1,347,614","(465,818)",o
Class 100 Overtime Oblig./Approp.,"105,715","88,151","5,952","12,634","10,338","10,955","1,679",(617)
Juvenile Justice Services,,,,,,,,
Full-Time Positions,303,289,151,151,163,135,16,28
Class 100 Total Oblig./Approp.,"15,941,108","15,952,651","6,894,412","6,259,260","7,468,844","7,468,844","(1,209,584)",o
Class 100 Overtime Oblig./Approp.,"2,834,994","3,294,570","359,641","3,161,958","1,491,747","1,610,125","1,551,833","(118,377)"
Children & Youth,,,,,,,,
Full-Time Positions,"1,056",988,469,469,125,110,359,15
Class 100 Total Oblig./Approp.,"56,241,981","55,556,408","10,339,090","23,738,135","6,866,094","6,866,094","16,872,041",o
Class 100 Overtime Oblig./Approp.,"3,617,981","4,741,853","108,429","429,045","627,744","619,986","(190,941)","7,758"
Community Based Prevention Services,,,,,,,,
Full-Time Positions,76,74,37,37,o,o,37,o
Class 100 Total Oblig./Approp.,"5,410,697","5,413,375","1,018,311","3,267,670",o,o,"3,267,670",o
Class 100 Overtime Oblig./Approp.,"183,667","147,699","15,139","69,680",o,o,"69,680",o
