0,1,2,3,4,5,6,7,8
,,,,,,FISCAL YEAR,2011,
,,,,,,FULL YEAR,,
Department / Category,FY 08 Year End,FY 09 Year End,FY 10 Year End,Adopted,Original Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Infectious Disease Control,,,,,,,,
Full-Time Positions,53,48,46,57,57,46,11,11
Class 100 Total Oblig./Approp.,"2,865,722","2,642,223","2,391,827","2,950,411","2,950,411","2,950,411",o,o
Class 100 Overtime Oblig./Approp,"269,606","140,192","104,366","147,855","147,855","127,489","20,366","20,366"
Public Property,,,,,,,,
Full-Time Positions,165,135,123,136,136,126,10,10
Class 100 Total Oblig./Approp.,"8,482,713","7,727,548","6,646,774","6,963,124","6,663,124","6,663,124","300,000",0
Class 100 Overtime Oblig./Approp.,"1,722,889","936,229","442,869","344,088","344,088","435,089","(91,001)","(91,001)"
Records,,,,,,,,
Full-Time Positions,70,64,59,63,63,61,2,2
Class 100 Total Oblig./Approp.,"3,584,663","3,154,827","2,685,140","2,845,219","2,845,219","2,710,219","135,000","135,000"
Class 100 Overtime Oblig./Approp.,"460,763","163,667","118,518","137,812","133,534","205,753","(67,941)","(72,219)"
Register of Wills,,,,,,,,
Full-Time Positions,68,65,63,64,64,63,1,1
Class 100 Total Oblig./Approp.,"3,418,493","3,503,057","3,112,064","3,290,582","3,290,582","3,290,582",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Revenue,,,,,,,,
Full-Time Positions,252,256,250,262,262,248,14,14
Class 100 Total Oblig./Approp.,"11,906,910","12,451,073","11,554,600","12,463,851","12,463,851","12,343,851","120,000","120,000"
Class 100 Overtime Oblig./Approp.,"737,688","472,850","230,593","469,700","409,558","178,103","291,597","231,455"
Sheriff,,,,,,,,
Full-Time Positions,238,238,230,245,245,221,24,24
Class 100 Total Oblig./Approp.,"14,387,582","14,794,796","14,537,592","12,322,083","12,322,083","13,322,083","(1,000,000)","(1,000,000)"
Class 100 Overtime Oblig./Approp,"3,190,678","3,344,634","3,289,703","1,752,587","1,752,587","2,396,278","(643,691)","(643,691)"
Streets,,,,,,,,
Full-Time Positions,591,536,523,555,555,510,45,45
Class 100 Total Oblig./Approp.,"20,463,560","25,605,972","22,394,204","21,113,190","21,113,190","22,413,190","(1,300,000)","(1,300,000)"
"Class 100 Overtime Oblig./Approp.","2,583,126","2,669,291","2,965,850","1,841,700","1,841,700","2,703,198","(861,498)","(861,498)"
