0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2022 YEAR TO DATE,,,,FY 2022 FULL YEAR,,
Department/Category,FY 19 Year End Actual,FY 20 Year End Actual,FY 21 Unaudited Actual,Target Budget Plan,Actual,Actual (Over) Under Target Budget,Adopted Budget,Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
Prisons,,,,,,,,,,,
Full-Time Positions,"2,130","1,975","1,620","1,484","1,484",0,"2,186","2,186","2,186",0,0
Class 100 Total Oblig./Approp.,"138,537,912","137,253,128","118,472,913","53,799,005","53,799,005",0,"132,739,167","132,739,167","133,890,594","(1,151,427)","(1,151,427)"
Class 100 Overtime Oblig./Approp.,"24,169,020","26,918,548","24,602,298","11,862,550","14,296,709","(2,434,159)","23,725,100","23,725,100","25,225,100","(1,500,000)","(1,500,000)"
Procurement,,,,,,,,,,,
Full-Time Positions,41,42,35,35,35,0,42,42,42,0,0
Class 100 Total Oblig./Approp.,"2,402,513","2,519,208","2,434,690","1,314,957","1,314,957",0,"2,648,235","2,648,235","2,777,733","(129,498)","(129,498)"
Class 100 Overtime Oblig./Approp.,"5,647","5,390","11,124","1,000","1,094",(94),0,"2,000","2,000","(2,000)",0
Public Health,,,,,,,,,,,
Full-Time Positions,752,739,716,713,713,0,822,822,822,0,0
Class 100 Total Oblig./Approp.,"57,173,653","60,130,461","58,289,725","30,324,872","30,324,872",0,"59,267,291","59,267,291","62,004,283","(2,736,992)","(2,736,992)"
Class 100 Overtime Oblig./Approp.,"2,346,586","2,602,722","2,319,808","1,252,772","1,232,828","19,944","2,505,544","2,505,544","2,505,544",0,0
Public Property,,,,,,,,,,,
Full-Time Positions,135,119,142,142,142,0,156,156,156,0,0
Class 100 Total Oblig./Approp.,"8,875,590","8,610,609","9,847,147","4,874,288","4,874,288",0,"10,098,527","10,098,527","10,548,425","(449,898)","(449,898)"
Class 100 Overtime Oblig./Approp.,"839,027","800,350","195,014","115,207","128,269","(13,062)","230,414","230,414","240,414","(10,000)","(10,000)"
Records,,,,,,,,,,,
Full-Time Positions,55,51,51,50,50,0,54,58,58,(4),0
Class 100 Total Oblig./Approp.,"2,983,490","2,995,101","2,823,021","1,551,298","1,551,298",0,"3,009,970","3,084,970","3,259,750","(249,780)","(174,780)"
Class 100 Overtime Oblig./Approp.,"63,145","55,381","65,664","86,828","114,634","(27,806)","37,456","173,656","233,656","(196,200)","(60,000)"
Register of Wills,,,,,,,,,,,
Full-Time Positions,70,66,70,68,68,0,71,71,71,0,0
Class 100 Total Oblig./Approp.,"4,262,942","4,523,524","4,174,663","1,966,625","1,966,625",0,"3,956,193","3,956,193","3,997,445","(41,252)","(41,252)"
Class 100 Overtime Oblig./Approp.,"1,488",399,231,0,0,0,0,0,0,0,0
Revenue,,,,,,,,,,,
Full-Time Positions,405,402,386,342,342,0,399,399,399,0,0
Class 100 Total Oblig./Approp.,"22,700,386","23,489,160","22,277,095","10,179,991","10,179,991",0,"20,380,548","20,305,967","21,518,547","(1,137,999)","(1,212,580)"
Class 100 Overtime Oblig./Approp.,"367,414","295,650","85,746","100,000","83,120","16,880","300,000","200,000","200,000","100,000",0
