0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2022 YEAR TO DATE,,,,FY 2022 FULL YEAR,,
Department / Category,FY 19 Year End Actual,FY 20 Year End Actual,FY 21 Unaudited Actual,Target Budget Plan,Actual,Actual (Over) Under Target Budget,Adopted Budget,Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
OIT-911,,,,,,,,,,,
Full-Time Positions,12,16,14,14,14,0,16,16,16,0,0
Class 100 Total Oblig./Approp.,"1,028,676","1,376,075","1,195,808","260,182","260,182",0,"1,341,547","1,341,547","1,341,547",0,0
Class 100 Overtime Oblig./Approp.,"35,437","37,930","35,660","15,851","8,043","7,808","63,404","63,404","63,404",0,0
Office of the Inspector General,,,,,,,,,,,
Full-Time Positions,18,16,18,17,17,0,19,19,19,0,0
Class 100 Total Oblig./Approp.,"1,415,627","1,397,115","1,283,300","308,706","308,706",0,"1,504,223","1,504,223","1,456,000","48,223","48,223"
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Office of Property Assessment,,,,,,,,,,,
Full-Time Positions,196,195,190,186,186,0,223,223,215,8,8
Class 100 Total Oblig./Approp.,"12,500,926","13,142,246","13,393,546","2,856,105","2,856,105",0,"14,395,213","14,395,213","13,999,213","396,000","396,000"
Class 100 Overtime Oblig./Approp.,"94,062","73,955","42,002","27,500","8,687","18,813","110,000","110,000","80,000","30,000","30,000"
Office of Sustainability,,,,,,,,,,,
Full-Time Positions,9,7,8,11,11,0,12,12,13,(1),(1)
Class 100 Total Oblig./Approp.,"548,133","566,858","484,422","183,223","183,223",0,"722,621","722,621","812,621","(90,000)","(90,000)"
Class 100 Overtime Oblig./Approp.,139,79,0,0,0,0,0,0,0,0,0
Parks and Recreation,,,,,,,,,,,
Full-Time Positions,647,647,644,626,626,0,763,763,763,0,0
Class 100 Total Oblig./Approp.,"48,579,951","50,465,519","42,876,919","13,884,829","13,884,829",0,"52,352,786","52,352,786","51,352,786","1,000,000","1,000,000"
Class 100 Overtime Oblig./Approp.,"3,538,131","3,182,453","2,083,704","779,168","1,293,235","(514,067)","3,116,670","3,116,670","3,116,670",0,0
Planning and Development,,,,,,,,,,,
Full-Time Positions,56,55,55,54,54,0,62,62,62,0,0
Class 100 Total Oblig./Approp.,"4,695,950","4,778,297","4,510,200","951,535","951,535",0,"4,873,604","4,873,604","4,873,604",0,0
Class 100 Overtime Oblig./Approp.,"14,817","13,575","9,507",0,"11,647","(11,647)",0,0,"19,482","(19,482)","(19,482)"
Police,,,,,,,,,,,
Full-Time Positions,"7,241","7,175","6,869","6,819","6,819",0,"7,304","7,304","7,304",0,0
Class 100 Total Oblig./Approp.,"685,445,815","736,072,678","708,324,818","150,303,055","150,303,055",0,"704,349,409","704.349,409","698,349,409","6,000,000","6,000,000"
Class 100 Overtime Oblig./Approp.* *Police OT is abated as reimbursements occur,"61,647,723","78,667,457","64,896,010","15,008,356","19,104,266","(4,095,910)","60,033,425","60,033,425","60,033,425",0,0
