0,1,2,3,4,5,6,7,8
,,,,,,FISCAL YEAR FULL YEAR,2011,
Department / Category,FY 08 Year End Actual,FY 09 Year End Actual,FY 10 Year End Actual,Adopted Budget,Original Target Budget,Year End Departmental Projection,Departmental (Over) Under Adopted Budget Target,Projection Budget
Mayor's Office of Community Services,,,,,,,,
Full-Time Positions,22,87,0,0,o,0,0,0
Class 100 Total Oblig./Approp.,"3,540,164",o,0,0,o,0,0,0
Class 100 Overtime Oblig./Approp.,"216,946",0,0,0,0,0,0,0
Mayor - Office of the Inspector General,,,,,,,,
Full-Time Positions,0,0,15,19,18,16,3,2
Class 100 Total Oblig./Approp.,0,0,"1,064,724","1,289,677","1,198,201","1,138,201","151,476","60,000"
Class 100 Overtime Oblig./Approp.,0,o,0,0,0,0,0,0
Mayor's Office of Transportation,,,,,,,,
Full-Time Positions,0,8,8,8,8,8,0,0
Class 100 Total Oblig./Approp.,0,"410,517","482,014","500,000","480,000","480,000","20,000",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,o,0,o,0
Mural Arts Program,,,,,,,,
Full-Time Positions,12,12,12,12,12,12,0,0
Class 100 Total Oblig./Approp.,"472,382","427,864","460,634","475,000","456,000","446,000","29,000","10,000"
Class 100 Overtime Oblig./Appro,"1,462","1,866",0,"3,913",o,"1,766","2,147","(1,766)"
Office of Behavioral Health/Mental Retardation Services,,,,,,,,
Full-Time Positions,28,26,22,24,22,21,3,1
Class 100 Total Oblig./Approp.,"2,018,861","2,142,857","1,563,276","1,549,549","1,549,549","1,478,243","71,306","71,306"
Class 100 Overtime Oblig./Approp.,"22,633","21,486","16,783","18,667","9,342","10,302","8,365",(960)
Office of Human Resources,,,,,,,,
Full-Time Positions,68,64,53,79,78,73,6,5
Class 100 Total Oblig./Approp.,"3,939,679","3,507,656","3,313,279","4,396,755","4,341,325","4,341,325","55,430",0
Class 100 Overtime Oblig./Approp.,"139,657","23,516","30,611","30,000","30,000","45,173","(15,173)","(15,173)"
