0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,FISCAL,YEAR 2008,,,
,,,,,YEAR TO DATE,,,,FULL YEAR,,
Department/Category,FY 05 Year End Actual,FY 06 Year End Actual,FY 07 Year End Actual,Target Budget Plan,Actual,Actual (Over) Under Target Budgt.,Adopted Budget,Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
"Capital Program Office, Mayor -",,,,,,,,,,,
Full-Time Positions,13,14,14,24,21,3,24,24,21,3,3
Class 100 Total Oblig./Approp.,"891,231","713,697","753,799","1,599,997","1,599,997",0,"1,599,997","1,599,997","1,599,997",0,0
Class 100 Overtime Oblig./Approp.,"9,680","14,344","12,131","34,000","23,425","10,575","34,000","34,000","23,425","10,575","10,575"
City Commissioners,,,,,,,,,,,
Full-Time Positions,90,93,90,88,91,(3),88,88,91,(3),(3)
Class 100 Total Oblig./Approp.,"4,702,564","4,503,445","4,858,835","5,645,789","5,644,721","1,068","5,345,789","5,645,789","5,645,789","(300,000)",0
Class 100 Overtime Oblig./Approp.,"1,066,300","934,049","1,062,483","890,423","1,138,960","(248,537)","890,423","890,423","1,138,960","(248,537)","(248,537)"
City Council,,,,,,,,,,,
Full-Time Positions,195,180,187,195,192,3,195,195,192,3,3
Class 100 Total Oblig./Approp.,"10,893,841","10,676,871","10,591,117","12,003,567","12,003,567",0,"12.003,567","12,003,567","12,003,567",0,0
Class 100 Overtime Oblig./Approp.,0,"32,732",0,0,o,0,0,0,0,0,0
City Planning Commission,,,,,,,,,,,
Full-Time Positions,49,45,44,49,44,5,49,49,44,5,5
Class 100 Total Oblig./Approp.,"3,189,139","2,970,994","3,042,704","3,152,503","3,152,503",0,"3,188,645","3,152,503","3,152,503","36,142",0
Class 100 Overtime Oblig./Approp.,0,12,85,0,0,0,0,0,0,0,0
City Rep. /Commerce,,,,,,,,,,,
Full-Time Positions,17,12,12,14,13,1,16,16,13,3,3
Class 100 Total Oblig./Approp.,"1,247,251","1,103,496","1,165,372","1,517,912","1,517,912",0,"1,517,912","1,517,912","1,517,912",0,0
Class 100 Overtime Oblig./Approp.,"17,948","14,358","18,982","11,000","17,186","(6,186)","11,000","11,000","17,186","(6,186)","(6,186)"
City Treasurer,,,,,,,,,,,
Full-Time Positions,10,11,11,13,11,2,13,13,11,2,2
Class 100 Total Oblig./Approp.,"503,135","603,563","555,419","672,992","608,813","64,179","672,992","672,992","672,992",0,0
Class 100 Overtime Oblig./Approp.,0,0,22,0,"8,215","(8,215)",0,0,"8,215","(8,215)","(8,215)"
Civil Service Commission,,,,,,,,,,,
Full-Time Positions,2,2,2,2,2,o,2,2,2,0,0
Class 100 Total Oblig./Approp.,"116,762","128,924","119,559","142,647","122,147","20,500","142,647","142,647","142,647",0,0
Class 100 Overtime Oblig./Approp.,718,"1,105",345,0,0,0,0,0,0,0,0
