0,1,2,3,4,5,6,7,8
,,,,,,FULL YEAR,,
Department/ Category,FY 12 Year End,FY 13 Year End,FY 14 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Civil Service Commission,,,,,,,,
Full-Time Positions,2,2,2,2,2,2,0,0
Class 100 Total Oblig./Approp.,"136,782","140,785","146,586","143,541","147,633","147,633","(4,092)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,15,(15),(15)
Commerce,,,,,,,,
Full-Time Positions,18,20,27,27,27,21,6,6
Class 100 Total Oblig./Approp.,"1,594,665","1,685,843","1,837,393","1,889,967","1,925,825","1,925,825","(35,858)",0
Class 100 Overtime Oblig./Approp.,132,449,"1,850",0,530,"2,628","(2,628)","(2,098)"
District Attorney,,,,,,,,
Full-Time Positions,414,419,464,463,478,476,(13),2
Class 100 Total Oblig./Approp.,"28,495,977","29,302,614","30,244,298","31,762,490","32,802,968","32,802,968","(1,040,478)",0
Class 100 Overtime Oblig./Approp.,"278,995","227,760","165,523","207,436","207,436","211,533","(4,097)","(4,097)"
Finance,,,,,,,,
Full-Time Positions,156,163,170,177,179,160,17,19
Class 100 Total Oblig./Approp.,"8,807,264","9,084,799","9,839,565","8,936,046","8,982,153","8,482,153","453,893","500,000"
Class 100 Overtime Oblig./Approp.,"14,580","25,428","38,057","34,586","34,586","35,786","(1,200)","(1,200)"
Fire,,,,,,,,
Full-Time Positions,"2,072","2,125","2,053","2,203","2,203","2,150",53,53
Class 100 Total Oblig./Approp.,"173,513,212","179,819,281","223,368,941","182,883,661","203,248,739","206,148,739","(23,265,078)","(2,900,000)"
Class 100 Overtime Oblig./Approp.,"28,017,048","33,691,349","37,823,121","25,856,345","33,039,431","36,119,937","(10,263,592)","(3,080,506)"
First Judicial District,,,,,,,,
Full-Time Positions,"1,957","1,909","1,866","1,885","1,885","1,842",43,43
Class 100 Total Oblig./Approp.,"89,990,406","91,827,883","90,888,686","93,202,681","96,411,285","96,411,285","(3,208,604)",0
Class 100 Overtime Oblig./Approp.,"113,616","113,887","100,029","100,000","100,000","99,940",60,60
Common Pleas Court,,,,,,,,
Full-Time Positions,"1,434","1,405","1,372","1,391","1,391","1,365",26,26
Class 100 Total Oblig./Approp.,"64,631,386","66,221,253","65,288,770","66,920,706","68,720,706","68,720,706","(1,800,000)",0
Class 100 Overtime Oblig./Approp.,"107,518","106,451","96,957","93,000","93,000","92,809",191,191
Court Administrator,,,,,,,,
Full-Time Positions,232,217,208,208,208,198,10,10
Class 100 Total Oblig./Approp.,"12,668,917","12,766,093","10,802,579","5,799,435","13,827,975","13,827,975","(8,028,540)",0
Class 100 Overtime Oblig./Approp.,"3,623","7,009","1,252","5,000","5,000","7,131","(2,131)","(2,131)"
Municipal Court,,,,,,,,
Full-Time Positions,177,175,173,173,173,168,5,5
Class 100 Total Oblig./Approp.,"8,050,590","8,305,442","8,570,933","8,557,472","8,807,472","8,807,472","(250,000)",0
Class 100 Overtime Oblig./Approp.,"2,475",427,"1,820","2,000","2,000",0,"2,000","2,000"
