0,1,2,3,4,5,6,7,8
,,,,,,FISCAL YEAR,2013,
,,,,,,FULL YEAR,,
Department/Category,FY 10 Year End,FY 11 Year End,FY 12 Year End,Adopted,Current Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Atwater Kent Museum,,,,,,,,
Full-Time Positions,4,4,4,4,4,4,o,o
Class 100 Total Oblig./Approp.,"248,059","182,101","215,694","218,630","220,163","220,163","(1,533)",0
Class 100 Overtime Oblig./Approp.,82,874,0,"3,185","1,957","1,937","1,248",20
Auditing,,,,,,,,
Full-Time Positions,120,113,111,124,124,118,6,6
Class 100 Total Oblig./Approp.,"6,886,798","6,725,248","6,600,290","6,927,481","7,143,036","6,643,036","284,445","500,000"
Class 100 Overtime Oblig./Approp.,"43,683","36,360","58,522",0,"1,576","58,829","(58,829)","(57,253)"
Board of Building Standards,,,,,,,,
Full-Time Positions,1,1,1,1,1,1,0,0
Class 100 Total Oblig./Approp.,"61,224","61,104","57,935","70,169","70,941","70,941",(772),0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Board of Ethics,,,,,,,,
Full-Time Positions,7,8,8,11,11,8,3,3
Class 100 Total Oblig./Approp.,"679,563","642,747","657,532","788,000","798,942","798,942","(10,942)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Board of L & I Review,,,,,,,,
Full-Time Positions,2,2,2,2,2,1,1,1
Class 100 Total Oblig./Approp.,"120,849","126,917","117,161","140,645","148,860","148,860","(8,215)",0
Class 100 Overtime Oblig./Approp.,0,952,0,0,33,33,(33),0
