0,1,2,3,4,5,6,7,8
,,,,,,FISCAL YEAR,2012,
,,,,,,FULL YEAR,,
Department/Category,FY 09 Year End,FY 10 Year End,FY 11 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Public Health,,,,,,,,
Full-Time Positions,675,662,661,731,731,669,62,62
Class 100 Total Oblig./Approp.,"42,857,364","41,387,238","37,686,893","39,388,530","39,388,530","39,388,530",0,0
Class 100 Overtime Oblig./Approp.,"2,250,015","2,157,750","2,347,054","1,954,473","1,889,473","2,356,729","(402,256)","(467,256)"
Ambulatory Health Services,,,,,,,,
Full-Time Positions,376,359,361,391,392,356,35,36
Class 100 Total Oblig./Approp.,"24,099,371","24,007,171","20,853,594","20,447,781","20,545,401","20,545,401","(97,620)",o
Class 100 Overtime Oblig./Approp.,"932,256","928,627","1,052,893","848,816","848,816","1,019,271","(170,455)","(170,455)"
"Early Childhood, Youth & Women's Hlth.",,,,,,,,
Full-Time Positions,20,16,13,20,20,11,9,9
Class 100 Total Oblig. ./Approp.,"1,140,196","837,996","862,824","1,050,029","1,050,029","1,050,029",0,0
Class 100 Overtime Oblig./Approp.,"31,259","47,509","39,058","90,684","48,684","32,460","58,224","16,224"
Phila. Nursing Home,,,,,,,,
Full-Time Positions,1,1,1,1,1,1,0,0
Class 100 Total Oblig./Approp.,"157,349","162,789","94,375","188,594","188,594","188,594",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Environmental Protection Services,,,,,,,,
Full-Time Positions,88,95,105,113,112,101,12,11
Class 100 Total Oblig./Approp.,"5,482,947","5,014,494","5,484,639","5,820,192","5,769,192","5,769,192","51,000",0
Class 100 Overtime Oblig./Approp.,"296,037","345,036","407,660","213,063","198,063","360,136","(147,073)","(162,073)"
