0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,FISCAL,YEAR 2008,,,
,,,,,YEAR TO DATE,,,,FULL YEAR,,
Department/Category,FY 05 Year End Actual,FY 06 Year End Actual,FY 07 Year End Actual,Target Budget Plan,Actual,Actual (Over) Under Target Budgt.,Adopted Budget,Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
"Information Services, Mayor's Office of",,,,,,,,,,,
Full-Time Positions,98,96,112,153,141,12,153,153,141,12,12
Class 100 Total Oblig./Approp.,"6,305,036","6,140,711","6,699,907","8,852,172","8,859,707","(7,535)","9,541,592","8,852,172","8,852,172","689,420",o
Class 100 Overtime Oblig./Approp.,"13,289","23,807","26,852","117,000","268,625","(151,625)","117,000","117,000","268,625","(151,625)","(151,625)"
"Labor Relations, Mayor's Office of",,,,,,,,,,,
Full-Time Positions,7,7,7,7,7,0,7,7,7,0,0
Class 100 Total Oblig./Approp.,"450,680","567,778","495,014","511,436","511,436",0,"511,436","511,436","511,436",0,0
Class 100 Overtime Oblig./Approp.,"1,981",495,"7,020","11,308","6,146","5,162",0,"11,308","6,146","(6,146)","5,162"
Law,,,,,,,,,,,
Full-Time Positions,177,175,193,216,192,24,182,216,192,(10),24
Class 100 Total Oblig./Approp.,"9,434,053","9,455,099","10,091,089","10,561,771","10,561,771",0,"9,465,522","10,561,771","10,561,771","(1,096,249)",0
Class 100 Overtime Oblig./Approp.,"7,203","4,474","9,360","20,000","14,136","5,864","6,000","20,000","14,136","(8,136)","5,864"
Licenses & Inspections,,,,,,,,,,,
Full-Time Positions,364,355,351,361,356,5,386,361,356,30,5
Class 100 Total Oblig./Approp.,"16,396,204","16,439,330","16,511,531","17,204,314","17,204,314",0,"17,637,314","17,204,314","17,204,314","433,000",0
Class 100 Overtime Oblig./Approp.,"625,704","729,822","767,225","1,079,872","1,164,539","(84,667)","980,881","1,079,872","1,164,539","(183,658)","(84,667)"
Managing Director,,,,,,,,,,,
Full-Time Positions,79,87,102,88,95,(7),88,88,95,(7),(7)
Class 100 Total Oblig./Approp.,"7,628,825","7,057,558","8,117,286","7,483,029","8,034,882","(551,853)","9,426,717","7,483,029","8,034,882","1,391,835","(551,853)"
Class 100 Overtime Oblig./Approp.,"385,158","445,965","473,765","105,750","91,631","14,119","423,000","105,750","91,631","331,369","14,119"
Mayor,,,,,,,,,,,
Full-Time Positions,40,55,56,53,72,(19),62,62,72,(10),(10)
Class 100 Total Oblig./Approp.,"3,028,861","3,784,126","4,277,032","4,742,305","4,742,305",o,"4,242,305","4,742,305","4,742,305","(500,000)",0
Class 100 Overtime Oblig./Approp.,0,"2,678","5,639",0,"1,731","(1,731)",0,0,"1,731","(1,731)","(1,731)"
Mayor's Office of Community Services,,,,,,,,,,,
Full-Time Positions,17,21,0,22,22,0,0,22,22,(22),0
Class 100 Total Oblig./Approp.,"599,181","3,068",0,"2,738,000","2,738,000",0,0,"2,738,000","2,738,000","(2,738,000)",0
Class 100 Overtime Oblig./Approp.,0,0,0,"317,250","216,946","100,304",0,"317,250","216,946","(216,946)","100,304"
