0,1,2,3,4,5,6,7,8
,,,,,,FY 2021 FULL YEAR,,
Department/Category,FY 18 Year End,FY 19 Year End,FY 20,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Office of the Chief Administrative Officer,,,,,,,,
Full-Time Positions,58,56,64,68,68,59,9,9
Class 100 Total Oblig./Approp.,"4,045,694","3,831,785","4,435,378","4,256,565","4,256,565","4,256,565",0,0
Class 100 Overtime Oblig./Approp.,"54,046","21,904","2,621","15,429","1,198",500,"14,929",698
Office of Children and Families,,,,,,,,
Full-Time Positions,33,32,40,3,3,3,0,0
Class 100 Total Oblig./Approp.,"2,215,607","2,318,022","2,789,271","418,820","418,820","418,820",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Office of Homeless Services,,,,,,,,
Full-Time Positions,150,151,151,143,143,127,16,16
Class 100 Total Oblig./Approp.,"8,685,048","9,056,465","9,589,667","8,068,689","7,618,135","7,618,135","450,554",0
Class 100 Overtime Oblig./Approp.,"145,390","201,728","332,810","238,796","298,796","316,000","(77,204)","(17,204)"
Office of Human Resources,,,,,,,,
Full-Time Positions,78,77,79,75,75,75,0,0
Class 100 Total Oblig./Approp.,"4,766,878","4,913,051","5,185,267","5,290,733","5,290,733","5,090,733","200,000","200,000"
Class 100 Overtime Oblig./Approp.,"44,902","45,485","63,347",0,"81,572","81,100","(81,100)",472
Office of Innovation and Technology,,,,,,,,
Full-Time Positions,284,277,317,358,360,313,45,47
Class 100 Total Oblig./Approp.,"20,852,810","20,875,286","24,148,702","24,163,694","24,828,634","24,828,634","(664,940)",0
Class 100 Overtime Oblig./Approp.,"561,859","489,644","486,875","546,520","317,770","351,000","195,520","(33,230)"
OIT-Base,,,,,,,,
Full-Time Positions,282,265,301,342,344,299,43,45
Class 100 Total Oblig./Approp.,"19,828,255","19,846,610","22,772,627","22,822,147","23,487,087","23,487,087","(664,940)",0
Class 100 Overtime Oblig./Approp.,"485,509","454,207","448,945","498,011","285,261","315,000","183,011","(29,739)"
OIT-911,,,,,,,,
Full-Time Positions,2,12,16,16,16,14,2,2
Class 100 Total Oblig./Approp.,"1,024,555","1,028,676","1,376,075","1,341,547","1,341,547","1,341,547",0,0
Class 100 Overtime Oblig./Approp.,"76,350","35,437","37,930","48,509","32,509","36,000","12,509","(3,491)"
Office of the Inspector General,,,,,,,,
Full-Time Positions,19,18,16,19,19,18,1,1
Class 100 Total Oblig./Approp.,"1,409,169","1,415,627","1,397,115","1,472,481","1,472,481","1,472,481",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Office of Property Assessment,,,,,,,,
Full-Time Positions,193,196,195,220,230,190,30,40
Class 100 Total Oblig./Approp.,"11,852,174","12,500,926","13,142,246","12,918,061","13,428,399","13,428,399","(510,338)",0
Class 100 Overtime Oblig./Approp.,"29,688","94,062","73,955","50,000","42,812","42,100","7,900",712
Office of Sustainability,,,,,,,,
Full-Time Positions,9,9,7,12,14,8,4,6
Class 100 Total Oblig./Approp.,"498,576","548,133","566,858","603,814","679,853","679,853","(76,039)",0
Class 100 Overtime Oblig./Approp.,495,139,79,0,200,200,(200),0
