0,1,2,3,4,5,6,7,8
,,,,,,FY 2021 FULL YEAR,,
Department/ Category,FY 18 Year End,FY 19 Year End,FY 20,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Atwater Kent Museum,,,,,,,,
Full-Time Positions,4,0,0,0,0,0,0,0
Class 100 Total Oblig./Approp.,"256,771",0,0,0,0,0,0,0
Class 100 Overtime Oblig./Approp.,"2,413",0,0,0,0,0,0,0
Auditing,,,,,,,,
Full-Time Positions,116,124,121,135,135,118,17,17
Class 100 Total Oblig./Approp.,"8,324,348","8,650,965","9,466,389","9,045,839","9,045,839","9,045,839",0,0
Class 100 Overtime Oblig./Approp.,"88,050","73,243","60,388","80,000","80,000","40,000","40,000","40,000"
Board of Ethics,,,,,,,,
Full-Time Positions,10,10,7,10,10,9,1,1
Class 100 Total Oblig./Approp.,"942,040","875,033","922,164","915,196","915,196","915,196",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Board of Revision of Taxes,,,,,,,,
Full-Time Positions,11,11,14,16,16,15,1,1
Class 100 Total Oblig./Approp.,"904,051","928,286","1,044,789","987,587","987,587","987,587",0,0
Class 100 Overtime Oblig./Approp.,0,190,"1,967",0,90,90,(90),0
City Commissioners,,,,,,,,
Full-Time Positions,100,94,98,105,105,137,(32),(32)
Class 100 Total Oblig./Approp.,"5,524,532","5,830,533","7,075,077","6,714,174","6,714,174","6,714,174",0,0
Class 100 Overtime Oblig./Approp.,"803,429","1,033,718","1,592,963","1,097,554","1,975,941","1,535,000","(437,446)","440,941"
City Council,,,,,,,,
Full-Time Positions,192,197,180,208,208,182,26,26
Class 100 Total Oblig./Approp.,"13,909,585","14,104,805","14,433,197","14,877,138","14,327,138","14,327,138","550,000",0
Class 100 Overtime Oblig./Approp.,"14,624","2,882",0,0,0,0,0,0
City Representative,,,,,,,,
Full-Time Positions,9,8,5,0,0,0,0,0
Class 100 Total Oblig./Approp.,"631,584","714,833","683,372",0,0,0,0,0
Class 100 Overtime Oblig./Approp.,"4,165","2,239",0,0,0,0,0,0
City Treasurer,,,,,,,,
Full-Time Positions,15,16,16,18,18,16,2,2
Class 100 Total Oblig./Approp.,"1,064,446","1,098,380","1,268,936","1,368,170","1,368,170","1,368,170",0,0
Class 100 Overtime Oblig./Approp.,0,"3,927","8,586",0,"51,598","57,000","(57,000)","(5,402)"
Civil Service Commission,,,,,,,,
Full-Time Positions,2,2,2,2,2,1,1,1
Class 100 Total Oblig./Approp.,"163,743","168,597","160,826","177,148","177,148","177,148",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Commerce,,,,,,,,
Full-Time Positions,31,48,44,42,42,37,5,5
Class 100 Total Oblig./Approp.,"2,114,325","3,028,159","3,453,180","2,394,341","2,499,341","2,499,341","(105,000)",0
Class 100 Overtime Oblig./Approp.,"1,176","5,257","6,816","2,000","10,000",0,"2,000","10,000"
