0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2020 YEAR TO DATE,,,,FY 2020 FULL YEAR,,
Department/ Category,FY 17 Year End,FY 18 Year End,FY 19 Year End,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Office of Arts and Culture,,,,,,,,,,,
Full-Time Positions,4,5,7,8,8,0,8,8,8,0,0
Class 100 Total Oblig./Approp.,"236,770","274,563","453,399","391,812","391,812",0,"508,300","579,428","579,428","579,428",0
Class 100 Overtime Oblig./Approp.,0,0,40,75,150,(75),0,100,200,(200),(100)
Office of Behavioral Health and Intellectual disAbility,,,,,,,,,,,
Full-Time Positions,16,16,16,21,21,0,23,23,23,0,0
Class 100 Total Oblig./Approp.,"1,006,269","1,558,164","1,580,748","1,068,974","1,068,974",0,"1,534,468","1,770,431","1,555,369","(20,901)","215,062"
Class 100 Overtime Oblig./Approp.,"9,922","6,737","6,906","4,500","6,018","(1,518)","6,000","6,000","7,000","(1,000)","(1,000)"
Office of the Chief Administrative Officer,,,,,,,,,,,
Full-Time Positions,55,58,56,58,58,0,74,74,74,0,0
Class 100 Total Oblig./Approp.,"3,830,324","4,045,694","3,831,785","3,072,006","3,072,006",0,"4,784,551","4,856,330","4,856,824","(72,273)",(494)
Class 100 Overtime Oblig./Approp.,"6,608","54,046","21,904","30,599","1,034","29,565","40,798","40,798","10,798","30,000","30,000"
Office of Education,,,,,,,,,,,
Full-Time Positions,32,33,32,40,40,0,47,47,47,0,0
Class 100 Total Oblig./Approp.,"1,933,963","2,215,607","2,318,022","1,786,405","1,786,405",0,"3,292,180","3,292,180","3,292,180",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Office of Homeless Services,,,,,,,,,,,
Full-Time Positions,146,150,151,153,153,0,160,160,160,0,0
Class 100 Total Oblig./Approp.,"8,491,983","8,685,048","9,056,465","6,493,231","6,493,231",0,"9,545,748","9,565,192","9,614,067","(68,319)","(48,875)"
Class 100 Overtime Oblig./Approp.,"201,512","145,390","201,728","171,551","217,710","(46,159)","228,734","228,734","228,734",0,0
Office of Human Resources,,,,,,,,,,,
Full-Time Positions,85,78,77,80,80,0,88,88,88,0,0
Class 100 Total Oblig./Approp.,"5,327,367","4,766,878","4,913,051","3,582,240","3,582,240",0,"5,555,785","5,577,022","5,591,299","(35,514)","(14,277)"
Class 100 Overtime Oblig g./Approp.,"48,476","44,902","45,485","33,750","57,659","(23,909)","45,000","45,000","85,000","(40,000)","(40,000)"
