0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,FISCAL,YEAR 2009,,,
,,,,,YEAR TO DATE,,,,FULL YEAR,,
Department/ Category,FY 06 Year End Actual,FY 07 Year End Actual,FY 08 Year End Actual,Target Budget Plan,Actual,Actual (Over) Under Target Budgt.,Adopted Budget,Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
Administration and Support Svcs.,,,,,,,,,,,
Full-Time Positions,101,107,104,105,98,7,114,109,98,16,11
Class 100 Total Oblig /Approp.,"6,115,102","6,174,842","5,999,813","6,487,332","6,487,332",o,"6,705,910","6,487,332","6,487,332","218,578",o
Class 100 Overtime Oblig./Approp.,"605,212","585,671","444,581","485,688","436,973","48,715","485,737","485,688","436,973","48,764","48,715"
Medical Examiner's Office,,,,,,,,,,,
Full-Time Positions,41,44,48,45,44,1,53,52,44,9,8
Class 100 Total Oblig./Approp.,"2,867,616","3,045,395","2,998,575","3,311,951","3,311,951",o,"3,315,939","3,311,951","3,311,951","3,988",o
Class 100 Overtime Oblig./Approp.,"540,779","488,999","455,204","329,587","413,298","(83,711)","329,587","329,587","413,298","(83,711)","(83,711)"
Infectious Disease Control,,,,,,,,,,,
Full-Time Positions,49,52,53,56,48,8,60,60,48,12,12
Class 100 Total Oblig./Approp.,"2,707,643","2,841,583","2,865,722","3,112,185","3,112,185",o,"3,067,504","3,112,185","3,112,185","(44,681)",o
Class 100 Overtime Oblig./Approp.,"218,058","280,837","269,606","147,855","140,191","7,664","147,856","147,855","140,191","7,665","7,664"
Chronic Disease,,,,,,,,,,,
Full-Time Positions,o,o,o,o,o,o,o,o,o,o,o
Class 100 Total Oblig./Approp.,o,o,o,o,o,o,o,o,o,o,o
Class 100 Overtime Oblig./Approp.,o,o,o,o,o,o,o,o,o,o,o
Public Property,,,,,,,,,,,
Full-Time Positions,158,175,165,131,135,(4),178,131,135,43,(4)
Class 100 Total Oblig./Approp.,"8,084,578","9,032,956","8,482,713","7,948,214","7,948,214",0,"8,814,759","7,948,214","7,948,214","866,545",0
Class 100 Overtime Oblig./Approp.,"1,182,717","1,464,320","1,722,889","1,301,157","936,229","364,928","1,551,157","1,301,157","936,229","614,928","364,928"
Records,,,,,,,,,,,
Full-Time Positions,75,70,70,70,64,6,76,70,64,12,6
Class 100 Total Oblig /Approp.,"3,451,820","3,550,181","3,584,663","3,179,233","3,179,233",o,"3,658,731","3,179,233","3,179,233","479,498",o
Class 100 Overtime Oblig./Approp.,"433,471","462,149","460,763","163,537","163,667",(130),"361,259","163,537","163,667","197,592",(130)
Recreation,,,,,,,,,,,
Full-Time Positions,468,460,464,484,443,41,517,484,443,74,41
Class 100 Total Oblig./Approp.,"27,838,493","29,330,231","31,270,256","32,260,646","32,260,646",o,"33,277,509","32,260,646","32,260,646","1,016,863",0
Class 100 Overtime Oblig./Approp.,"933,961","1,310,697","1,148,536","1,091,389","875,993","215,396","972,077","1,091,389","875,993","96,084","215,396"
