0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,FISCAL,YEAR 2010,,,
,,,,,YEAR TO DATE,,,,FULL YEAR,,
Department/ Category,FY 07 Year End Actual,FY 08 Year End Actual,FY 09 Year End Actual,Target Budget Plan,Actual,Actual (Over) Under Target Budgt.,Adopted Budget,Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
Office of Housing & Community Dev.,,,,,,,,,,,
Full-Time Positions,0,o,o,o,o,0,o,o,o,o,o
Class 100 Total Oblig./Approp.,"46,341",o,0,0,o,o,o,o,0,o,o
Class 100 Overtime Oblig./Approp.,0,o,o,o,o,0,o,o,o,o,o
Police,,,,,,,,,,,
Full-Time Positions,"7,424","7,367","7,443","7,382","7,378",4,"7,494","7,382","7,378",116,4
Class 100 Total Oblig./Approp.,"478,231,611","509,124,087","517,385,709","510,776,456","510,776,456",0,"505,976,456","510,776,456","510,776,456","(4,800,000)",0
Class 100 Overtime Oblig./Approp.,"59,231,067","70,555,018","49,117,627","37,315,102","44,578,852","(7,263,750)","46,782,463","37,315,102","44,578,852","2,203,611","(7,263,750)"
Prisons,,,,,,,,,,,
Full-Time Positions,"2,176","2,131","2,067","2,360","2,254",106,"2,360","2,360","2,254",106,106
Class 100 Total Oblig./Approp.,"115,246,659","122,731,345","124,613,631","123,658,997","123,658,997",o,"126,158,997","123,658,997","123,658,997","2,500,000",o
Class 100 Overtime Oblig./Approp.,"24,600,109","32,063,777","29,923,867","31,048,852","23,721,216","7,327,636","31,048,852","31,048,852","23,721,216","7,327,636","7,327,636"
Procurement,,,,,,,,,,,
Full-Time Positions,54,58,50,50,46,4,50,50,46,4,4
Class 100 Total Oblig./Approp.,"2,488,146","2,667,670","2,562,046","2,423,253","2,423,253",o,"2,423,253","2,423,253","2,423,253",o,o
Class 100 Overtime Oblig./Approp.,"5,570",582,603,o,o,0,o,o,o,o,o
Public Health,,,,,,,,,,,
Full-Time Positions,664,665,675,739,662,77,739,739,662,77,77
Class 100 Total Oblig./Approp.,"39,900,244","42,058,888","42,857,364","43,013,095","43,013,095",o,"43,013,094","43,013,095","43,013,095",(1),o
Class 100 Overtime Oblig./Approp.,"2,881,249","2,681,302","2,250,015","2,186,978","2,123,147","63,831","2,186,978","2,186,978","2,123,147","63,831","63,831"
Ambulatory Health Services,,,,,,,,,,,
Full-Time Positions,337,343,376,391,359,32,391,391,359,32,32
Class 100 Total Oblig./Approp.,"20,477,836","23,013,424","24,099,371","23,868,956","23,868,956",o,"23,868,956","23,868,956","23,868,956",o,o
Class 100 Overtime Oblig./Approp.,"1,016,884","1,084,899","932,256","925,388","919,410","5,978","925,388","925,388","919,410","5,978","5,978"
"Early Childhood, Youth & Women's Hlth.",,,,,,,,,,,
Full-Time Positions,28,23,20,20,16,4,20,20,16,4,4
Class 100 Total Oblig./Approp.,"1,973,308","1,726,679","1,140,196","1,114,952","1,114,952",o,"1,114,952","1,114,952","1,114,952",o,o
Class 100 Overtime Oblig./Approp.,"168,606","101,189","31,259","91,145","32,008","59,137","91,145","91,145","32,008","59,137","59,137"
