0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,FISCAL,YEAR 2010,,,
,,,,,YEAR TO DATE,,,,FULL YEAR,,
Department/ Category,FY 07 Year End Actual,FY 08 Year End Actual,FY 09 Year End Actual,Target Budget Plan,Actual,Actual (Over) Under Target Budgt.,Adopted Budget,Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
Phila. Nursing Home,,,,,,,,,,,
Full-Time Positions,1,1,1,1,1,o,1,1,1,o,o
Class 100 Total Oblig./Approp.,"157,491","166,739","157,349","188,594","188,594",o,"188,594","188,594","188,594",o,o
Class 100 Overtime Oblig./Approp.,460,"1,889",o,o,o,o,o,o,o,o,o
Environmental Protection Services,,,,,,,,,,,
Full-Time Positions,95,93,88,111,95,16,111,111,95,16,16
Class 100 Total Oblig./Approp.,"5,229,789","5,287,936","5,482,947","5,629,193","5,629,193",o,"5,685,701","5,629,193","5,629,193","56,508",o
Class 100 Overtime Oblig./Approp.,"339,792","323,934","296,037","217,315","340,896","(123,581)","217,315","217,315","340,896","(123,581)","(123,581)"
Administration and Support Svcs.,,,,,,,,,,,
Full-Time Positions,107,104,98,107,98,9,107,107,98,9,9
Class 100 Total Oblig./Approp.,"6,174,842","5,999,813","6,162,555","6,044,865","6,044,865",o,"5,988,357","6,044,865","6,044,865","(56,508)",o
Class 100 Overtime Oblig./Approp.,"585,671","444,581","436,973","475,687","457,248","18,439","475,687","475,687","457,248","18,439","18,439"
Medical Examiner's Office,,,,,,,,,,,
Full-Time Positions,44,48,44,52,47,5,52,52,47,5,5
Class 100 Total Oblig./Approp.,"3,045,395","2,998,575","3,172,723","3,216,123","3,216,123",o,"3,216,123","3,216,123","3,216,123",o,o
Class 100 Overtime Oblig./Approp.,"488,999","455,204","413,298","329,587","269,664","59,923","329,587","329,587","269,664","59,923","59,923"
Infectious Disease Control,,,,,,,,,,,
Full-Time Positions,52,53,48,57,46,11,57,57,46,11,11
Class 100 Total Oblig./Approp.,"2,841,583","2,865,722","2,642,223","2,950,412","2,950,412",o,"2,950,411","2,950,412","2,950,412",(1),o
Class 100 Overtime Oblig./Approp.,"280,837","269,606","140,192","147,856","103,921","43,935","147,856","147,856","103,921","43,935","43,935"
Public Property,,,,,,,,,,,
Full-Time Positions,175,165,135,134,123,11,172,134,123,49,11
Class 100 Total Oblig./Approp.,"9,032,956","8,482,713","7,727,548","6,811,965","6,811,965",o,"8,589,569","6,811,965","6,811,965","1,777,604",0
Class 100 Overtime Oblig./Approp.,"1,464,320","1,722,889","936,229","344,087","421,464","(77,377)","641,677","344,087","421,464","220,213","(77,377)"
Records,,,,,,,,,,,
Full-Time Positions,70,70,64,63,59,4,63,63,59,4,4
Class 100 Total Oblig./Approp.,"3,550,181","3,584,663","3,154,827","2,819,219","2,819,219",0,"2,845,219","2,819,219","2,819,219","26,000",0
Class 100 Overtime Oblig./Approp.,"462,149","460,763","163,667","170,764","118,518","52,246","142,426","170,764","118,518","23,908","52,246"
