0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2020 YEAR TO DATE,,,,FY 2020 FULL YEAR,,
Department /Category,FY 17 Year End,FY 18 Year End,FY 19 Year End,Target Budget,,Actual (Over) Under,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Plan,Actual,Target Budget,Budget,Budget,Projection,Adopted Budget,Target Budget
Streets,,,,,,,,,,,
Full-Time Positions,"1,702","1,738","1,736","1,929","1,929",0,"1,982","1,982","1,982",0,0
Class 100 Total Oblig./Approp.,"76,897,341","79,636,511","83,603,511","66,556,977","66,556,977",0,"90,464,913","90,879,112","90,993,783","(528,870)","(114,671)"
Class 100 Overtime Oblig./Approp.,"13,942,643","16,200,539","15,557,607","9,017,032","11,191,511","(2,174,479)","11,356,042","11,356,042","17,856,042","(6,500,000)","(6,500,000)"
,,,,,,,,,,,
TOTAL GENERAL FUND Full-Time Positions,"21,610","22,226","22,210","22,608","22,650",(42),"23,774","23,810","23,878",(104),(68)
Class 100 Total Oblig j./Approp.,"1,589,003,244","1,690,080,953","1,749,789,358","1,261,400,231","1,261,400,231",0,"1,820,084,499","1,844,705,074","1,878,805,625","(58,070,570)","(34,100,551)"
Class 100 Overtime Oblig./Approp.,"163,245,876","179,380,142","176,564,791","145,957,361","148,931,933","(2,974,572)","166,561,406","193,676,479","213,790,289","(47,228,883)","(20,113,810)"
