0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2022 YEAR TO DATE,,,,FY 2022 FULL YEAR,,
Department / Category,FY 19 Year End Actual,FY 20 Year End Actual,FY 21 Unaudited Actual,Target Budget Plan,Actual,Actual (Over) Under Target Budget,Adopted Budget,Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
Auditing,,,,,,,,,,,
Full-Time Positions,124,121,118,116,116,0,135,135,135,0,0
Class 100 Total Oblig./Approp.,"8,650,965","9,466,389","9,311,029","2,000,043","2,000,043",0,"9,330,839","9,330,839","9,330,839",0,0
Class 100 Overtime Oblig./Approp.,"73,243","60,388","39,619","20,000",742,"19,258","80,000","80,000","80,000",0,0
Board of Ethics,,,,,,,,,,,
Full-Time Positions,10,7,9,9,9,0,10,10,10,0,0
Class 100 Total Oblig./Approp.,"875,033","922,164","801,988","185,270","185,270",0,"915,196","915,196","915,196",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Board of Revision of Taxes,,,,,,,,,,,
Full-Time Positions,11,14,15,14,14,0,16,16,16,0,0
Class 100 Total Oblig./Approp.,"928,286","1,044,789","1,002,561","216,747","216,747",0,"997,835","997,835","997,835",0,0
Class 100 Overtime Oblig./Approp.,190,"1,967",45,0,"1,801","(1,801)",0,0,"3,000","(3,000)","(3,000)"
City Commissioners,,,,,,,,,,,
Full-Time Positions,94,98,137,132,132,0,106,106,106,0,0
Class 100 Total Oblig./Approp.,"5,830,533","7,075,077","8,293,480","957,767","957,767",0,"8,413,534","8,413,534","8,413,534",0,0
Class 100 Overtime Oblig./Approp.,"1,033,718","1,592,963","1,531,588","263,334","45,825","217,509","1,053,337","1,053,337","1,053,337",0,0
City Council,,,,,,,,,,,
Full-Time Positions,197,180,182,179,179,0,188,188,188,0,0
Class 100 Total Oblig./Approp.,"14,104,805","14,433,197","14,051,449","3,089,397","3,089,397",0,"15,627,138","15,627,138","15,627,138",0,0
Class 100 Overtime Oblig./Approp.,"2,882",0,245,0,0,0,0,0,0,0,0
City Representative,,,,,,,,,,,
Full-Time Positions,8,5,0,0,0,0,0,0,0,0,0
Class 100 Total Oblig./Approp.,"714,833","683,372",0,0,0,0,0,0,0,0,0
Class 100 Overtime Oblig./Approp.,"2,239",0,0,0,0,0,0,0,0,0,0
City Treasurer,,,,,,,,,,,
Full-Time Positions,16,16,16,16,16,0,18,18,18,0,0
Class 100 Total Oblig./Approp.,"1,098,380","1,268,936","1,230,203","297,452","297,452",0,"1,395,075","1,395,075","1,395,075",0,0
Class 100 Overtime Oblig./Approp.,"3,927","8,586","56,626","2,500","16,242","(13,742)","10,000","10,000","42,068","(32,068)","(32,068)"
