0,1,2,3,4,5,6,7,8
,,,,,,,,
,,,,,,FULL YEAR,,
Department / Category,FY 11 Year End,FY 12 Year End,FY 13 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
,,,,,,,,
Police,,,,,,,,
Full-Time Positions,"7,219","7,225","7,193","7,371","7,371","7,095",276,276
Class 100 Total Oblig./Approp.,"520,720,951","536,548,353","555,247,244","579,668,096","569,994,060","572,394,060","7,274,036","(2,400,000)"
Class 100 Overtime Oblig./Approp.,"35,856,495","42,033,252","44,859,416","45,084,232","52,237,135","49,896,213","(4,811,981)","2,340,922"
Prisons,,,,,,,,
Full-Time Positions,"2,166","2,144","2,248","2,310","2,310","2,268",42,42
Class 100 Total Oblig./Approp.,"117,944,133","121,476,307","130,057,321","128,556,476","133,158,173","133,158,173","(4,601,697)",0
Class 100 Overtime Oblig./Approp.,"25,097,597","29,249,429","33,979,816","27,071,040","29,571,040","31,203,650","(4,132,610)","(1,632,610)"
Procurement,,,,,,,,
Full-Time Positions,45,45,45,49,49,47,2,2
Class 100 Total Oblig./Approp.,"2,083,262","2,107,515","2,197,426","2,277,794","2,318,879","2,318,879","(41,085)",0
Class 100 Overtime Oblig./Approp.,29,"2,949","1,189","5,000","5,000","5,000",0,0
Public Health,,,,,,,,
Full-Time Positions,661,669,673,762,762,659,103,103
Class 100 Total Oblig./Approp.,"37,686,893","39,076,424","40,531,940","47,538,405","48,197,076","48,197,076","(658,671)",0
Class 100 Overtime Oblig./Approp.,"2,347,054","2,364,197","2,559,251","2,089,473","2,089,473","2,723,685","(634,212)","(634,212)"
Ambulatory Health Services,,,,,,,,
Full-Time Positions,361,356,364,405,405,362,43,43
Class 100 Total Oblig./Approp.,"20,853,594","21,753,051","22,313,842","27,024,229","27,682,900","27,682,900","(658,671)",0
Class 100 Overtime Oblig./Approp.,"1,052,893","1,019,271","1,132,784","1,048,816","1,048,816","1,145,122","(96,306)","(96,306)"
