0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,FISCAL,YEAR 2010,,,
,,,,,YEAR TO DATE,,,,FULL YEAR,,
Department/ Category,FY 07 Year End Actual,FY 08 Year End Actual,FY 09 Year End Actual,Target Budget Plan,Actual,Actual (Over) Under Target Budgt.,Adopted Budget,Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
First Judicial District,,,,,,,,,,,
Full-Time Positions,"1,928","1,970","1,898","1,965","1,756",209,"1,965","1,965","1,756",209,209
Class 100 Total Oblig./Approp.,"88,826,470","91,950,443","90,353,679","81,391,716","81,391,716",o,"75,934,061","81,391,716","81,391,716","(5,457,655)",o
Class 100 Overtime Oblig./Approp.,"392,191","201,814","126,110","82,077","76,951","5,126","82,077","82,077","76,951","5,126","5,126"
Traffic Court,,,,,,,,,,,
Full-Time Positions,120,129,121,130,120,10,130,130,120,10,10
Class 100 Total Oblig./Approp.,"4,265,777","4,631,005","4,846,053","4,578,476","4,578,476",o,"4,087,973","4,578,476","4,578,476","(490,503)",o
Class 100 Overtime Oblig./Approp.,442,513,"4,194",855,o,855,855,855,o,855,855
Municipal Court,,,,,,,,,,,
Full-Time Positions,178,188,186,186,174,12,186,186,174,12,12
Class 100 Total Oblig./Approp.,"7,510,649","7,923,810","7,932,424","7,816,499","7,816,499",o,"6,706,414","7,816,499","7,816,499","(1,110,085)",o
Class 100 Overtime Oblig./Approp.,"4,731","1,213","2,057",855,666,189,855,855,666,189,189
Common Pleas Court,,,,,,,,,,,
Full-Time Positions,"1,384","1,412","1,353","1,397","1,245",152,"1,397","1,397","1,245",152,152
Class 100 Total Oblig./Approp.,"64,197,873","66,241,505","64,462,852","56,760,537","56,760,537",o,"53,844,976","56,760,537","56,760,537","(2,915,561)",o
Class 100 Overtime Oblig./Approp.,"357,860","183,853","107,358","69,252","68,645",607,"69,252","69,252","68,645",607,607
Court Administrator,,,,,,,,,,,
Full-Time Positions,246,241,238,252,217,35,252,252,217,35,35
Class 100 Total Oblig./Approp.,"12,852,171","13,154,123","13,112,350","12,236,204","12,236,204",o,"11,294,698","12,236,204","12,236,204","(941,506)",o
Class 100 Overtime Oblig./Approp.,"29,158","16,235","12,501","11,115","7,640","3,475","11,115","11,115","7,640","3,475","3,475"
Fleet Management,,,,,,,,,,,
Full-Time Positions,300,307,302,296,292,4,309,296,292,17,4
Class 100 Total Oblig./Approp.,"17,158,282","17,745,176","16,978,931","16,257,192","16,257,192",0,"16,557,192","16,257,192","16,257,192","300,000",o
Class 100 Overtime Oblig./Approp.,"2,593,241","3,203,337","2,179,011","2,044,189","2,496,711","(452,522)","1,612,492","2,044,189","2,496,711","(884,219)","(452,522)"
Free Library,,,,,,,,,,,
Full-Time Positions,724,713,629,608,602,6,628,608,602,26,6
Class 100 Total Oblig./Approp.,"33,995,130","34,683,010","32,664,879","29,268,037","29,268,037",0,"28,986,601","29,268,037","29,268,037","(281,436)",0
Class 100 Overtime Oblig./Approp.,"1,037,731","1,083,881","681,781","521,111","458,240","62,871","677,738","521,111","458,240","219,498","62,871"
