0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,FISCAL,YEAR 2010,,,
,,,,,YEAR TO DATE,,,,FULL YEAR,,
Department/ Category,FY 07 Year End Actual,FY 08 Year End Actual,FY 09 Year End Actual,Target Budget Plan,Actual,Actual (Over) Under Target Budgt.,Adopted Budget,Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
Atwater Kent Museum,,,,,,,,,,,
Full-Time Positions,4,4,4,3,4,(1),3,3,4,(1),(1)
Class 100 Total Oblig./Approp.,"250,997","256,702","225,971","198,630","198,630",o,"198,630","198,630","198,630",o,0
Class 100 Overtime Oblig./Approp.,"12,255","10,197","6,932",0,82,(82),o,o,82,(82),(82)
Auditing,,,,,,,,,,,
Full-Time Positions,120,121,124,123,120,3,123,123,120,3,3
Class 100 Total Oblig./Approp.,"7,039,481","7,104,935","7,362,568","6,889,116","6,889,116",o,"6,864,116","6,889,116","6,889,116","(25,000)",o
Class 100 Overtime Oblig./Approp.,"55,975","88,306","58,793",0,"43,683","(43,683)",o,0,"43,683","(43,683)","(43,683)"
Board of Building Standards,,,,,,,,,,,
Full-Time Positions,2,2,1,1,1,0,1,1,1,o,o
Class 100 Total Oblig./Approp.,"91,419","95,635","91,313","71,542","71,542",0,"71,542","71,542","71,542",o,0
Class 100 Overtime Oblig./Approp.,828,"2,421",596,o,o,o,o,o,o,o,o
Board of Ethics,,,,,,,,,,,
Full-Time Positions,o,6,9,9,7,2,10,9,7,3,2
Class 100 Total Oblig./Approp.,0,"378,707","677,611","681,100","681,100",o,"681,100","681,100","681,100",o,0
Class 100 Overtime Oblig./Approp.,0,0,o,0,o,0,0,o,o,o,o
Board of L&I Review,,,,,,,,,,,
Full-Time Positions,3,3,2,2,2,o,2,2,2,0,0
Class 100 Total Oblig./Approp.,"179,400","196,609","194,190","140,645","140,645",o,"140,645","140,645","140,645",o,o
Class 100 Overtime Oblig./Approp.,"2,383",690,o,0,o,o,0,o,o,o,o
Bd. of Revision of Taxes,,,,,,,,,,,
Full-Time Positions,128,139,133,125,112,13,125,125,112,13,13
Class 100 Total Oblig./Approp.,"7,772,791","7,861,365","7,914,757","7,371,544","7,371,544",o,"7,396,544","7,371,544","7,371,544","25,000",0
Class 100 Overtime Oblig./Approp.,"23,915","29,048","9,591",0,o,o,o,o,0,o,o
Camp William Penn,,,,,,,,,,,
Full-Time Positions,3,1,1,1,1,0,o,1,1,(1),0
Class 100 Total Oblig./Approp.,"164,382","238,996","31,822","30,000","30,000",0,0,"30,000","30,000","(30,000)",0
Class 100 Overtime Oblig./Approp.,90,o,0,0,o,o,0,o,o,0,0
