0,1,2,3,4,5,6,7,8
,,,,,,,,
,,,,,,FULL YEAR,,
Department / Category,FY 11 Year End,FY 12 Year End,FY 13 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Office of Innovation and Technology,,,,,,,,
Full-Time Positions,258,255,255,298,298,259,39,39
Class 100 Total Oblig./Approp.,"16,911,667","16,408,093","17,229,380","19,309,536","19,466,776","17,566,776","1,742,760","1,900,000"
Class 100 Overtime Oblig./Approp.,"586,720","590,240","607,010","549,569","572,103","637,196","(87,627)","(65,093)"
Office of the Inspector General,,,,,,,,
Full-Time Positions,16,17,18,21,21,16,5,5
Class 100 Total Oblig./Approp.,"1,028,356","1,128,064","1,156,164","1,338,869","1,263,869","1,263,869","75,000",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Office of Property Assessment,,,,,,,,
Full-Time Positions,132,157,173,218,218,179,39,39
Class 100 Total Oblig./Approp.,"5,259,514","7,014,594","8,140,264","10,158,928","10,550,493","9,350,493","808,435","1,200,000"
Class 100 Overtime Oblig./Approp.,0,0,"5,084",0,"3,000","12,681","(12,681)","(9,681)"
Office of Supportive Housing,,,,,,,,
Full-Time Positions,116,147,145,157,157,154,3,3
Class 100 Total Oblig./Approp.,"5,825,381","7,556,596","7,549,916","7,780,503","7,964,314","7,964,314","(183,811)",0
Class 100 Overtime Oblig./Approp.,"203,853","184,441","193,521","196,041","196,041","208,385","(12,344)","(12,344)"
Parks and Recreation,,,,,,,,
Full-Time Positions,590,574,568,692,692,600,92,92
Class 100 Total Oblig./Approp.,"36,230,641","35,492,911","37,509,725","40,215,707","40,220,019","41,020,019","(804,312)","(800,000)"
Class 100 Overtime Oblig./Approp.,"2,637,988","2,502,103","3,179,165","2,287,201","3,262,537","3,459,286","(1,172,085)","(196,749)"
