0,1,2,3,4,5,6,7,8
,,,,,,FY 2016 FULL YEAR,,
Department/ Category,FY 13 Year End,FY 14 Year End,FY 15 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Traffic Court,,,,,,,,
Full-Time Positions,112,113,111,113,113,109,4,4
Class 100 Total Oblig./Approp.,"4,535,095","4,412,376","4,583,633","4,896,528","4,896,528","4,896,528",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Fleet Management,,,,,,,,
Full-Time Positions,273,264,261,287,287,263,24,24
Class 100 Total Oblig./Approp.,"15,580,580","15,840,304","17,168,958","16,544,893","16,650,458","16,650,458","(105,565)",0
Class 100 Overtime Oblig./Approp.,"2,685,858","2,902,854","3,027,989","1,818,478","3,747,802","3,253,439","(1,434,961)","494,363"
Free Library,,,,,,,,
Full-Time Positions,609,609,642,692,692,636,56,56
Class 100 Total Oblig./Approp.,"29,154,178","30,801,445","35,306,130","35,474,252","35,224,252","35,224,252","250,000",0
Class 100 Overtime Oblig./Approp.,"1,097,007","1,252,355","1,502,862","1,219,125","1,519,125","1,672,235","(453,110)","(153,110)"
Historical Commission,,,,,,,,
Full-Time Positions,5,6,6,6,6,5,1,1
Class 100 Total Oblig./Approp.,"350,685","347,973","383,402","422,771","422,771","422,771",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Human Relations Commission,,,,,,,,
Full-Time Positions,29,30,30,34,34,32,2,2
Class 100 Total Oblig./Approp.,"1,649,350","1,744,635","1,779,986","2,099,408","2,049,408","2,049,408","50,000",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Human Services *,,,,,,,,
Full-Time Positions,377,382,395,449,449,449,0,0
Class 100 Total Oblig./Approp.,"22,265,266","22,776,786","17,570,666","24,637,310","24,637,310","24,637,310",0,0
Class 100 Overtime Oblig./Approp.,"1,226,747","1,655,062","4,532,830","3,082,274","3,082,274","3,082,274",0,0
Administration & Management,,,,,,,,
Full-Time Positions,19,100,109,117,117,117,0,0
Class 100 Total Oblig./Approp.,"1,122,016","4,586,721","4,247,179","6,233,582","6,233,582","6,233,582",0,0
Class 100 Overtime Oblig./Approp.,"48,300","132,667","470,495","283,118","283,118","283,118",0,0
Performance Mgmt. & Accountability,,,,,,,,
Full-Time Positions,7,21,25,25,25,25,0,0
Class 100 Total Oblig./Approp.,"416,805","904,697","554,135","1,656,769","1,656,769","1,656,769",0,0
Class 100 Overtime Oblig./Approp.,"3,806","9,098","27,395","23,386","23,386","23,386",0,0
Juvenile Justice Services,,,,,,,,
Full-Time Positions,56,131,134,165,165,165,0,0
Class 100 Total Oblig./Approp.,"3,288,078","7,194,415","6,882,864","8,953,356","8,953,356","8,953,356",0,0
Class 100 Overtime Oblig./Approp.,"616,516","937,095","1,997,565","1,852,089","1,852,089","1,852,089",0,0
