0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2021 YEAR TO DATE,,,,FY 2021 FULL YEAR,,
Department/Category,FY 18 Year End Actual,FY 19 Year End Actual,FY 20 Unaudited Actual,Target Budget Plan,Actual,Actual (Over) Under Target Budget,Adopted Budget,Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
First Judicial District,,,,,,,,,,,
Full-Time Positions,"1,867","1,842","1,825","1,821","1,822",(1),"1,878","1,878","1,878",0,0
Class 100 Total Oblig./Approp.,"98,343,914","100,719,400","103,276,427","48,081,630","48,081,630",0,"105,324,122","105,324,122","105,324,122",0,0
Class 100 Overtime Oblig./Approp.,"25,034","24,242","47,641","47,420","3,872","43,548","94,840","94,840","94,840",0,0
Fleet Management,,,,,,,,,,,
Full-Time Positions,281,286,282,277,277,0,312,312,312,0,0
Class 100 Total Oblig./Approp.,"17,532,835","18,501,080","18,563,332","8,014,837","8,014,837",0,"19,073,455","19,073,455","19,073,455",0,0
Class 100 Overtime Oblig./Approp.,"2,249,940","2,406,919","1,679,115","721,452","383,290","338,162","1,442,904","1,442,904","1,442,904",0,0
Free Library,,,,,,,,,,,
Full-Time Positions,649,651,677,658,658,0,756,756,756,0,0
Class 100 Total Oblig./Approp.,"36,929,841","38,004,616","41,221,658","18,041,207","18,041,207",0,"35,549,343","35,549,343","35,549,343",0,0
Class 100 Overtime Oblig./Approp.,"1,576,070","1,667,956","1,646,292","104,624","202,188","(97,564)","114,541","209,247","369,247","(254,706)","(160,000)"
Human Relations Commission,,,,,,,,,,,
Full-Time Positions,32,32,34,33,33,0,37,37,37,0,0
Class 100 Total Oblig./Approp.,"2,033,062","2,071,428","2,286,672","1,143,312","1,143,312",0,"2,360,285","2,360,285","2,360,285",0,0
Class 100 Overtime Oblig./Approp.,0,0,23,0,"26,289","(26,289)",0,0,0,0,0
Human Services,,,,,,,,,,,
Full-Time Positions,517,396,437,492,492,0,492,492,492,0,0
Class 100 Total Oblig./Approp. *,"30,712,077","22,738,842","22,404,173","6,333,361","6,333,361",0,"31,673,433","32,098,433","32,098,433","(425,000)",0
Class 100 Overtime Oblig./Approp. *,"3,968,761","2,644,765","2,993,692","1,550,645","627,337","923,308","3,101,290","3,101,290","3,101,290",0,0
Labor,,,,,,,,,,,
Full-Time Positions,20,22,27,27,27,0,35,35,35,0,0
Class 100 Total Oblig./Approp.,"1,425,750","1,586,766","1,945,732","973,302","973,302",0,"2,395,467","2,395,467","2,395,467",0,0
Class 100 Overtime Oblig./Approp.,71,274,986,8,25,(17),"18,072",16,50,"18,022",(34)
Law,,,,,,,,,,,
Full-Time Positions,121,128,130,129,129,0,134,134,134,0,0
Class 100 Total Oblig./Approp.,"7,978,352","8,802,032","9,733,493","4,714,621","4,714,621",0,"9,520,003","9,520,003","9,520,003",0,0
Class 100 Overtime Oblig./Approp.,"1,254",72,6,50,"5,758","(5,708)",0,100,"1,700","(1,700)","(1,600)"
