0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2021 YEAR TO DATE,,,,FY 2021 FULL YEAR,,
Department / Category,FY 18 Year End Actual,FY 19 Year End Actual,FY 20 Unaudited Actual,Target Budget Plan,Actual,Actual (Over) Under Target Budget,Adopted Budget,Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
City Treasurer,,,,,,,,,,,
Full-Time Positions,15,16,16,16,16,0,18,18,18,0,0
Class 100 Total Oblig./Approp.,"1,064,446","1,098,380","1,268,936","285,472","285,472",0,"1,368,170","1,368,170","1,368,170",0,0
Class 100 Overtime Oblig./Approp.,0,"3,927","8,586",0,"9,074","(9,074)",0,0,"31,598","(31,598)","(31,598)"
Civil Service Commission,,,,,,,,,,,
Full-Time Positions,2,2,2,1,1,0,2,2,2,0,0
Class 100 Total Oblig./Approp.,"163,743","168,597","160,826","52,379","52,379",0,"177,148","177,148","177,148",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Commerce,,,,,,,,,,,
Full-Time Positions,31,48,44,43,43,0,42,42,42,0,0
Class 100 Total Oblig./Approp.,"2,114,325","3,028,159","3,453,180","769,388","769,388",0,"2,394,341","2,394,341","2,499,341","(105,000)","(105,000)"
Class 100 Overtime Oblig./Approp.,"1,176","5,257","6,816",500,0,500,"2,000","2,000","10,000","(8,000)","(8,000)"
District Attorney,,,,,,,,,,,
Full-Time Positions,455,491,545,530,569,(39),513,513,513,0,0
Class 100 Total Oblig./Approp.,"32,249,281","34,265,564","38,029,618","8,775,015","8,775,015",0,"30,262,904","30,262,904","33,762,904","(3,500,000)","(3,500,000)"
Class 100 Overtime Oblig./Approp.,"52,297","155,103","135,138","50,490","157,873","(107,383)","201,960","201,960","106,244","95,716","95,716"
Finance,,,,,,,,,,,
Full-Time Positions,115,116,119,116,116,0,131,131,131,0,0
Class 100 Total Oblig./Approp.,"6,963,917","7,756,138","9,222,201","1,971,966","1,971,966",0,"10,312,396","10,312,396","9,917,135","395,261","395,261"
Class 100 Overtime Oblig./Approp.,"45,510","74,302","74,119","15,125","21,244","(6,119)","60,500","60,500","78,211","(17,711)","(17,711)"
Finance Reg #32 Disability,,,,,,,,,,,
Full-Time Positions,0,0,0,0,0,0,0,0,0,0,0
Class 100 Total Oblig./Approp.,"2,556,892","2,413,758","1,092,451","372,597","372,597",0,"2,650,000","2,650,000","2,650,000",0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Fire,,,,,,,,,,,
Full-Time Positions,"2,511","2,530","2,628","2,728","2,728",0,"3,368","3,368","3,368",0,0
Class 100 Total Oblig./Approp.,"244,026,657","283,319,650","303,857,650","65,724,993","70,939,788","(5,214,795)","289,256,642","289,256,642","313,256,642","(24,000,000)","(24,000,000)"
Class 100 Overtime Oblig./Approp.,"36,673,566","50,943,620","63,932,091","11,928,446","16,419,363","(4,490,917)","47,713,783","47,713,783","59,633,927","(11,920,144)","(11,920,144)"
