0,1,2,3,4,5,6,7,8
,,,,,,FY 2019 FULL YEAR,,
Department/ Category,FY 16 Year End,FY 17 Year End,FY 18 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Historical Commission,,,,,,,,
Full-Time Positions,5,6,0,0,0,0,0,0
Class 100 Total Oblig./Approp.,"341,606","400,662",0,0,0,0,0,0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Human Relations Commission,,,,,,,,
Full-Time Positions,32,31,32,34,34,32,2,2
Class 100 Total Oblig./Approp.,"1,837,948","1,949,691","2,033,062","2,139,648","2,234,730","2,234,730","(95,082)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Human Services,,,,,,,,
Full-Time Positions,449,385,517,460,460,396,64,64
Class 100 Total Oblig./Approp. *,"21,714,429","26,260,507","30,712,077","27,246,823","27,246,823","27,246,823",0,0
Class 100 Overtime Oblig./Approp.,"1,523,769","5,627,058","3,968,761","3,417,347","3,417,347","3,417,347",0,0
Labor,,,,,,,,
Full-Time Positions,7,16,20,23,26,22,1,4
Class 100 Total Oblig./Approp.,"496,053","919,175","1,425,750","1,562,009","1,829,166","1,829,166","(267,157)",0
Class 100 Overtime Oblig./Approp.,0,0,71,0,0,300,(300),(300)
Law,,,,,,,,
Full-Time Positions,126,119,121,129,129,128,1,1
Class 100 Total Oblig./Approp.,"7,405,269","8,085,037","7,978,352","9,163,318","9,394,250","9,394,250","(230,932)",0
Class 100 Overtime Oblig./Approp.,99,0,"1,254",100,"1,000",100,0,900
Licenses & Inspections,,,,,,,,
Full-Time Positions,335,348,396,429,429,372,57,57
Class 100 Total Oblig./Approp.,"18,606,512","19,578,047","22,292,655","23,144,341","23,116,155","23,116,155","28,186",0
Class 100 Overtime Oblig./Approp.,"1,812,827","1,563,457","1,306,891","1,155,385","1,334,285","1,423,000","(267,615)","(88,715)"
L&I-Board of Building Standards,,,,,,,,
Full-Time Positions,1,1,1,1,1,1,0,0
Class 100 Total Oblig./Approp.,"67,890","69,683","67,339","75,419","78,574","78,574","(3,155)",0
Class 100 Overtime Oblig./Approp.,220,117,0,0,0,0,0,0
L&I-Board of L & I Review,,,,,,,,
Full-Time Positions,2,2,2,2,2,2,0,0
Class 100 Total Oblig./Approp.,"139,762","148,864","143,207","162,284","162,284","162,284",0,0
Class 100 Overtime Oblig./Approp.,"1,788","1,132","1,372",0,900,"1,200","(1,200)",(300)
L&I-Zoning Board of Adjustment,,,,,,,,
Full-Time Positions,5,5,0,0,0,0,0,0
Class 100 Total Oblig./Approp.,"326,821","320,504",0,0,0,0,0,0
Class 100 Overtime Oblig./Approp.,"2,131",402,0,0,0,0,0,0
