0,1,2,3,4,5,6,7,8
,,,,,,FY 2020 FULL YEAR,,
Department/Category,FY 17 Year End,FY 18 Year End,FY 19 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Planning and Development,,,,,,,,
Full-Time Positions,0,49,56,62,62,55,7,7
Class 100 Total Oblig./Approp.,0,"3,894,669","4,695,950","5,167,172","5,200,043","5,206,876","(39,704)","(6,833)"
Class 100 Overtime Oblig./Approp.,0,"15,829","14,817",0,"15,000","14,000","(14,000)","1,000"
Police,,,,,,,,
Full-Time Positions,"6,986","7,172","7,241","7,443","7,443","7,175",268,268
Class 100 Total Oblig./Approp.,"631,459,043","670,260,752","685,445,815","718,359,324","726,036,275","726,496,175","(8,136,851)","(459,900)"
Class 100 Overtime Oblig./Approp.*,"66,360,482","68,238,536","61,647,723","67,660,500","76,660,500","78,850,000","(11,189,500)","(2,189,500)"
*Police OT is abated as reimbursements occur,,,,,,,,
Prisons,,,,,,,,
Full-Time Positions,"2,277","2,177","2,130","2,160","2,160","1,975",185,185
Class 100 Total Oblig./Approp.,"148,514,858","149,461,785","138,537,912","139,765,668","139,868,168","141,575,330","(1,809,662)","(1,707,162)"
Class 100 Overtime Oblig./Approp.,"31,197,142","33,450,882","24,169,020","27,132,127","27,132,127","26,925,000","207,127","207,127"
Procurement,,,,,,,,
Full-Time Positions,44,46,41,50,50,42,8,8
Class 100 Total Oblig./Approp.,"2,420,035","2,450,043","2,402,513","2,709,242","2,752,970","2,765,020","(55,778)","(12,050)"
Class 100 Overtime Oblig./Approp.,"28,835","8,930","5,647","21,000","11,000","6,000","15,000","5,000"
Public Health,,,,,,,,
Full-Time Positions,687,711,752,839,839,739,100,100
Class 100 Total Oblig./Approp.,"51,023,872","54,999,157","57,173,653","58,328,165","58,569,978","58,855,060","(526,895)","(285,082)"
Class 100 Overtime Oblig./Approp.,"2,266,394","2,300,499","2,346,586","1,871,700","2,471,700","2,610,000","(738,300)","(138,300)"
Public Property,,,,,,,,
Full-Time Positions,146,135,135,149,149,119,30,30
Class 100 Total Oblig./Approp.,"8,654,937","8,797,024","8,875,590","9,395,654","9,425,727","9,487,678","(92,024)","(61,951)"
Class 100 Overtime Oblig./Approp.,"636,933","855,977","839,027","843,148","943,148","805,000","38,148","138,148"
Records,,,,,,,,
Full-Time Positions,57,57,55,59,59,51,8,8
Class 100 Total Oblig./Approp.,"2,822,489","3,004,442","2,983,490","3,226,285","3,268,492","3,295,922","(69,637)","(27,430)"
Class 100 Overtime Oblig./Approp.,"106,687","80,622","63,145","36,508","66,508","56,000","(19,492)","10,508"
Register of Wills,,,,,,,,
Full-Time Positions,72,71,70,70,70,66,4,4
Class 100 Total Oblig./Approp.,"3,842,824","4,021,761","4,262,942","4,286,409","4,299,820","4,299,820","(13,411)",0
Class 100 Overtime Oblig./Approp.,0,0,"1,488",0,"3,000",400,(400),"2,600"
Revenue,,,,,,,,
Full-Time Positions,402,414,405,458,458,402,56,56
Class 100 Total Oblig./Approp.,"20,417,912","21,536,327","22,700,386","23,934,508","24,073,730","24,217,852","(283,344)","(144,122)"
Class 100 Overtime Oblig./Approp.,"597,862","414,990","367,414","478,000","478,000","300,000","178,000","178,000"
