0,1,2,3,4,5,6,7,8
,,,,,,,,
,,,,,,FULL YEAR,,
Department / Category,FY 11 Year End,FY 12 Year End,FY 13 Year End,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Atwater Kent Museum,,,,,,,,
Full-Time Positions,4,4,4,4,4,3,1,1
Class 100 Total Oblig./Approp.,"182,101","215,694","220,143","220,674","223,037","223,037","(2,363)",0
Class 100 Overtime Oblig./Approp.,874,0,"1,937","3,044","3,044","2,333",711,711
Auditing,,,,,,,,
Full-Time Positions,113,111,118,123,123,111,12,12
Class 100 Total Oblig./Approp.,"6,725,248","6,600,290","6,475,510","7,173,947","7,375,882","7,375,882","(201,935)",0
Class 100 Overtime Oblig./Approp.,"36,360","58,522","58,829","50,000","50,000","65,036","(15,036)","(15,036)"
Board of Ethics,,,,,,,,
Full-Time Positions,8,8,8,12,12,9,3,3
Class 100 Total Oblig./Approp.,"642,747","657,532","685,698","890,000","897,214","897,214","(7,214)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
Board of Revision of Taxes,,,,,,,,
Full-Time Positions,8,8,7,9,11,11,(2),0
Class 100 Total Oblig./Approp.,"1,848,725","503,932","1,021,653","874,660","1,181,660","1,181,660","(307,000)",0
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0
City Commissioners,,,,,,,,
Full-Time Positions,95,91,90,98,98,84,14,14
Class 100 Total Oblig./Approp.,"5,320,735","4,948,351","5,166,337","5,371,047","5,032,142","5,032,142","338,905",0
Class 100 Overtime Oblig./Approp.,"859,335","756,828","1,061,085","762,409","762,409","870,713","(108,304)","(108,304)"
