0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,FISCAL,YEAR 2009,,,
,,,,,YEAR TO DATE,,,,FULL YEAR,,
Department/ Category,FY 06 Year End Actual,FY 07 Year End Actual,FY 08 Year End Actual,Target Budget Plan,Actual,Actual (Over) Under Target Budgt.,Adopted Budget,Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
Mayor's Office of Transportation,,,,,,,,,,,
Full-Time Positions,0,0,0,6,8,(2),6,6,8,(2),(2)
Class 100 Total Oblig./Approp.,0,0,0,"500,000","500,000",0,"500,000","500,000","500,000",0,0
Class 100 Overtime Oblig./Approp.,0,o,0,0,0,0,0,o,0,0,0
Mural Arts Program,,,,,,,,,,,
Full-Time Positions,14,14,12,16,12,4,16,16,12,4,4
Class 100 Total Oblig./Approp.,"456,037","453,526","472,382","620,945","620,945",0,"660,945","620,945","620,945","40,000",0
Class 100 Overtime Oblig./Approp.,497,"1,218","1,462","2,000","1,866",134,"1,000","2,000","1,866",(866),134
Office of Behavioral Health/Mental,,,,,,,,,,,
Full-Time Positions,36,35,28,31,26,5,33,27,26,7,1
Class 100 Total Oblig./Approp.,"2,316,329","2,222,971","2,018,861","2,158,714","2,158,714",0,"2,144,414","2,158,714","2,158,714","(14,300)",0
Class 100 Overtime Oblig./Approp.,"26,717","32,541","22,633","20,600","21,486",(886),"20,725","20,600","21,486",(761),(886)
Office of Supportive Housing,,,,,,,,,,,
Full-Time Positions,131,132,126,137,126,11,138,137,126,12,11
Class 100 Total Oblig./Approp.,"6,591,611","6,828,986","6,202,044","6,714,527","6,714,527",0,"6,601,227","6,714,527","6,714,527","(113,300)",0
Class 100 Overtime Oblig./Approp.,"849,945","743,878","700,875","462,279","446,646","15,633","371,851","462,279","446,646","(74,795)","15,633"
Office of Housing & Community Dev.,,,,,,,,,,,
Full-Time Positions,3,0,o,0,0,0,0,0,0,0,0
Class 100 Total Oblig./Approp.,"233,987","46,341",0,o,0,0,o,0,o,o,o
Class 100 Overtime Oblig./Approp.,0,o,0,0,o,o,o,o,0,o,o
Personnel,,,,,,,,,,,
Full-Time Positions,70,70,68,70,64,6,78,70,64,14,6
Class 100 Total Oblig./Approp.,"3,871,897","3,956,530","3,939,679","3,983,269","3,983,269",0,"3,954,669","3,983,269","3,983,269","(28,600)",0
Class 100 Overtime Oblig./Approp.,"43,161","104,259","139,657","30,000","23,516","6,484","30,339","30,000","23,516","6,823","6,484"
Police,,,,,,,,,,,
Full-Time Positions,"7,287","7,424","7,367","7,480","7,443",37,"7,735","7,480","7,443",292,37
Class 100 Total Oblig./Approp.,"457,990,628","478,231,611","509,124,087","519,492,519","519,492,519",0,"508,468,005","519,492,519","519,492,519","(11,024,514)",0
Class 100 Overtime Oblig./Approp.,"48,658,490","59,231,067","70,555,018","64,260,720","62,465,457","1,795,263","64,232,661","64,260,720","62,465,457","1,767,204","1,795,263"
