0,1,2,3,4,5,6,7,8
,,,,,,FISCAL YEAR FULL YEAR,2011,
Department / Category,FY 08 Year End Actual,FY 09 Year End Actual,FY 10 Year End Actual,Adopted Budget,Original Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
First Judicial District,,,,,,,,
Full-Time Positions,"1,970","1,898","1,756","1,776","1,888","1,869",(93),19
Class 100 Total Oblig./Approp.,"91,950,443","90,353,679","81,332,197","75,934,061","75,934,061","85,561,208","(9,627,147)","(9,627,147)"
Class 100 Overtime Oblig./Approp.,"201,814","126,110","76,951","56,000","306,000","188,260","(132,260)","117,740"
Traffic Court,,,,,,,,
Full-Time Positions,129,121,120,120,120,117,3,3
Class 100 Total Oblig./Approp.,"4,631,005","4,846,053","4,578,476","4,257,022","4,087,973","4,257,022",o,"(169,049)"
Class 100 Overtime Oblig./Approp.,513,"4,194",o,"5,000","5,000",o,"5,000","5,000"
Municipal Court,,,,,,,,
Full-Time Positions,188,186,174,176,176,173,3,3
Class 100 Total Oblig./Approp.,"7,923,810","7,932,424","7,894,653","6,691,456","6,706,414","6,691,456",O,"14,958"
Class 100 Overtime Oblig./Approp.,"1,213","2,057",666,"1,000","1,000","1,941",(941),(941)
Common Pleas Court,,,,,,,,
Full-Time Positions,"1,412","1,353","1,245","1,253","1,365","1,350",(97),15
Class 100 Total Oblig./Approp.,"66,241,505","64,462,852","56,664,556","53,869,675","53,844,976","63,496,822","(9,627,147)","(9,651,846)"
Class 100 Overtime Oblig./Approp.,"183,853","107,358","68,645","35,000","285,000","184,115","(149,115)","100,885"
Court Administrator,,,,,,,,
Full-Time Positions,241,238,217,227,227,229,(2),(2)
Class 100 Total Oblig./Approp.,"13,154,123","13,112,350","12,194,512","11,115,908","11,294,698","11,115,908",o,"178,790"
Class 100 Overtime Oblig./Approp.,"16,235","12,501","7,640","15,000","15,000","2,204","12,796","12,796"
Fleet Management,,,,,,,,
Full-Time Positions,307,302,292,283,281,265,18,16
Class 100 Total Oblig./Approp.,"17,745,176","16,978,931","16,666,891","16,074,382","15,824,382","15,824,382","250,000",0
Class 100 Overtime Oblig./Approp.,"3,203,337","2,179,011","2,564,572","2,224,189","2,676,371","2,608,404","(384,215)","67,967"
Free Library,,,,,,,,
Full-Time Positions,713,629,602,636,636,619,17,17
Class 100 Total Oblig./Approp.,"34,683,010","32,664,879","29,099,281","29,268,037","29,268,037","29,268,037",0,0
Class 100 Overtime Oblig./Approp.,"1,083,881","681,781","472,152","521,109","720,164","745,424","(224,315)","(25,260)"
