0,1,2,3,4,5,6,7,8
,,,,,,FY 2021 FULL YEAR,,
Department/ Category,FY 18 Year End,FY 19 Year End,FY 20,Adopted,Target,Year End Departmental,Departmental (Over),Projection Under
,Actual,Actual,Actual,Budget,Budget,Projection,Adopted Budget,Target Budget
Sheriff,,,,,,,,
Full-Time Positions,364,355,385,428,428,367,61,61
Class 100 Total Oblig./Approp.,"27,179,518","27,638,571","28,049,726","25,192,450","25,192,450","25,192,450",0,0
Class 100 Overtime Oblig./Approp.,"5,934,927","6,163,832","4,797,577","2,685,042","2,785,042","2,800,000","(114,958)","(14,958)"
Streets,,,,,,,,
Full-Time Positions,"1,738","1,736","1,925","1,903","1,912","1,941",(38),(29)
Class 100 Total Oblig./Approp.,"79,636,511","83,603,511","90,344,142","87,283,619","88,909,902","88,909,902","(1,626,283)",0
Class 100 Overtime Oblig./Approp.,"16,200,539","15,557,607","15,039,549","9,060,261","15,626,733","16,500,000","(7,439,739)","(873,267)"
,,,,,,,,
TOTAL GENERAL FUND,,,,,,,,
Full-Time Positions,"22,226","22,210","22,422","23,980","24,003","21,630","2,350","2,373"
Class 100 Total Oblig./Approp.,"1,690,080,953","1,749,789,358","1,874,182,010","1,795,159,258","1,828,775,272","1,829,386,191","(34,226,933)","(610,919)"
Class 100 Overtime Oblig./Approp.,"179,380,142","176,564,791","208,034,045","148,883,244","187,295,442","185,148,040","(36,264,796)","2,147,402"
