0,1,2,3,4,5,6,7,8,9,10,11
,,,,,FY 2022 YEAR TO DATE,,,,FY 2022 FULL YEAR,,
Department/Category,FY 19 Year End Actual,FY 20 Year End Actual,FY 21 Unaudited Actual,Target Budget Plan,Actual,Actual (Over) Under Target Budget,Adopted Budget,Target Budget,Year End Departmental Projection,Departmental (Over) Adopted Budget,Projection Under Target Budget
OIT-911,,,,,,,,,,,
Full-Time Positions,12,16,14,14,14,0,16,16,16,0,0
Class 100 Total Oblig./Approp.,"1,028,676","1,376,075","1,195,808","590,494","590,494",0,"1,341,547","1,341,547","1,341,547",0,0
Class 100 Overtime Oblig./Approp.,"35,437","37,930","35,660","31,702","24,570","7,132","63,404","63,404","53,404","10,000","10,000"
Office of the Inspector General,,,,,,,,,,,
Full-Time Positions,18,16,18,17,17,0,19,19,19,0,0
Class 100 Total Oblig./Approp.,"1,415,627","1,397,115","1,283,300","686,330","686,330",0,"1,504,223","1,456,000","1,478,002","26,221","(22,002)"
Class 100 Overtime Oblig./Approp.,0,0,0,0,0,0,0,0,0,0,0
Office of Property Assessment,,,,,,,,,,,
Full-Time Positions,196,195,190,185,185,0,223,215,215,8,0
Class 100 Total Oblig./Approp.,"12,500,926","13,142,246","13,393,546","6,690,591","6,690,591",0,"14,395,213","13,999,213","14,835,075","(439,862)","(835,862)"
Class 100 Overtime Oblig./Approp.,"94,062","73,955","42,002","40,000","21,625","18,375","110,000","80,000","54,000","56,000","26,000"
Office of Sustainability,,,,,,,,,,,
Full-Time Positions,9,7,8,11,11,0,12,13,13,(1),0
Class 100 Total Oblig./Approp.,"548,133","566,858","484,422","416,668","416,668",0,"722,621","812,621","822,993","(100,372)","(10,372)"
Class 100 Overtime Oblig./Approp.,139,79,0,0,0,0,0,0,0,0,0
Parks and Recreation,,,,,,,,,,,
Full-Time Positions,647,647,644,612,612,0,763,763,763,0,0
Class 100 Total Oblig./Approp.,"48,579,951","50,465,519","42,876,919","26,389,916","26,389,916",0,"52,352,786","51,352,786","53,658,191","(1,305,405)","(2,305,405)"
Class 100 Overtime Oblig./Approp.,"3,538,131","3,182,453","2,083,704","1,558,335","2,263,417","(705,082)","3,116,670","3,116,670","3,216,670","(100,000)","(100,000)"
Planning and Development,,,,,,,,,,,
Full-Time Positions,56,55,55,53,53,0,62,62,62,0,0
Class 100 Total Oblig./Approp.,"4,695,950","4,778,297","4,510,200","2,251,757","2,251,757",0,"4,873,604","4,873,604","5,228,518","(354,914)","(354,914)"
Class 100 Overtime Oblig./Approp.,"14,817","13,575","9,507","9,741","15,231","(5,490)",0,"19,482","24,482","(24,482)","(5,000)"
Police,,,,,,,,,,,
Full-Time Positions,"7,241","7,175","6,869","6,755","6,755",0,"7,304","7,304","7,304",0,0
Class 100 Total Oblig./Approp.,"685,445,815","736,072,678","708,324,818","322,015,739","322,015,739",0,"704,349,409","698,349,409","731,821,929","(27,472,520)","(33,472,520)"
Class 100 Overtime Oblig./Approp.* *Police OT is abated as reimbursements occur,"61,647,723","78,667,457","64,896,010","30,016,713","36,632,741","(6,616,028)","60,033,425","60,033,425","70,033,425","(10,000,000)","(10,000,000)"
